fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_occurrences,max_paths,max_relations,max_depth,max_unit_hops
single_translation,accepted_transform,one millimetre child translated in its parent,single_translation.step,accept,assembly_paths_evaluated,2754,0eaf3ed3b8ced5068347e8f669dec859e2a53a477235edef37b2d411486a21dd,20000,50000,500000,64,16
rotated_occurrence,accepted_transform,one child rotated 90 degrees about the positive z axis,rotated_occurrence.step,accept,assembly_paths_evaluated,2752,297472de756690973ed1cdfaf923a477cc83852dc24929606e395f33bd708fcc,20000,50000,500000,64,16
source_frame_offset,accepted_transform,non-origin source frame distinguishes transform direction,source_frame_offset.step,accept,assembly_paths_evaluated,2752,870c7a76ee7d2587ae9ba408842d3ff7465f1a01b2e0525b88de2f1276cee8a2,20000,50000,500000,64,16
nested_reuse,accepted_structure,one subassembly and three occurrences of one reused part,nested_reuse.step,accept,assembly_paths_evaluated,5615,ce84a6209a424566d29193daf898901b8d12de3178adc995161152463477ad05,20000,50000,500000,64,16
conversion_based_inch,accepted_unit,inch child coordinates normalized into a millimetre parent,conversion_based_inch.step,accept,assembly_paths_evaluated,2861,e789d832a92771e74ee3dc7f146300b2e769b121783870d6d8836d3d4e1f8718,20000,50000,500000,64,16
no_assembly_occurrence,optional_path,a valid AP242 part without an assembly occurrence,no_assembly_occurrence.step,quarantine,assembly_occurrence_not_found,1250,9638db47c02cbe435789ab8821e68765de931f7736de04cccf64511d5e1014ea,20000,50000,500000,64,16
missing_occurrence_shape,optional_path,an occurrence without a product-definition shape association,missing_occurrence_shape.step,quarantine,occurrence_shape_not_found,2709,84193b06a2a44384755dd60f1c4fa229a96c9ddc750db0f4fd325daa8da32fc9,20000,50000,500000,64,16
missing_context_dependent_relation,optional_path,an occurrence shape without a context-dependent relation,missing_context_dependent_relation.step,quarantine,context_dependent_shape_representation_not_found,2695,312b9564e6c44433855b885d2ae1e50ebf2d1281ed35dfed57b0d24c6f63a478,20000,50000,500000,64,16
unsupported_transform_operator,subset_boundary,a transformation operator outside the item-defined subset,unsupported_transform_operator.step,quarantine,transformation_form_deferred,2761,489ed6fc4d681b992e9e9fd31aac6dddd13073636669bc54db42b814d76047ab,20000,50000,500000,64,16
missing_length_unit,subset_boundary,a child representation context without a length unit,missing_length_unit.step,quarantine,length_unit_not_available,2688,9573e68fc4a4c4003731bf8ca06e2aaf9013807d190be207573e2554385fa86c,20000,50000,500000,64,16
assembly_depth_budget,resource_boundary,a two-level path evaluated with a one-level traversal budget,assembly_depth_budget.step,quarantine,assembly_depth_limit,4222,e6fa53a3175628ac7595027c36dabb15d22193bb14b6dd48a02d7510f0038c92,20000,50000,500000,1,16
wrong_representation_order,semantic_invalidity,parent and child representations reversed in the relationship,wrong_representation_order.step,reject,assembly_representation_order_mismatch,2754,da5e387eb1a6233914e6803a81a0636bcef99cf90390e4b7347ec64deebb7fd1,20000,50000,500000,64,16
nonorthogonal_placement,semantic_invalidity,placement axis and reference direction are not orthogonal,nonorthogonal_placement.step,reject,nonorthogonal_placement_axes,2751,098d4ea0e45cdedbe60ad1e9f4b4d51577bcef8f28657f03c839ac320f638127,20000,50000,500000,64,16
unresolved_child_definition,semantic_invalidity,the occurrence points to an absent child definition,unresolved_child_definition.step,reject,unresolved_semantic_reference,2755,d1496902684f4bf8bd2ebaf1cc9a376911413640347cfd4223eb4b715716ae09,20000,50000,500000,64,16
duplicate_reference_designator,semantic_invalidity,two children in one parent share a reference designator,duplicate_reference_designator.step,reject,duplicate_reference_designator,3448,74f50e77758fe16846f8988faf7aadc93c0efcd1f732b331e3f107f4d1d1dbbf,20000,50000,500000,64,16
assembly_cycle,semantic_invalidity,two definitions contain each other,assembly_cycle.step,reject,assembly_cycle,3446,66f11476ceebf0d549c314f991876148c46024a201a4f5902303bc9138d48090,20000,50000,500000,64,16
unit_conversion_cycle,semantic_invalidity,a conversion-based length unit points back to itself,unit_conversion_cycle.step,reject,unit_conversion_cycle,2861,9dbc776ce2ac937a5642f8a7741f669582457aa9285fd6e8e749a8ea2214aa42,20000,50000,500000,64,16
