fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_product_definitions,max_paths,max_relations,max_representation_items,max_units
ap242_block_path,resolved_path,"one product definition, shape representation, placement, block, and SI context units",ap242_block_path.step,accept,ap242_paths_resolved,1207,60161041f3890d6dc46e5e11b0ab0bcca3f0c5c60c90f34a78f5b54b52a5fd21,10000,20000,200000,100000,20000
ap242_advanced_brep_root,representation_subtype,the checked tetrahedron exposed through an advanced B-rep representation root,ap242_advanced_brep_root.step,accept,ap242_paths_resolved,3758,5d1a71dbf3db89a7ac8253fb90bc46a396eb547c876318e0036ee97848a6d033,10000,20000,200000,100000,20000
ap242_multiple_representations,path_multiplicity,one product definition associated with two shape representations,ap242_multiple_representations.step,accept,ap242_paths_resolved,1306,9934136fcfc821bfac031e11c9da7bc82d4fcc5f18bf3826d705dde5c188b950,10000,20000,200000,100000,20000
ap214_schema_boundary,schema_boundary,the same entity names declared under an unsupported application schema,ap214_schema_boundary.step,quarantine,unsupported_application_schema,1177,17cabda24886c215a46b8076a7ac25cf6455ee61792c58654079a87d39f81060,10000,20000,200000,100000,20000
no_product_definition,optional_path,an AP242 data section without a product-definition root,no_product_definition.step,quarantine,product_definition_not_found,353,6e46de065d4153e89b6b743f53f16824388c1c36f99741b190cd308add130fda,10000,20000,200000,100000,20000
product_without_shape,optional_path,a product definition without a product-definition shape,product_without_shape.step,quarantine,product_definition_shape_not_found,593,f8e6f9cd372971c32faf59a691288fd17e730ce0e95941d345056d4f90c0c042,10000,20000,200000,100000,20000
shape_without_representation,optional_path,a product-definition shape without a representation association,shape_without_representation.step,quarantine,shape_representation_not_found,632,57504250db331f07e1b83720086f55237fafe1747fb148bc8c43125a8ae52f8d,10000,20000,200000,100000,20000
unsupported_representation,subset_boundary,a shape association targeting a representation outside the controlled subset,unsupported_representation.step,quarantine,representation_type_deferred,1242,bd79225f019a73ac4a5391a629f121e7f67b07fe6e2a40f75f93e72e0937e7fe,10000,20000,200000,100000,20000
context_without_units,context_boundary,a geometric representation context without explicit global assigned units,context_without_units.step,quarantine,global_units_not_available,1164,2b399627be0580715a013c119b8f61d42cc2a07f28c275d39df9b6b23468e01d,10000,20000,200000,100000,20000
unclassified_item,item_boundary,a representation item type outside the controlled classifier,unclassified_item.step,quarantine,representation_item_type_deferred,1260,4bc0a0032facf800b28277c2c63f4b7f09e5609c8f076716369c533da3ec30a6,10000,20000,200000,100000,20000
wrong_formation_target,semantic_invalidity,product-definition formation points to a non-product entity,wrong_formation_target.step,reject,unexpected_semantic_target,1207,16c1b1394373217ac9044fe6564bf174a78526939ffaa6d4e8a60a06701933ab,10000,20000,200000,100000,20000
unresolved_formation,semantic_invalidity,product definition points to an absent local formation,unresolved_formation.step,reject,unresolved_semantic_reference,1209,979e6ad56c85ea0c1042513b61b5459393685d305cee676024180c000717b68d,10000,20000,200000,100000,20000
product_parameter_count,semantic_invalidity,product encoding omits its frame-of-reference parameter,product_parameter_count.step,reject,semantic_parameter_count_mismatch,1202,b654a507d4c9c1230dcbee751a6b989fb095b707392a2721255a48feabe950f9,10000,20000,200000,100000,20000
path_budget,resource_boundary,two valid paths exceed a one-path semantic work budget,path_budget.step,quarantine,ap242_path_limit,1306,9934136fcfc821bfac031e11c9da7bc82d4fcc5f18bf3826d705dde5c188b950,10000,1,200000,100000,20000
