fixture_id,fixture_family,metadata_control,source_mode,jpeg_file,reference_png_file,source_pixels_sha256,jpeg_sha256,jpeg_core_sha256,jpeg_size_bytes,reference_bgr_sha256,reference_png_sha256,width,height,component_count,component_signature,quantization_fingerprint,exif_orientation,icc_profile_length,icc_profile_sha256,icc_chunk_count,adobe_transform,generator_adapter,generator_wrapper_version,generator_jpeg_backend,reference_decoder
cmyk_adobe0,four_component_color,adobe_transform_0,CMYK,cmyk_adobe0.jpg,cmyk_adobe0.reference.png,9e6dad7a60d1728ae63ae432e6aa1818dd57321da39cb52fc41aeef43a183411,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,4789,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,64f609949632ba1528a37593730791401aec6dbcb3c28aa628c291087ac5d594,104,72,4,67:1x1:q0;77:1x1:q0;89:1x1:q0;75:1x1:q0,9cc40cc6fb4b102aad275ef8a8e85091dc5e23443883107e36defed8ccd0204d,none,0,,0,0,pillow_cmyk,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_icc_gamma_1_0,icc_profile,matrix_trc_gamma_1_0,BGR,rgb_icc_gamma_1_0.jpg,rgb_icc_gamma_1_0.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,938904619cc6ec6eb24f2ae16e85673026b3792fd7cb44d096c5d84342f5aedc,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,3255,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,none,588,0409b34291f553ef52c050af31c58d3dae28030e0cb789e176b1642b48105db0,1,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_icc_gamma_2_2,icc_profile,matrix_trc_gamma_2_2,BGR,rgb_icc_gamma_2_2.jpg,rgb_icc_gamma_2_2.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,7e92c00bc5508df483d9eef9a05b72ab4ca531057be13c21cf385ea2e14cb6fb,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,3255,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,none,588,c166791a6d33d4d0ffc3b9a411d2a34b91b2e0df85ad5c7e1b47d4cac9a31f0d,1,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_1,exif_orientation,orientation_1,BGR,rgb_orientation_1.jpg,rgb_orientation_1.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,5724237353edd68e5abe83191f0ec560f8e12dc08bcd9c66c7e2157794d57d49,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_2,exif_orientation,orientation_2,BGR,rgb_orientation_2.jpg,rgb_orientation_2.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,9b759c4bdab0adc0828870bf6a1bb607b5b5b6e0c5c75e516ee4ce2f052e709f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,2,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_3,exif_orientation,orientation_3,BGR,rgb_orientation_3.jpg,rgb_orientation_3.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,c62ea01dd5ca9c7c0f6ba7b589506beb943a239d3c007955e77c1fb2280b0c9f,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,3,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_4,exif_orientation,orientation_4,BGR,rgb_orientation_4.jpg,rgb_orientation_4.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,86072ca4c3409e1c98d56074ef38408551790455a7cfec68fbbb17449c4a0684,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,4,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_5,exif_orientation,orientation_5,BGR,rgb_orientation_5.jpg,rgb_orientation_5.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,0635f8e58b823ceb627dc7999b8505c67d2b5d769f5d974c3cb89409dbd6e464,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,5,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_6,exif_orientation,orientation_6,BGR,rgb_orientation_6.jpg,rgb_orientation_6.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,c537d2aec92b6e9de39bcd63e1c731e18304174f235b03b6e47291c24c515d68,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,6,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
rgb_orientation_7,exif_orientation,orientation_7,BGR,rgb_orientation_7.jpg,rgb_orientation_7.reference.png,9c4f8ff462c1e1c391f04acee6b6325c341cd3b6c31e0a082358a9b23b8e1969,443303b7e9287e79afd12ad2dceb32f644f30b432c6bfc7c4db17530c248d92b,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,2685,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,40629ff4e914f51d89a76368296cf6360601bd67556abe12c075e64ef243ca3d,104,72,3,1:1x1:q0;2:1x1:q1;3:1x1:q1,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,7,0,,0,none,pillow_rgb_plus_app_segments,12.3.0,libjpeg-turbo 3.1.4.1,opencv_bgr_ignore_orientation
