fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_file_bytes,max_tokens,max_declarations,max_nesting_depth,max_token_chars
minimal_schema,schema,empty_schema_envelope,minimal_schema.exp,accept,controlled_syntax_conforms,25,30e93673210a4f772a07a0ebf20358d6d9815e6de57ea77cfa62e1d8d33562b4,1000000,100000,10000,32,16384
mixed_case,lexical,case_insensitive_keywords_and_names,mixed_case.exp,accept,controlled_syntax_conforms,56,7be91b3a3d556ae4e0775eefac161a3d1f5c4acd92781b3388d1fa31a530ee9f,1000000,100000,10000,32,16384
comments,lexical,tail_and_nested_block_comments,comments.exp,accept,controlled_syntax_conforms,84,f3ebbf250f81aada5c29d48dd37cef74320f348ff8be95d432b1664e65e6fd3a,1000000,100000,10000,32,16384
type_alias_where,type,alias_with_width_fixed_and_where,type_alias_where.exp,accept,controlled_syntax_conforms,98,96e5b116254142313db9a72c04ce53f321c3a6b0531966c380b8e933763a6dab,1000000,100000,10000,32,16384
enumeration_type,type,enumeration_members,enumeration_type.exp,accept,controlled_syntax_conforms,92,63125b8c998fa1ecd4e32d070cb366ff41be7704cb3c41f0cc6a1a2631d0f186,1000000,100000,10000,32,16384
select_type,type,select_members,select_type.exp,accept,controlled_syntax_conforms,84,403191bc03c23ab66931d9846443236d11d019dd60d9f6d26868d611832e1e5e,1000000,100000,10000,32,16384
aggregate_type,type,bounded_unique_list,aggregate_type.exp,accept,controlled_syntax_conforms,79,ebe5441943df38bb2f0cd3a7348b290a792d9c527e18d1b988948fd11a443a88,1000000,100000,10000,32,16384
explicit_attributes,entity,required_and_optional_attributes,explicit_attributes.exp,accept,controlled_syntax_conforms,110,9e9fc7319a3df4540494c9983b0cc664143996eb46edb88a0cc2271b40e41f56,1000000,100000,10000,32,16384
entity_inheritance,entity,abstract_supertype_and_subtype,entity_inheritance.exp,accept,controlled_syntax_conforms,222,b2680cf03b58a314bd447b77348548148d07e26e9c56574eccbea795dbda5c83,1000000,100000,10000,32,16384
derived_attribute,entity,derived_expression_envelope,derived_attribute.exp,accept,controlled_syntax_conforms,139,3107f2fef4579d534b4ab1122a0048e8dbd2772f1f38a6a67888226408b5d32e,1000000,100000,10000,32,16384
inverse_attribute,entity,inverse_set_and_for_attribute,inverse_attribute.exp,accept,controlled_syntax_conforms,151,abfefc0d2538335d264d272c86502b51c66ebe8eda9239b8059b867e37674f95,1000000,100000,10000,32,16384
unique_where,entity,unique_and_where_constraints,unique_where.exp,accept,controlled_syntax_conforms,142,3e5fcde92a793bc8d28220ee46e4d35b67390f9dd094ff0ed891d6bf3a5bba40,1000000,100000,10000,32,16384
use_import,interface,use_from_with_alias,use_import.exp,accept,controlled_syntax_conforms,83,f0fa944da86240700f7123af87d496d4cbf2eaf1ea7aeb912cca8590b32947d1,1000000,100000,10000,32,16384
reference_import,interface,whole_schema_reference,reference_import.exp,accept,controlled_syntax_conforms,56,d7b3fe8a724610097cbe26261c1d990baa648e02321b1e1b6ab03b42d1cf7876,1000000,100000,10000,32,16384
constant_block,constant,typed_schema_constants,constant_block.exp,accept,controlled_syntax_conforms,126,01e66e85bb0b6d289e7fcc0422568c93803858bc90550f1a97a8e0b1d5976661,1000000,100000,10000,32,16384
function_envelope,algorithm,function_header_and_body,function_envelope.exp,accept,controlled_syntax_conforms,111,0a3506fe0a6b929a3428a32100440729d78576677be0069dfc587740fb6375ec,1000000,100000,10000,32,16384
procedure_envelope,algorithm,procedure_var_parameter_and_body,procedure_envelope.exp,accept,controlled_syntax_conforms,103,0621b4e56aebef59801ed6aa841f3589fab6c6187acd57d288f9c136719c2005,1000000,100000,10000,32,16384
rule_envelope,algorithm,rule_targets_and_where_body,rule_envelope.exp,accept,controlled_syntax_conforms,154,cfd2e442c68286abfb213a904163576e093f7647f452c2f3abff7195b6b08cc3,1000000,100000,10000,32,16384
multiple_schemas,schema,two_schema_declarations,multiple_schemas.exp,accept,controlled_syntax_conforms,67,ffae4e8f23a7dd1c9e38dfafd245cf9785e1005da74e1c5e6a98800660871bc9,1000000,100000,10000,32,16384
source_literals,lexical,string_binary_encoded_and_real_literals,source_literals.exp,accept,controlled_syntax_conforms,184,71c036623c9c0d1fa7891b50c1fcc13eec0b3fbb143f991ff1f832e890a4e854,1000000,100000,10000,32,16384
missing_schema,schema,source_has_no_schema,missing_schema.exp,reject,missing_schema,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1000000,100000,10000,32,16384
invalid_source_character,lexical,non_ascii_source_byte,invalid_source_character.exp,reject,unsupported_source_character,25,94449c44d29f1d7329b6bfeb0b81016194e080cfff47bb92576d2a640e66eb48,1000000,100000,10000,32,16384
invalid_identifier,lexical,identifier_starts_with_underscore,invalid_identifier.exp,reject,invalid_identifier,25,94d65b61fda74c5d030775e680621027612680003e09d9182bc1f387ceb39403,1000000,100000,10000,32,16384
unterminated_comment,lexical,block_comment_reaches_eof,unterminated_comment.exp,reject,unterminated_comment,28,ac820a09cb7cd6d565e09a07a66ad17ec471eac96b3d3e6eda0968b66713a8f2,1000000,100000,10000,32,16384
