fixture,category,condition,file_name,expected_decision,expected_reason_code,source_bytes,source_sha256,max_symbols,max_references,max_inheritance_edges
local_attribute_type,local_scope,local entity attribute type,local_attribute_type.exp,accept,resolved,95,38af12a0fec9eb386d5081b23e1d86bd500cd52b305cdb6896144f7c02450561,20000,200000,50000
alias_chain,types,three-level type alias chain,alias_chain.exp,accept,resolved,115,0189429123035c2e8bbaa26f47b5e96226cd1eb4a907cd81e0aa9027268f7c62,20000,200000,50000
case_insensitive_resolution,local_scope,case-insensitive symbol lookup,case_insensitive_resolution.exp,accept,resolved,95,52cdfd0cea9c55aec24662bc0b29fb2f120c9c4a0b718b5824568d5bd3e10adf,20000,200000,50000
forward_type_reference,local_scope,forward named-type reference,forward_type_reference.exp,accept,resolved,95,4333afadf5a87b77bdc363334250c12da97749af9858499c709f299358044f6f,20000,200000,50000
aggregate_entity_element,types,aggregate element entity,aggregate_entity_element.exp,accept,resolved,93,33157fd0e72cfd8502fc81f8b75071add141ef9af303dd850289605fcc221a4a,20000,200000,50000
select_members,types,defined-type and entity select members,select_members.exp,accept,resolved,127,8710c5dc25b7c9598f4ea087606dcd9da70333cdb7eefa1d4927f2827c5a6270,20000,200000,50000
literal_bounds,bounds,integer and unbounded aggregate bounds,literal_bounds.exp,accept,resolved,71,2995ab220a7d2ce6c89f3225b829dd0beb9269e21c0b0fbafb4d15b7d201ebc2,20000,200000,50000
constant_bounds,bounds,local integer constant upper bound,constant_bounds.exp,accept,resolved,132,0ba2e7942a1ebf510093b0f9ca346527268fdb5cd2edb8544a01dd70700d408a,20000,200000,50000
single_inheritance,inheritance,single entity inheritance,single_inheritance.exp,accept,resolved,109,c2c1030f0d57568883d576e53b8c5c9d4ac7df240a5cf623492e8ad19e013a7a,20000,200000,50000
transitive_inheritance,inheritance,transitive entity inheritance,transitive_inheritance.exp,accept,resolved,155,74a5b835fe5320b2b971604b5ddef02c52d1d629f2aed67d161cf624d815ff1c,20000,200000,50000
multiple_inheritance_distinct,inheritance,multiple inheritance with distinct attributes,multiple_inheritance_distinct.exp,accept,resolved,168,8e17cca80cadc157121a214d6f7cb005878353f1895d553c00188dd0ed7d7b41,20000,200000,50000
diamond_inheritance,inheritance,diamond inheritance with one shared origin,diamond_inheritance.exp,accept,resolved,202,910bea6841144b74ff0ea3f374bfa769ea7dac06e7a005007568ef1907d029c0,20000,200000,50000
qualified_redeclaration,inheritance,qualified inherited attribute redeclaration,qualified_redeclaration.exp,accept,resolved,134,e30db4ec9c7c50968d4a5c8af6835b653fa4859df5ab87314095760031a750b2,20000,200000,50000
use_explicit,interfaces,explicit USE import,use_explicit.exp,accept,resolved,137,2140b98259669c29d54b887b6391413bb87f77049d01ed0e0441ef32bbac716c,20000,200000,50000
use_alias,interfaces,renamed USE import,use_alias.exp,accept,resolved,165,f09d4186193c3b7b0f5e7c92154caa0afa387408e1586fe0fdc1c25ee56bf57e,20000,200000,50000
use_all,interfaces,whole-schema direct USE import,use_all.exp,accept,resolved,175,ae97bbe4a06327c293a7221ad48ab2aab4b90e6ba2de5ae57948dc7d959c30cc,20000,200000,50000
reference_constant,interfaces,REFERENCE import used as aggregate bound,reference_constant.exp,accept,resolved,191,52f94e71c464d89b22a158fb2612f070653f05f138b8ba25b6da11d12e6349c6,20000,200000,50000
reference_function,interfaces,REFERENCE import of a function symbol,reference_function.exp,accept,resolved,156,7dbc8556a03f214588260a752f49642ac1ff3d4391b131112e2ccf934b7749b0,20000,200000,50000
inverse_attribute,inheritance,inverse forward-attribute lookup,inverse_attribute.exp,accept,resolved,169,3ed86bd28f50c2a93195d593144bd9e0627ec4e8de7105af517de8a2b6bd9a4b,20000,200000,50000
rule_target,interfaces,global rule entity target,rule_target.exp,accept,resolved,104,e2741a7890849326d4aa62f20a5b2c2f0dbc5dac026ec199452e82ee1f26a135,20000,200000,50000
missing_type,references,unresolved attribute type,missing_type.exp,reject,unresolved_reference,72,ae5c1cfd122a97038a6b16e4fe718311c1fb56d6b5018bbda22ad0e5216c6fb8,20000,200000,50000
wrong_kind_type_alias,types,entity used as defined-type alias target,wrong_kind_type_alias.exp,reject,invalid_kind_reference,84,612aabebbcf151b20a0fab75fb6724c0aee9ed335a17691a9edd5b990ae9d255,20000,200000,50000
missing_select_member,types,unresolved select member,missing_select_member.exp,reject,unresolved_reference,72,8c95f4031e247fbc91e09b2caf60d7a6f74884b173900f86d6d0d554ede19f25,20000,200000,50000
missing_import_schema,interfaces,interface schema absent from document,missing_import_schema.exp,reject,unresolved_interface_schema,48,a41edca9865bb6fe2d4e7933de4b224e8948b8f9f681b29d16f9887de0844f13,20000,200000,50000
missing_import_item,interfaces,interface item absent from source schema,missing_import_item.exp,reject,unresolved_interface_item,104,cf50eb7927f21d2d0362d6b09724d50ae1dd0fe5abf59b0dbafbed9385d73582,20000,200000,50000
invalid_use_kind,interfaces,USE attempts to import a function,invalid_use_kind.exp,reject,invalid_use_item_kind,150,a6267eac4cd9376ea14382fd847bc6963e1bf1d9df31ad8b8c9ef965350e0120,20000,200000,50000
import_collision,interfaces,two imported declarations share one visible name,import_collision.exp,reject,ambiguous_visible_name,248,a8ab8e41ef9d0a5aa0f8d27cab4127141758ffa6a2734b047b3fddd4ac70e380,20000,200000,50000
