fixture_id,pattern,quality_control,chroma_sampling,jpeg_file,reference_png_file,source_bgr_sha256,jpeg_sha256,jpeg_size_bytes,reference_bgr_sha256,reference_png_sha256,width,height,frame_marker,precision_bits,quantization_fingerprint,component_signature,generator_adapter,generator_wrapper_version,generator_jpeg_backend,reference_decoder
chroma_edges_q50_420,chroma_edges,50,420,chroma_edges_q50_420.jpg,chroma_edges_q50_420.reference.png,f318fa0b3d033cbe4cb63b43cbd5d86263d747ff7b3beca0d2e901865a358928,49e11a00003294b06e1bb23e613dfe44c69639c71bc39dde6b6aa5381d8a1d8a,2009,8819205456e5161cbb6d6a1ebe482ce25c6fa69b2056861bb50e17ddc7d43ff2,d8ca3fe68e8fae41791c5a3146dffc7dc36b84b35ebe9f1aa4199ff96bd81b7a,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
chroma_edges_q50_444,chroma_edges,50,444,chroma_edges_q50_444.jpg,chroma_edges_q50_444.reference.png,f318fa0b3d033cbe4cb63b43cbd5d86263d747ff7b3beca0d2e901865a358928,33d79093b5cb6c0ec5996d7d25bc645e1638e2f50a31ff5533e0f9e4fe299b28,2912,d08928513584fbf0cf5203c84c2219456e906705bdeb7178c7d63169a884ea2c,9bffefe263d1b1e1e7237904d8f2c8d683bd19e24b69e497a19afc58b1e04a72,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
chroma_edges_q95_420,chroma_edges,95,420,chroma_edges_q95_420.jpg,chroma_edges_q95_420.reference.png,f318fa0b3d033cbe4cb63b43cbd5d86263d747ff7b3beca0d2e901865a358928,4aa6c9e9deb25808400e38f309d57540f7cd73e76af1b0b5e3aa7037a2d8d391,4594,b4f5b261ab64c05cf32fb9a5faf8b9f263c3d30e7c424153e9ad14d95873286d,6896f7f45f33deae102d5dfaf9f804e8a062e8b6f44249585eb7f31d85c5f2a9,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
chroma_edges_q95_444,chroma_edges,95,444,chroma_edges_q95_444.jpg,chroma_edges_q95_444.reference.png,f318fa0b3d033cbe4cb63b43cbd5d86263d747ff7b3beca0d2e901865a358928,a7317f227f159ff163da8b73bf759f9807eb7fe1ef82b15dfb31c2f975c5335f,6948,1a9e2735116d24d187ba99ce01d2ab59938c54f56d7489c88b15adafc648c7ab,7394e8888bd885c609aefa75d6cfa099b4a313f42ae8b020b1f6c600455697a2,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
gradient_shapes_q50_420,gradient_shapes,50,420,gradient_shapes_q50_420.jpg,gradient_shapes_q50_420.reference.png,0098618c7ad955446ba4f15048d80168167e4601a25b6bf9950bd8adc3dbae24,bb3083a3235af57be19a88b90dcc27539c8c8f8b21fb6a2d1fa69b6b7750c9b9,1628,4be28ba5232ccfe50e092f99094f164b452c2dc3d563ae371da8101e2fbffbd8,252c23a97c3fc7d74515b79655f883395f8fc49fe9a928b76dc7cd35a6286e84,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
gradient_shapes_q50_444,gradient_shapes,50,444,gradient_shapes_q50_444.jpg,gradient_shapes_q50_444.reference.png,0098618c7ad955446ba4f15048d80168167e4601a25b6bf9950bd8adc3dbae24,e2e692f07217d79bdf67e412ad71528a162b1daeec5a2e78b7f8ffab5cb69b9d,2352,ff65e03ee8bc5909813f7afaa66fc835a202b8bff44544312b21dc228f3053da,48936d1a3ee2aa92d19d04af9fc6ed36690de2bdfd0e1e050531e537a5f10bac,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
gradient_shapes_q95_420,gradient_shapes,95,420,gradient_shapes_q95_420.jpg,gradient_shapes_q95_420.reference.png,0098618c7ad955446ba4f15048d80168167e4601a25b6bf9950bd8adc3dbae24,01b7b1612d48021530c1807511d7e26dd28116f8aeb63e5925d88c8564738e7e,3956,3ac669f82bd838d34d03d8f615c5e493dae38cc625486b1223b00abb8ddc08de,992a6163d2f496d736651460862e74bcd0d5b9412a37c979d2fbfeaac2898519,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
gradient_shapes_q95_444,gradient_shapes,95,444,gradient_shapes_q95_444.jpg,gradient_shapes_q95_444.reference.png,0098618c7ad955446ba4f15048d80168167e4601a25b6bf9950bd8adc3dbae24,5df46d43a634c3cc8dd09a0442b682edc4329f9f4771198bacbea7ee9e0f5096,6503,4c4637fa782e6db32c8cf5acf4f0102a1ace2e9db950d201d2e24d15e95aa035,65b58b3be56c9c62d2c34d74d228d5c2ff56f3e49a084576e302deaf4fec699b,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
high_frequency_tiles_q50_420,high_frequency_tiles,50,420,high_frequency_tiles_q50_420.jpg,high_frequency_tiles_q50_420.reference.png,9be40e5ed219b0f04ac1796f8314b3435b7b57f1472359f2e945e8fd26b8685b,34d6f966303f42b2588a3c4062bb5f097bcc8c6f0d148bb9b9f1953a65a2403a,5621,a66f6066f7e1f61d0e9e9a5babde9a92987145c774ab0c65570f884b77e74b0f,90931c42f7b039c50ff1323fd26975a84fbac3dfdffaf83c3f3ddd0f54f7b79b,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
high_frequency_tiles_q50_444,high_frequency_tiles,50,444,high_frequency_tiles_q50_444.jpg,high_frequency_tiles_q50_444.reference.png,9be40e5ed219b0f04ac1796f8314b3435b7b57f1472359f2e945e8fd26b8685b,3d99049af9b4e4f9a3379a6769b0eec0ac3aff02f15ed3aadd43c45ab217bdd8,10285,6b0537cc884a01d77b88ce2a6abe362421601399fb1cb988ae37e69878051d48,0f831912cff2548b54e372e35ac9b233174fecc153b1f11094bf261ce29570e8,128,128,0xc0,8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
high_frequency_tiles_q95_420,high_frequency_tiles,95,420,high_frequency_tiles_q95_420.jpg,high_frequency_tiles_q95_420.reference.png,9be40e5ed219b0f04ac1796f8314b3435b7b57f1472359f2e945e8fd26b8685b,a6fb3752d057a7e7e485fb266f1d1499166d47b9fc1b6424d45c469bf34c28c5,14623,2930e80199fc4b3e5b8923fc0b9ee602eb18de20b411749e47e82d4302bd4ad3,28f7a11a893cd1215b2203a39767aac2de709f5408f835f9411b6d07511ed782,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:2x2:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
high_frequency_tiles_q95_444,high_frequency_tiles,95,444,high_frequency_tiles_q95_444.jpg,high_frequency_tiles_q95_444.reference.png,9be40e5ed219b0f04ac1796f8314b3435b7b57f1472359f2e945e8fd26b8685b,6982e69ef79dbb3831f3d560648b0c83b1dd89b81d252f4f3f89fbffebd0c0fa,28841,e4e034083fbcf746a8c212b74de7c125f8a4fcefbd6ee00aa6e0fb9e63e8f283,8f4bf360cda07e247cd92fbf5ee9c47495df797b2d662a5c0ce836eaa7924628,128,128,0xc0,8,9b7e44ba5cd4771712ccd55ee663e65b5d0e57d62437e5a6e08fa6fd42126344,1:1x1:q0;2:1x1:q1;3:1x1:q1,opencv_quality,4.13.0,build-libjpeg-turbo (ver 3.1.2-70),opencv_bgr
