fixture_id,fixture_family,mutation,expected_strict_accept,placement,jpeg_file,reference_png_file,source_pixels_sha256,jpeg_sha256,jpeg_size_bytes,inserted_bytes,base_stream_preserved,reference_bgr_sha256,reference_png_sha256,width,height,generator_adapter,generator_wrapper_version,generator_jpeg_backend
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,after_soi,adobe_conflicting_transform.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,0dea1c0643cb3779f8a7d8917da9f68a07f8657ad4cc54ff0efb1f465a125d94,2736,32,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
app15_large_valid,resource_boundary,single_60000_byte_app15,1,after_soi,app15_large_valid.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,d9fce7604b06dbb4253e8e9fea04cb7b41ff4773a0d9cebeb791bb6193cae27a,62708,60004,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
app15_segment_limit,resource_boundary,forty_small_app15_segments,0,after_soi,app15_segment_limit.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,a5d3d873dcd85e703de68d046d506c4a1600e89495eb234679bd59b018d1e327,2904,200,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
app1_length_one,malformed_framing,illegal_segment_length_one,0,after_soi,app1_length_one.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,69253f8bc7d5367ea600d6ea0402ddbe1b0ed287bd63467bd5e706133cbba0c1,2708,4,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,0,after_soi,app1_length_overrun.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,9b02f93048cd78b815f03a0685a8a069f9c50a624e44976c206f112496ae0141,2713,9,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,1,after_soi,app1_unknown_valid.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,7cfd5d053ee06777b8d01d42a0c45a9a93483418017f2c5a59f649154d92b78a,2753,49,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,0,after_soi,exif_conflicting_orientation.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,703290d9efb752af15365574bd9f592aa158d5036118b42765f63e8dd72054a7,2776,72,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,0,after_soi,exif_ifd_offset_oob.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,7e9393ec675cbf8796cc62336f2ed7fdcd9cbb96fb866aba57b47c2af7931caf,2722,18,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,0,after_soi,exif_invalid_byte_order.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,13b5e02c65f7420643b0f9ff9b90f5f8a11ef99f87c91053b60896331371e39b,2722,18,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
exif_orientation_6_valid,valid_exif,orientation_6,1,after_soi,exif_orientation_6_valid.jpg,rgb_control.reference.png,c45bc99f214d8a73f0db6a236241e2e11cc49891efd9fe2ff4c9098132c0bf45,b1e7c2e39e7229df90840962445903a019cbaad2e29840b5951d0af765abc34a,2740,36,1,54c5386a00d533ca9853c5136b71ce60f7d0bcd57b67c09db15cbfff782512f1,9435d5951517b1f6df7cf8ea14f82159e2a0dee16e7e9c38e76ff5520cffc1d8,104,72,pillow_rgb_plus_controlled_app_bytes,12.3.0,libjpeg-turbo 3.1.4.1
