control_id,file_name,source_bytes,source_sha256,binding_distribution_version,binding_module_version,step_processor,writer_status,reader_status,transferred_roots,manifold_solid_brep_count,brep_with_voids_count,closed_shell_count,oriented_closed_shell_count
single_outer_box,single_outer_box.step,15390,1dc5a6cca9e43b1deacf23c8283969d060138a9d18ac1988871d83b0d4a1ae7c,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,1,0,1,0
centered_void_box,centered_void_box.step,29279,0d277c1d5e1f297a872bd4e114588bde274a683cb1d4d43c43fa5f1cd0bf7b9a,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,0,1,2,1
two_void_box,two_void_box.step,43199,76894d5c141082fc14187ac0d708365fab021a8047619fbdd8a7ad95b3b7a37b,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,0,1,3,2
wrong_void_orientation,wrong_void_orientation.step,29279,b89766e35383371e05589957901ee06ee767b146463721e6abe0058df1505de0,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,0,1,2,1
outside_void_shell,outside_void_shell.step,29305,373443b23873b1ba8bc5189fdd5710e7ce913daeb18b7172a02a52ff7a85b2f9,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,0,1,2,1
overlapping_void_shells,overlapping_void_shells.step,43242,a0f9e555825cdc91710c51858169d7ba37c0602bb8c5e8b5dabd0bc5459cfc72,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,0,1,3,2
material_island_compound,material_island_compound.step,46491,89ba9609fd4376354cd1db5f4e41bc032841d476bbc0afca5f02ab74222df97a,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,1,1,3,1
shared_face_compsolid,shared_face_compsolid.step,32477,b4d61a543036442b8a6bfc66315c5a4d0451a79bfbf85078b02b2257517e7e00,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,2,0,2,0
disconnected_compsolid,disconnected_compsolid.step,32477,29cb8e157efabc7c172bff37faf8a78f7d905465535530154f5650a6bbd4bc89,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,2,0,2,0
disjoint_compound,disjoint_compound.step,32477,29cb8e157efabc7c172bff37faf8a78f7d905465535530154f5650a6bbd4bc89,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,2,0,2,0
