fixture,category,condition,file_name,expected_decision,expected_reason_code,root_entity_ids,source_bytes,source_sha256,max_nodes,max_edges,max_query_results,max_traversal_visits,max_traversal_depth,query_max_depth
branching_orphan,reachability,branching graph with one root-relative orphan,branching_orphan.step,accept,graph_constructed,1,317,0edda8d8ac4c1bfcba0c472615061b498bfddb993fed9b0dff8178ea2286d54a,20000,100000,20000,20000,64,
directed_cycles,cycles,three-node cycle and one self-loop,directed_cycles.step,accept,graph_constructed,5,313,9561f5fc7aafe4178a8dc5dc3b6e9909dc18fa16d5bf56431bb4119b6b621595,20000,100000,20000,20000,64,
nested_parameter_paths,source_paths,references nested in aggregates and typed parameters,nested_parameter_paths.step,accept,graph_constructed,1,301,1011070275152248783b72e8542467f5f5070baa482bc5e7d0e569ddc2358855,20000,100000,20000,20000,64,
multiple_data_sections,ownership,named DATA sections governed by distinct declared schemas,multiple_data_sections.step,accept,graph_constructed,1,345,a42fe6ab3cd317af9e8a090868a8fefe2b98dd65450fec469bcb78c843e9962f,20000,100000,20000,20000,64,
complex_instance,record_types,external mapping records retained on one graph node,complex_instance.step,accept,graph_constructed,1,301,40136f4be88dd4c46ec4123557dd664e633a24b9bd8a512ba5767ac4e0e49d69,20000,100000,20000,20000,64,
unresolved_entity,target_scope,missing local entity target retained as unresolved,unresolved_entity.step,accept,graph_constructed,1,263,1be399eeb7200f90cc20068dca4cc6a1efd321ef1b28d29eeefa4b5213df3213,20000,100000,20000,20000,64,
external_entity,target_scope,REFERENCE entity target retained without retrieval,external_entity.step,accept,graph_constructed,1,335,e9d1ab8f24b9922ed3436440059435293032903c084dd81195f0e7795cddbf39,20000,100000,20000,20000,64,
external_value_and_constant,target_scope,external value and schema constant references remain nonlocal,external_value_and_constant.step,accept,graph_constructed,1,339,6b8d73212763d188ab8c3811a150cd07fc9a4d3f1b5d05d71bb61ec81659e34f,20000,100000,20000,20000,64,
duplicate_reference_occurrences,multigraph,two source occurrences produce two edges to one target,duplicate_reference_occurrences.step,accept,graph_constructed,1,275,9121c83b813c5d8c3693d0bf0f29aa7e1e3db1f58da73379978195590ef5374b,20000,100000,20000,20000,64,
isolated_nodes,isolation,two nodes without local reference edges,isolated_nodes.step,accept,graph_constructed,1,271,6c952ddb448b7af2362d862209bcdd8a866b4b87f9612af4e4e890b26ee75ba2,20000,100000,20000,20000,64,
depth_limited_chain,query_limits,construction succeeds while traversal reports a depth boundary,depth_limited_chain.step,accept,graph_constructed,1,328,2b37ba5f70cb6e5ff4cde1b349620ba19f18a027cd51ee3dfebafc73fa712c6e,20000,100000,20000,20000,3,3
node_budget,construction_limits,entity count exceeds a tighter graph budget,node_budget.step,quarantine,graph_node_limit,1,281,d3023227ecc807ff8f7476100f908881a075e9704061aec387600e75eb687218,2,100000,20000,20000,64,
edge_budget,construction_limits,reference occurrences exceed a tighter graph budget,edge_budget.step,quarantine,graph_edge_limit,1,278,d72326d6b79e6d4f38d5ad29d08267f379ee49a3c4045c758f3cf8bb16007dd2,20000,2,20000,20000,64,
syntax_failure,parser_boundary,Part 21 syntax failure stops before graph construction,syntax_failure.step,reject,unexpected_token,1,258,ae7194ec1b0a901f3a7e7769bcb17ab1016f3a787f4377400c7ac8edabaffb6f,20000,100000,20000,20000,64,
