fixture,condition,file_name,expected_decision,expected_reason_code,expected_data_sections,expected_entities,expected_complex_entities,expected_anchors,expected_external_references,expected_signatures,source_bytes,source_sha256
single_data_control,closed_tetrahedron_single_data_section,single_data_control.step,accept,controlled_exchange_structure,1,74,0,0,0,0,2950,609254c253acc8ef0552b65fa0ae88ca85d5e911e23736fca0909819c59f033a
multiple_data_sections,two_named_schema_bound_sections,multiple_data_sections.step,accept,controlled_exchange_structure,2,2,0,0,0,0,376,d43e9211995a252ad6bcc5b819c7b7f29dbe0f16ec02cfd322506f3a4fd53830
complex_entity_instance,subsuper_record_with_three_components,complex_entity_instance.step,accept,controlled_exchange_structure,1,1,1,0,0,0,322,a3633d50a14c2e3d80434740c6e47a3be173381a406897b131840bc9f39f3db4
utf8_binary_values,direct_utf8_and_binary_tokens,utf8_binary_values.step,accept,controlled_exchange_structure,1,1,0,0,0,0,286,a0dd04f871c00bd8d4f8b04a10de1b4577a7faa2ad8e3a229d2c3fcf1bcaa17d
anchor_with_tag,local_anchor_and_non_schema_tag,anchor_with_tag.step,accept,controlled_exchange_structure,1,1,0,1,0,0,316,bb67c2bf0ea22c02873c0226710f54e81f9a412ce45e712193d318ea64b9f797
external_reference,remote_resource_declared_but_not_fetched,external_reference.step,quarantine,external_reference_unresolved,1,1,0,0,1,0,327,d49cd47c0bf1109cc9be4816da672b61e87248b3877e58459172d897d4fbf776
signature_present,base64_payload_present_without_cms_verification,signature_present.step,quarantine,signature_unverified,1,1,0,0,0,2,386,f4555fd135150218921137d8dd031e46f3e87d32ae46597f9498a894b1241fc3
duplicate_entity_across_sections,global_occurrence_name_collision,duplicate_entity_across_sections.step,reject,duplicate_entity_id,0,0,0,0,0,0,331,676b0a06be7960e5358e201a9c3964c63f7319f1f83d84f1b43e54bf3dbef457
unnamed_multiple_data,multiple_sections_without_required_parameters,unnamed_multiple_data.step,reject,multiple_data_sections_require_names,0,0,0,0,0,0,289,f273c37fb7292d42c9aaa193f878d005cd75924354101eb2c7c0c263eeb40fa8
undeclared_data_schema,section_schema_absent_from_file_schema,undeclared_data_schema.step,reject,data_schema_not_declared,0,0,0,0,0,0,290,33f5a81efdce342da366fdd767aec6c67bf519383e382a4ce514adc5e7042d47
invalid_binary,binary_token_uses_non_hex_character,invalid_binary.step,reject,invalid_binary,0,0,0,0,0,0,266,5ace95cdd99a617bfa504be5105ea7d5886a0d5aacfaf45cf0a77fbfa0a47e61
deep_nesting,aggregate_depth_exceeds_parser_budget,deep_nesting.step,quarantine,nesting_depth_limit,0,0,0,0,0,0,329,d77066948e876e7e178a073d735d35d5cfdae9a2d1b1ffe41b809939a1e7efc5
zip_archive,part21_archive_recognized_without_extraction,zip_archive.stpz,quarantine,archive_container_unsupported,0,0,0,0,0,0,391,08a730e5a3b0a01f52d66e3e3271f4ae2442d34a9411579e60e5dce9e639162b
