fixture_id,observation_id,artifact_role,file_name,source_bytes,source_sha256,generator,binding_distribution_version,binding_module_version,step_processor,writer_status,reader_status,transferred_roots,step_advanced_face_count,step_open_shell_count,step_closed_shell_count,imported_vertex_count,imported_edge_count,imported_face_count,imported_shell_count,imported_solid_count,imported_kernel_analyzer_valid
coincident_box_faces_input,coincident_box_faces__constructed,operation_input,coincident_box_faces_input.step,29188,61160a687da861d3041f938078255d9e73263830c282e25eec71b039e2323a2d,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,6,0,24,24,6,6,0,1
small_gap_box_faces_input,small_gap_box_faces__constructed,operation_input,small_gap_box_faces_input.step,29251,c7c436148d1374fc4828bc0a6d3a3611572e2d88fbe85c87e8e60053a36c0734,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,6,0,24,24,6,6,0,1
large_gap_box_faces_input,large_gap_box_faces__constructed,operation_input,large_gap_box_faces_input.step,29233,386d8b16565e6a459444151b4d606aaf22c76bc1a4c8b9acdfdbe16f250b4a5e,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,6,0,24,24,6,6,0,1
valid_box_shell_input,valid_box_shell__orientation_input,repair_input,valid_box_shell_input.step,15386,e67ac2ab18e6e1eef782b9bdeb6ac417d92e3c5986a4417ee574d02ed52b95be,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,1,0,8,12,6,1,0,1
flipped_face_box_shell_input,flipped_face_box_shell__orientation_input,repair_input,flipped_face_box_shell_input.step,15386,dc17d39f06b6d0bc25ebd310f8de4e8b1ba2ec91eefc31c4abb01b9e905805cf,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,1,0,8,12,6,1,0,1
flipped_face_box_shell_reoriented,flipped_face_box_shell__orientation_repaired,repair_output,flipped_face_box_shell_reoriented.step,15388,f488e90be0c04568c83d5bcbccb72e71f8c6f2d4e0a58b954828910df1146f06,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,0,1,8,12,6,1,0,1
coincident_box_faces_sewn_tol_1e_4,coincident_box_faces__sewn_tol_1e_4,sewing_output,coincident_box_faces_sewn_tol_1e_4.step,16274,ccfa1621e0c390fd51fab5fc844b83201e17c9fbb17f3f601b9fccee3f467b58,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,0,1,8,12,6,1,0,1
small_gap_box_faces_sewn_tol_1e_4,small_gap_box_faces__sewn_tol_1e_4,sewing_output,small_gap_box_faces_sewn_tol_1e_4.step,16313,dad354d490ab5e1c6b40049c7a022af55f7ba1c3a1d2ec8214ffa832fa413303,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,0,1,8,12,6,1,0,1
large_gap_box_faces_sewn_tol_1e_4,large_gap_box_faces__sewn_tol_1e_4,sewing_output,large_gap_box_faces_sewn_tol_1e_4.step,16303,5af2421656c40aef81d33690692243f744aec1ce3bb9aa9ac9c49f215a80f8de,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,0,1,8,12,6,1,0,1
large_gap_box_faces_tolerance_capped,large_gap_box_faces__tolerance_capped_1e_5,rejected_tolerance_output,large_gap_box_faces_tolerance_capped.step,16303,a398425a205f1d45258370896db5ad5cc9ea6e3db0d66556e56cdd5a1283f652,synthetic 4 by 5 by 6 planar box-face control,7.9.3.1.1,7.9.3.1,Open CASCADE STEP processor 7.9,IFSelect_RetDone,IFSelect_RetDone,1,6,0,1,8,12,6,1,0,1
