fixture,category,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,schema_identifier,occurrence_count,path_count,relation_count,unit_observation_count,distinct_definition_count,reused_definition_count,maximum_depth,diagnostic_count,source_sha256
single_translation,accepted_transform,one millimetre child translated in its parent,accept,accept,1,assembly_paths_evaluated,assembly_paths_evaluated,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,28,2,2,0,1,0,0eaf3ed3b8ced5068347e8f669dec859e2a53a477235edef37b2d411486a21dd
rotated_occurrence,accepted_transform,one child rotated 90 degrees about the positive z axis,accept,accept,1,assembly_paths_evaluated,assembly_paths_evaluated,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,28,2,2,0,1,0,297472de756690973ed1cdfaf923a477cc83852dc24929606e395f33bd708fcc
source_frame_offset,accepted_transform,non-origin source frame distinguishes transform direction,accept,accept,1,assembly_paths_evaluated,assembly_paths_evaluated,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,28,2,2,0,1,0,870c7a76ee7d2587ae9ba408842d3ff7465f1a01b2e0525b88de2f1276cee8a2
nested_reuse,accepted_structure,one subassembly and three occurrences of one reused part,accept,accept,1,assembly_paths_evaluated,assembly_paths_evaluated,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,4,4,112,8,3,1,2,0,ce84a6209a424566d29193daf898901b8d12de3178adc995161152463477ad05
conversion_based_inch,accepted_unit,inch child coordinates normalized into a millimetre parent,accept,accept,1,assembly_paths_evaluated,assembly_paths_evaluated,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,1,1,30,2,2,0,1,0,e789d832a92771e74ee3dc7f146300b2e769b121783870d6d8836d3d4e1f8718
no_assembly_occurrence,optional_path,a valid AP242 part without an assembly occurrence,quarantine,quarantine,1,assembly_occurrence_not_found,assembly_occurrence_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,9638db47c02cbe435789ab8821e68765de931f7736de04cccf64511d5e1014ea
missing_occurrence_shape,optional_path,an occurrence without a product-definition shape association,quarantine,quarantine,1,occurrence_shape_not_found,occurrence_shape_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,84193b06a2a44384755dd60f1c4fa229a96c9ddc750db0f4fd325daa8da32fc9
missing_context_dependent_relation,optional_path,an occurrence shape without a context-dependent relation,quarantine,quarantine,1,context_dependent_shape_representation_not_found,context_dependent_shape_representation_not_found,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,312b9564e6c44433855b885d2ae1e50ebf2d1281ed35dfed57b0d24c6f63a478
unsupported_transform_operator,subset_boundary,a transformation operator outside the item-defined subset,quarantine,quarantine,1,transformation_form_deferred,transformation_form_deferred,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,489ed6fc4d681b992e9e9fd31aac6dddd13073636669bc54db42b814d76047ab
missing_length_unit,subset_boundary,a child representation context without a length unit,quarantine,quarantine,1,length_unit_not_available,length_unit_not_available,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,9573e68fc4a4c4003731bf8ca06e2aaf9013807d190be207573e2554385fa86c
assembly_depth_budget,resource_boundary,a two-level path evaluated with a one-level traversal budget,quarantine,quarantine,1,assembly_depth_limit,assembly_depth_limit,,0,0,0,0,0,0,0,0,e6fa53a3175628ac7595027c36dabb15d22193bb14b6dd48a02d7510f0038c92
wrong_representation_order,semantic_invalidity,parent and child representations reversed in the relationship,reject,reject,1,assembly_representation_order_mismatch,assembly_representation_order_mismatch,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,da5e387eb1a6233914e6803a81a0636bcef99cf90390e4b7347ec64deebb7fd1
nonorthogonal_placement,semantic_invalidity,placement axis and reference direction are not orthogonal,reject,reject,1,nonorthogonal_placement_axes,nonorthogonal_placement_axes,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,098d4ea0e45cdedbe60ad1e9f4b4d51577bcef8f28657f03c839ac320f638127
unresolved_child_definition,semantic_invalidity,the occurrence points to an absent child definition,reject,reject,1,unresolved_semantic_reference,unresolved_semantic_reference,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,d1496902684f4bf8bd2ebaf1cc9a376911413640347cfd4223eb4b715716ae09
duplicate_reference_designator,semantic_invalidity,two children in one parent share a reference designator,reject,reject,1,duplicate_reference_designator,duplicate_reference_designator,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,2,0,56,4,2,1,0,1,74f50e77758fe16846f8988faf7aadc93c0efcd1f732b331e3f107f4d1d1dbbf
assembly_cycle,semantic_invalidity,two definitions contain each other,reject,reject,1,assembly_cycle,assembly_cycle,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,2,0,56,4,2,0,0,1,66f11476ceebf0d549c314f991876148c46024a201a4f5902303bc9138d48090
unit_conversion_cycle,semantic_invalidity,a conversion-based length unit points back to itself,reject,reject,1,unit_conversion_cycle,unit_conversion_cycle,AP242_MANAGED_MODEL_BASED_3D_ENGINEERING_MIM_LF,0,0,0,0,0,0,0,1,9dbc776ce2ac937a5642f8a7741f669582457aa9285fd6e8e749a8ea2214aa42
