fixture,occurrence_index,entity_id,identifier,name,reference_designator,parent_product_definition_entity_id,child_product_definition_entity_id,parent_representation_entity_id,child_representation_entity_id,transformation_entity_id,source_placement_entity_id,target_placement_entity_id,child_unit_name,child_scale_to_millimetre,parent_unit_name,parent_scale_to_millimetre,local_translation_x_mm,local_translation_y_mm,local_translation_z_mm,local_rotation,rotation_determinant,source_line
single_translation,0,1000,O-1000,Reusable child in Root assembly,C1,102,202,105,205,1004,1005,1006,millimetre,1,millimetre,1,10,20,30,1|0|0|0|1|0|0|0|1,1,41
rotated_occurrence,0,1000,O-1000,Reusable child in Root assembly,C1,102,202,105,205,1004,1005,1006,millimetre,1,millimetre,1,10,0,0,0|-1|0|1|0|0|0|0|1,1,41
source_frame_offset,0,1000,O-1000,Reusable child in Root assembly,C1,102,202,105,205,1004,1005,1006,millimetre,1,millimetre,1,15,0,0,1|0|0|0|1|0|0|0|1,1,41
nested_reuse,0,1000,O-1000,Subassembly in Root assembly,S1,102,302,105,305,1004,1005,1006,millimetre,1,millimetre,1,100,0,0,0|-1|0|1|0|0|0|0|1,1,56
nested_reuse,1,1100,O-1100,Reusable bolt in Root assembly,B1,102,402,105,405,1104,1105,1106,millimetre,1,millimetre,1,10,0,0,1|0|0|0|1|0|0|0|1,1,69
nested_reuse,2,1200,O-1200,Reusable bolt in Root assembly,B2,102,402,105,405,1204,1205,1206,millimetre,1,millimetre,1,20,0,0,1|0|0|0|1|0|0|0|1,1,82
nested_reuse,3,1300,O-1300,Reusable bolt in Subassembly,B3,302,402,305,405,1304,1305,1306,millimetre,1,millimetre,1,10,0,0,1|0|0|0|1|0|0|0|1,1,95
conversion_based_inch,0,1000,O-1000,Inch child in Root assembly,I1,102,502,105,505,1004,1005,1006,inch,25.4,millimetre,1,25.4,0,0,1|0|0|0|1|0|0|0|1,1,43
duplicate_reference_designator,0,1000,O-1000,Reusable child in Root assembly,C1,102,202,105,205,1004,1005,1006,millimetre,1,millimetre,1,10,0,0,1|0|0|0|1|0|0|0|1,1,41
duplicate_reference_designator,1,1100,O-1100,Reusable child in Root assembly,C1,102,202,105,205,1104,1105,1106,millimetre,1,millimetre,1,20,0,0,1|0|0|0|1|0|0|0|1,1,54
assembly_cycle,0,1000,O-1000,Reusable child in Root assembly,C1,102,202,105,205,1004,1005,1006,millimetre,1,millimetre,1,0,0,0,1|0|0|0|1|0|0|0|1,1,41
assembly_cycle,1,1100,O-1100,Root assembly in Reusable child,R1,202,102,205,105,1104,1105,1106,millimetre,1,millimetre,1,0,0,0,1|0|0|0|1|0|0|0|1,1,54
