fixture,occurrence_index,side,representation_entity_id,unit_entity_id,unit_name,unit_form,scale_to_millimetre,conversion_hops,source_line
single_translation,0,child,205,212,millimetre,si,1,0,38
single_translation,0,parent,105,112,millimetre,si,1,0,23
rotated_occurrence,0,child,205,212,millimetre,si,1,0,38
rotated_occurrence,0,parent,105,112,millimetre,si,1,0,23
source_frame_offset,0,child,205,212,millimetre,si,1,0,38
source_frame_offset,0,parent,105,112,millimetre,si,1,0,23
nested_reuse,0,child,305,312,millimetre,si,1,0,38
nested_reuse,0,parent,105,112,millimetre,si,1,0,23
nested_reuse,1,child,405,412,millimetre,si,1,0,53
nested_reuse,1,parent,105,112,millimetre,si,1,0,23
nested_reuse,2,child,405,412,millimetre,si,1,0,53
nested_reuse,2,parent,105,112,millimetre,si,1,0,23
nested_reuse,3,child,405,412,millimetre,si,1,0,53
nested_reuse,3,parent,305,312,millimetre,si,1,0,38
conversion_based_inch,0,child,505,512,inch,conversion_based,25.4,1,38
conversion_based_inch,0,parent,105,112,millimetre,si,1,0,23
duplicate_reference_designator,0,child,205,212,millimetre,si,1,0,38
duplicate_reference_designator,0,parent,105,112,millimetre,si,1,0,23
duplicate_reference_designator,1,child,205,212,millimetre,si,1,0,38
duplicate_reference_designator,1,parent,105,112,millimetre,si,1,0,23
assembly_cycle,0,child,205,212,millimetre,si,1,0,38
assembly_cycle,0,parent,105,112,millimetre,si,1,0,23
assembly_cycle,1,child,105,112,millimetre,si,1,0,23
assembly_cycle,1,parent,205,212,millimetre,si,1,0,38
