contract_version,stage,control_id,source_file,source_sha256,vertex_count,edge_count,face_count,shell_count,solid_count,absolute_volume,expected_exact_volume,volume_exact_set_difference,surface_area,expected_exact_surface_area,surface_area_exact_set_difference,surface_centroid_x,surface_centroid_y,surface_centroid_z,surface_counts,maximum_vertex_tolerance,maximum_edge_tolerance,maximum_face_tolerance,analyzer_valid
1.0.0,constructed,overlap_fuse,,,20,30,12,1,1,109.99999999999999,110,1.4210854715202004e-14,150,150,0,3,2.5,2.5,"('plane', 12)",1.4999999999999999e-07,1.4999999999999999e-07,9.9999999999999995e-08,1
1.0.0,step_imported,overlap_fuse,overlap_fuse.step,1f28e92d5c2e8c8a0f846f45d2681fcfa2102b072428f90ba7197c8f4ef7e336,20,30,12,1,1,109.99999999999999,110,1.4210854715202004e-14,150,150,0,3,2.5,2.5,"('plane', 12)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,overlap_common,,,8,12,6,1,1,18,18,0,42,42,0,3,2.5,2.5,"('plane', 6)",1.4999999999999999e-07,1.4999999999999999e-07,9.9999999999999995e-08,1
1.0.0,step_imported,overlap_common,overlap_common.step,90711f218856370d00a9bbe01315a6346a84f95f7639c02f1fddf67ebab2ca95,8,12,6,1,1,18,18,0,42,42,0,3,2.5,2.5,"('plane', 6)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,overlap_cut,,,14,21,9,1,1,45.999999999999993,46,7.1054273576010019e-15,96,96,0,1.8125,1.8125,1.8125,"('plane', 9)",1.4999999999999999e-07,1.4999999999999999e-07,9.9999999999999995e-08,1
1.0.0,step_imported,overlap_cut,overlap_cut.step,e4817a1b29bf407540bc89111a26e30836b7e6653a7abe6bd2571c014e875ebd,14,21,9,1,1,45.999999999999993,46,7.1054273576010019e-15,96,96,0,1.8125,1.8125,1.8125,"('plane', 9)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,disjoint_fuse,,,16,24,12,2,2,15.999999999999993,16,7.1054273576010019e-15,48,48,0,2.5,1,1,"('plane', 12)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,step_imported,disjoint_fuse,disjoint_fuse.step,e57ec05663396098eba347fd0346b63daa09883f57248ce5966d24524fa8ba8d,16,24,12,2,2,15.999999999999993,16,7.1054273576010019e-15,48,48,0,2.5,1,1,"('plane', 12)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,face_touching_fuse,,,12,20,10,1,1,15.999999999999995,16,5.3290705182007514e-15,40,40,0,2,1,1,"('plane', 10)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,step_imported,face_touching_fuse,face_touching_fuse.step,a0d4a526e2c5a7e9a563dc3f59d2c0c8976465abf6591c236c128676b42768f5,12,20,10,1,1,15.999999999999995,16,5.3290705182007514e-15,40,40,0,2,1,1,"('plane', 10)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,near_gap_fuse_default,,,16,24,12,2,2,15.999999999999993,16,7.1054273576010019e-15,48,48,0,2.0000250000000004,1,1,"('plane', 12)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,step_imported,near_gap_fuse_default,near_gap_fuse_default.step,e6be4478f5b758f79bad461c7043d3abfaa72ee5cb6a45736cffb31ab01a2947,16,24,12,2,2,15.999999999999993,16,7.1054273576010019e-15,48,48,0,2.0000250000000004,1,1,"('plane', 12)",9.9999999999999995e-08,9.9999999999999995e-08,9.9999999999999995e-08,1
1.0.0,constructed,near_gap_fuse_fuzzy,,,12,20,10,1,1,16.000133333333331,16,0.00013333333333065411,40.000200000000007,48,7.9997999999999934,2.0000249999999995,1,0.99999999999999978,"('plane', 10)",5.0099999999883473e-05,5.0099999999883473e-05,9.9999999999999995e-08,1
1.0.0,step_imported,near_gap_fuse_fuzzy,near_gap_fuse_fuzzy.step,950e26c9e14f1b28d8a90661568c8b64371e3685e35122113683191ff864cabf,12,20,10,1,1,16.000199999999996,16,0.00019999999999598117,40.000400000000006,48,7.9995999999999938,2.0000249999999999,0.99999999999999978,0.99999999999999978,"('plane', 10)",2.5000024999941734e-05,9.9999999999999995e-08,9.9999999999999995e-08,1
