scope,metric,value
fixture,face_count,3
fixture,unique_edge_count,11
fixture,wire_occurrence_count,12
fixture,line_edge_count,7
fixture,circle_edge_count,4
fixture,seam_edge_count,1
exchange,step_edge_curve_count,11
exchange,step_surface_curve_count,10
exchange,step_pcurve_count,12
exchange,step_seam_curve_count,1
exchange,constructed_valid,1
exchange,imported_valid,1
constructed,curve_type_match_count,11
constructed,same_parameter_true_count,11
constructed,same_range_true_count,11
constructed,max_length_absolute_error,3.5527136788005009e-15
constructed,max_parameter_span_absolute_error,0
constructed,max_uv_absolute_error,0
constructed,max_range_alignment_error,0
constructed,max_pcurve_to_curve_distance,7.3478807948841188e-16
constructed,min_edge_tolerance,1.0000000000000001e-05
constructed,max_edge_tolerance,3.0000000000000001e-05
step_imported,curve_type_match_count,11
step_imported,same_parameter_true_count,11
step_imported,same_range_true_count,11
step_imported,max_length_absolute_error,3.4638958368304884e-14
step_imported,max_parameter_span_absolute_error,1.7319479184152442e-14
step_imported,max_uv_absolute_error,4.1389114358025836e-13
step_imported,max_range_alignment_error,0
step_imported,max_pcurve_to_curve_distance,1.2409386426612867e-12
step_imported,min_edge_tolerance,9.9999999999999995e-08
step_imported,max_edge_tolerance,9.9999999999999995e-08
