scope,metric,value
fixture,face_count,3
fixture,plane_count,2
fixture,cylinder_count,1
fixture,reversed_face_count,1
exchange,constructed_valid,1
exchange,imported_valid,1
exchange,orientation_matches,3
exchange,exported_uncertainty_unique_values,0.0001
constructed,max_area_absolute_error,3.5527136788005009e-15
constructed,max_centroid_distance,5.5511151231257827e-17
constructed,max_uv_max_absolute_error,0
constructed,max_representative_point_distance,0
constructed,max_oriented_normal_angle_degrees,0
constructed,max_surface_origin_distance,0
constructed,max_surface_axis_angle_degrees,0
constructed,max_radius_absolute_error,0
constructed,min_face_tolerance,0.0001
constructed,max_face_tolerance,0.00029999999999999997
step_imported,max_area_absolute_error,3.5527136788005009e-15
step_imported,max_centroid_distance,1.6653345369377348e-16
step_imported,max_uv_max_absolute_error,1.3161693956931231e-13
step_imported,max_representative_point_distance,5.9613910943844798e-14
step_imported,max_oriented_normal_angle_degrees,0
step_imported,max_surface_origin_distance,0
step_imported,max_surface_axis_angle_degrees,0
step_imported,max_radius_absolute_error,0
step_imported,min_face_tolerance,9.9999999999999995e-08
step_imported,max_face_tolerance,9.9999999999999995e-08
