fixture,symbol_id,schema_name,entity_name,status,immediate_supertype_ids,transitive_supertype_ids,local_attribute_count,inherited_attribute_count,effective_attribute_count,redeclared_attribute_count
local_attribute_type,demo::item,demo,item,resolved,,,1,0,1,0
case_insensitive_resolution,demo::item,Demo,Item,resolved,,,1,0,1,0
forward_type_reference,demo::item,demo,item,resolved,,,1,0,1,0
aggregate_entity_element,demo::item,demo,item,resolved,,,0,0,0,0
select_members,demo::item,demo,item,resolved,,,0,0,0,0
single_inheritance,demo::base,demo,base,resolved,,,1,0,1,0
single_inheritance,demo::child,demo,child,resolved,demo::base,demo::base,0,1,1,0
transitive_inheritance,demo::root,demo,root,resolved,,,1,0,1,0
transitive_inheritance,demo::middle,demo,middle,resolved,demo::root,demo::root,0,1,1,0
transitive_inheritance,demo::leaf,demo,leaf,resolved,demo::middle,demo::root|demo::middle,0,1,1,0
multiple_inheritance_distinct,demo::left,demo,left,resolved,,,1,0,1,0
multiple_inheritance_distinct,demo::right,demo,right,resolved,,,1,0,1,0
multiple_inheritance_distinct,demo::child,demo,child,resolved,demo::left|demo::right,demo::left|demo::right,0,2,2,0
diamond_inheritance,demo::root,demo,root,resolved,,,1,0,1,0
diamond_inheritance,demo::left,demo,left,resolved,demo::root,demo::root,0,1,1,0
diamond_inheritance,demo::right,demo,right,resolved,demo::root,demo::root,0,1,1,0
diamond_inheritance,demo::leaf,demo,leaf,resolved,demo::left|demo::right,demo::root|demo::left|demo::right,0,1,1,0
qualified_redeclaration,demo::base,demo,base,resolved,,,1,0,1,0
qualified_redeclaration,demo::child,demo,child,resolved,demo::base,demo::base,1,0,1,1
use_explicit,base::item,base,item,resolved,,,0,0,0,0
use_explicit,app::holder,app,holder,resolved,,,1,0,1,0
use_alias,app::item,app,item,resolved,,,1,0,1,0
use_all,base::item,base,item,resolved,,,0,0,0,0
use_all,app::holder,app,holder,resolved,,,2,0,2,0
inverse_attribute,demo::owner,demo,owner,resolved,,,1,0,1,0
inverse_attribute,demo::item,demo,item,resolved,,,2,0,2,0
rule_target,demo::item,demo,item,resolved,,,0,0,0,0
missing_type,demo::item,demo,item,resolved,,,1,0,1,0
wrong_kind_type_alias,demo::item,demo,item,resolved,,,0,0,0,0
missing_import_item,base::item,base,item,resolved,,,0,0,0,0
import_collision,app::item,app,item,resolved,,,1,0,1,0
missing_supertype,demo::child,demo,child,unresolved,,,0,0,0,0
wrong_supertype_kind,demo::child,demo,child,unresolved,,,0,0,0,0
inheritance_cycle,demo::first,demo,first,cyclic,demo::second,,0,0,0,0
inheritance_cycle,demo::second,demo,second,cyclic,demo::first,,0,0,0,0
unqualified_redeclaration,demo::base,demo,base,resolved,,,1,0,1,0
unqualified_redeclaration,demo::child,demo,child,ambiguous,demo::base,demo::base,1,1,2,0
inherited_collision,demo::left,demo,left,resolved,,,1,0,1,0
inherited_collision,demo::right,demo,right,resolved,,,1,0,1,0
inherited_collision,demo::child,demo,child,ambiguous,demo::left|demo::right,demo::left|demo::right,0,2,2,0
invalid_qualified_redeclaration,demo::base,demo,base,resolved,,,1,0,1,0
invalid_qualified_redeclaration,demo::child,demo,child,ambiguous,demo::base,demo::base,1,1,2,0
inverse_missing_forward,demo::owner,demo,owner,resolved,,,0,0,0,0
inverse_missing_forward,demo::item,demo,item,resolved,,,1,0,1,0
