fixture,schema_name,owner_symbol_id,role,source_name,expected_kinds,status,resolved_symbol_id,candidate_symbol_ids,source_line
local_attribute_type,demo,demo::item,attribute_explicit:name,label,type|entity,resolved,demo::label,demo::label,1
alias_chain,demo,demo::middle,type_underlying,base,type|entity,resolved,demo::base,demo::base,1
alias_chain,demo,demo::top,type_underlying,middle,type|entity,resolved,demo::middle,demo::middle,1
alias_chain,demo,demo::middle,type_alias_target,base,type,resolved,demo::base,demo::base,1
alias_chain,demo,demo::top,type_alias_target,middle,type,resolved,demo::middle,demo::middle,1
case_insensitive_resolution,Demo,demo::item,attribute_explicit:name,lAbEl,type|entity,resolved,demo::label,demo::label,1
forward_type_reference,demo,demo::item,attribute_explicit:code,label,type|entity,resolved,demo::label,demo::label,1
aggregate_entity_element,demo,demo::items,type_underlying.element,item,type|entity,resolved,demo::item,demo::item,1
select_members,demo,demo::choice,select_member,label,type|entity,resolved,demo::label,demo::label,1
select_members,demo,demo::choice,select_member,item,type|entity,resolved,demo::item,demo::item,1
constant_bounds,demo,demo::labels,type_underlying.upper,upper_limit,constant,resolved,demo::upper_limit,demo::upper_limit,1
single_inheritance,demo,demo::child,entity_supertype,base,entity,resolved,demo::base,demo::base,1
transitive_inheritance,demo,demo::middle,entity_supertype,root,entity,resolved,demo::root,demo::root,1
transitive_inheritance,demo,demo::leaf,entity_supertype,middle,entity,resolved,demo::middle,demo::middle,1
multiple_inheritance_distinct,demo,demo::child,entity_supertype,left,entity,resolved,demo::left,demo::left,1
multiple_inheritance_distinct,demo,demo::child,entity_supertype,right,entity,resolved,demo::right,demo::right,1
diamond_inheritance,demo,demo::left,entity_supertype,root,entity,resolved,demo::root,demo::root,1
diamond_inheritance,demo,demo::right,entity_supertype,root,entity,resolved,demo::root,demo::root,1
diamond_inheritance,demo,demo::leaf,entity_supertype,left,entity,resolved,demo::left,demo::left,1
diamond_inheritance,demo,demo::leaf,entity_supertype,right,entity,resolved,demo::right,demo::right,1
qualified_redeclaration,demo,demo::child,entity_supertype,base,entity,resolved,demo::base,demo::base,1
use_explicit,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
use_explicit,app,app::<interface:1>,interface_use_item,item,type|entity,resolved,base::item,base::item,1
use_explicit,app,app::holder,attribute_explicit:value,item,type|entity,resolved,base::item,base::item,1
use_alias,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
use_alias,app,app::<interface:1>,interface_use_item,identifier,type|entity,resolved,base::identifier,base::identifier,1
use_alias,app,app::item,attribute_explicit:id,local_id,type|entity,resolved,base::identifier,base::identifier,1
use_all,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
use_all,app,app::<interface:1>,interface_use_item,label,type|entity,resolved,base::label,base::label,1
use_all,app,app::<interface:1>,interface_use_item,item,type|entity,resolved,base::item,base::item,1
use_all,app,app::holder,attribute_explicit:value,item,type|entity,resolved,base::item,base::item,1
use_all,app,app::holder,attribute_explicit:name,label,type|entity,resolved,base::label,base::label,1
reference_constant,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
reference_constant,app,app::<interface:1>,interface_reference_item,upper_limit,type|entity|constant|function|procedure,resolved,base::upper_limit,base::upper_limit,1
reference_constant,app,app::labels,type_underlying.upper,upper_limit,constant,resolved,base::upper_limit,base::upper_limit,1
reference_function,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
reference_function,app,app::<interface:1>,interface_reference_item,identity,type|entity|constant|function|procedure,resolved,base::identity,base::identity,1
inverse_attribute,demo,demo::owner,attribute_explicit:items.element,item,type|entity,resolved,demo::item,demo::item,1
inverse_attribute,demo,demo::item,attribute_explicit:owner_ref,owner,type|entity,resolved,demo::owner,demo::owner,1
inverse_attribute,demo,demo::item,attribute_inverse:owners.element,owner,type|entity,resolved,demo::owner,demo::owner,1
inverse_attribute,demo,demo::item,attribute_inverse:owners.target,owner,entity,resolved,demo::owner,demo::owner,1
inverse_attribute,demo,demo::item,inverse_for_attribute:owners,items,,resolved,demo::owner::attribute::items,demo::owner::attribute::items,1
rule_target,demo,demo::item_rule,rule_target,item,entity,resolved,demo::item,demo::item,1
missing_type,demo,demo::item,attribute_explicit:value,missing_type,type|entity,unresolved,,,1
wrong_kind_type_alias,demo,demo::item_alias,type_underlying,item,type|entity,resolved,demo::item,demo::item,1
wrong_kind_type_alias,demo,demo::item_alias,type_alias_target,item,type,invalid_kind,,demo::item,1
missing_select_member,demo,demo::choice,select_member,missing_item,type|entity,unresolved,,,1
missing_import_schema,app,app::<interface:1>,interface_schema,absent,schema,unresolved,,,1
missing_import_item,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
missing_import_item,app,app::<interface:1>,interface_use_item,missing_item,type|entity,unresolved,,,1
invalid_use_kind,app,app::<interface:1>,interface_schema,base,schema,resolved,schema::base,schema::base,1
invalid_use_kind,app,app::<interface:1>,interface_use_item,identity,type|entity,invalid_kind,,base::identity,1
import_collision,app,app::<interface:1>,interface_schema,left_schema,schema,resolved,schema::left_schema,schema::left_schema,1
import_collision,app,app::<interface:1>,interface_use_item,code,type|entity,resolved,left_schema::code,left_schema::code,1
import_collision,app,app::<interface:1>,interface_schema,right_schema,schema,resolved,schema::right_schema,schema::right_schema,1
import_collision,app,app::item,attribute_explicit:value,code,type|entity,ambiguous,,left_schema::code|right_schema::code,1
alias_cycle,demo,demo::first,type_underlying,second,type|entity,resolved,demo::second,demo::second,1
alias_cycle,demo,demo::second,type_underlying,first,type|entity,resolved,demo::first,demo::first,1
alias_cycle,demo,demo::first,type_alias_target,second,type,resolved,demo::second,demo::second,1
alias_cycle,demo,demo::second,type_alias_target,first,type,resolved,demo::first,demo::first,1
missing_supertype,demo,demo::child,entity_supertype,missing_base,entity,unresolved,,,1
wrong_supertype_kind,demo,demo::child,entity_supertype,base,entity,invalid_kind,,demo::base,1
inheritance_cycle,demo,demo::first,entity_supertype,second,entity,resolved,demo::second,demo::second,1
inheritance_cycle,demo,demo::second,entity_supertype,first,entity,resolved,demo::first,demo::first,1
unqualified_redeclaration,demo,demo::child,entity_supertype,base,entity,resolved,demo::base,demo::base,1
inherited_collision,demo,demo::child,entity_supertype,left,entity,resolved,demo::left,demo::left,1
inherited_collision,demo,demo::child,entity_supertype,right,entity,resolved,demo::right,demo::right,1
invalid_qualified_redeclaration,demo,demo::child,entity_supertype,base,entity,resolved,demo::base,demo::base,1
inverse_missing_forward,demo,demo::item,attribute_inverse:owners.element,owner,type|entity,resolved,demo::owner,demo::owner,1
inverse_missing_forward,demo,demo::item,attribute_inverse:owners.target,owner,entity,resolved,demo::owner,demo::owner,1
inverse_missing_forward,demo,demo::item,inverse_for_attribute:owners,missing_items,,unresolved,,,1
missing_bound_constant,demo,demo::labels,type_underlying.upper,missing_limit,constant,unresolved,,,1
