fixture,category,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,syntax_status,symbol_count,reference_count,resolved_reference_count,unresolved_reference_count,ambiguous_reference_count,invalid_kind_reference_count,type_count,resolved_type_count,cyclic_type_count,entity_count,resolved_inheritance_count,cyclic_inheritance_count,aggregate_bound_count,resolved_bound_count,deferred_bound_count,diagnostic_count,expression_validation,rule_execution,external_schema_loading,source_sha256
local_attribute_type,local_scope,local entity attribute type,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,envelope_only,not_attempted,not_attempted,38af12a0fec9eb386d5081b23e1d86bd500cd52b305cdb6896144f7c02450561
alias_chain,types,three-level type alias chain,accept,accept,1,resolved,resolved,parsed,4,4,4,0,0,0,3,3,0,0,0,0,0,0,0,0,envelope_only,not_attempted,not_attempted,0189429123035c2e8bbaa26f47b5e96226cd1eb4a907cd81e0aa9027268f7c62
case_insensitive_resolution,local_scope,case-insensitive symbol lookup,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,envelope_only,not_attempted,not_attempted,52cdfd0cea9c55aec24662bc0b29fb2f120c9c4a0b718b5824568d5bd3e10adf
forward_type_reference,local_scope,forward named-type reference,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,envelope_only,not_attempted,not_attempted,4333afadf5a87b77bdc363334250c12da97749af9858499c709f299358044f6f
aggregate_entity_element,types,aggregate element entity,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,envelope_only,not_attempted,not_attempted,33157fd0e72cfd8502fc81f8b75071add141ef9af303dd850289605fcc221a4a
select_members,types,defined-type and entity select members,accept,accept,1,resolved,resolved,parsed,4,2,2,0,0,0,2,2,0,1,1,0,0,0,0,0,envelope_only,not_attempted,not_attempted,8710c5dc25b7c9598f4ea087606dcd9da70333cdb7eefa1d4927f2827c5a6270
literal_bounds,bounds,integer and unbounded aggregate bounds,accept,accept,1,resolved,resolved,parsed,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,envelope_only,not_attempted,not_attempted,2995ab220a7d2ce6c89f3225b829dd0beb9269e21c0b0fbafb4d15b7d201ebc2
constant_bounds,bounds,local integer constant upper bound,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,envelope_only,not_attempted,not_attempted,0ba2e7942a1ebf510093b0f9ca346527268fdb5cd2edb8544a01dd70700d408a
single_inheritance,inheritance,single entity inheritance,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,envelope_only,not_attempted,not_attempted,c2c1030f0d57568883d576e53b8c5c9d4ac7df240a5cf623492e8ad19e013a7a
transitive_inheritance,inheritance,transitive entity inheritance,accept,accept,1,resolved,resolved,parsed,4,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,envelope_only,not_attempted,not_attempted,74a5b835fe5320b2b971604b5ddef02c52d1d629f2aed67d161cf624d815ff1c
multiple_inheritance_distinct,inheritance,multiple inheritance with distinct attributes,accept,accept,1,resolved,resolved,parsed,4,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,envelope_only,not_attempted,not_attempted,8e17cca80cadc157121a214d6f7cb005878353f1895d553c00188dd0ed7d7b41
diamond_inheritance,inheritance,diamond inheritance with one shared origin,accept,accept,1,resolved,resolved,parsed,5,4,4,0,0,0,0,0,0,4,4,0,0,0,0,0,envelope_only,not_attempted,not_attempted,910bea6841144b74ff0ea3f374bfa769ea7dac06e7a005007568ef1907d029c0
qualified_redeclaration,inheritance,qualified inherited attribute redeclaration,accept,accept,1,resolved,resolved,parsed,3,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,envelope_only,not_attempted,not_attempted,e30db4ec9c7c50968d4a5c8af6835b653fa4859df5ab87314095760031a750b2
use_explicit,interfaces,explicit USE import,accept,accept,1,resolved,resolved,parsed,4,3,3,0,0,0,0,0,0,2,2,0,0,0,0,0,envelope_only,not_attempted,not_attempted,2140b98259669c29d54b887b6391413bb87f77049d01ed0e0441ef32bbac716c
use_alias,interfaces,renamed USE import,accept,accept,1,resolved,resolved,parsed,4,3,3,0,0,0,1,1,0,1,1,0,0,0,0,0,envelope_only,not_attempted,not_attempted,f09d4186193c3b7b0f5e7c92154caa0afa387408e1586fe0fdc1c25ee56bf57e
use_all,interfaces,whole-schema direct USE import,accept,accept,1,resolved,resolved,parsed,5,5,5,0,0,0,1,1,0,2,2,0,0,0,0,0,envelope_only,not_attempted,not_attempted,ae97bbe4a06327c293a7221ad48ab2aab4b90e6ba2de5ae57948dc7d959c30cc
reference_constant,interfaces,REFERENCE import used as aggregate bound,accept,accept,1,resolved,resolved,parsed,4,3,3,0,0,0,1,1,0,0,0,0,1,1,0,0,envelope_only,not_attempted,not_attempted,52f94e71c464d89b22a158fb2612f070653f05f138b8ba25b6da11d12e6349c6
reference_function,interfaces,REFERENCE import of a function symbol,accept,accept,1,resolved,resolved,parsed,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,envelope_only,not_attempted,not_attempted,7dbc8556a03f214588260a752f49642ac1ff3d4391b131112e2ccf934b7749b0
inverse_attribute,inheritance,inverse forward-attribute lookup,accept,accept,1,resolved,resolved,parsed,3,5,5,0,0,0,0,0,0,2,2,0,2,2,0,0,envelope_only,not_attempted,not_attempted,3ed86bd28f50c2a93195d593144bd9e0627ec4e8de7105af517de8a2b6bd9a4b
