scope,metric,value
corpus,fixture_count,38
corpus,expectation_rate,1.000000
expected,accept,20
observed,accept,20
expected,quarantine,1
observed,quarantine,1
expected,reject,17
observed,reject,17
symbols,row_count,118
references,row_count,72
types,row_count,23
aggregate_bounds,row_count,9
inheritance,row_count,44
references,ambiguous,1
references,invalid_kind,3
references,resolved,61
references,unresolved,7
types,cyclic,2
types,invalid_kind,1
types,resolved,17
types,unresolved,3
inheritance,ambiguous,3
inheritance,cyclic,2
inheritance,resolved,37
inheritance,unresolved,2
