scope,metric,value
corpus,fixture_count,40
corpus,expectation_rate,1.000000
expected,accept,20
observed,accept,20
expected,quarantine,1
observed,quarantine,1
expected,reject,19
observed,reject,19
model,inventory_row_count,59
model,attribute_derived,1
model,attribute_explicit,8
model,attribute_inverse,1
model,constant,6
model,entity,9
model,function,1
model,interface_reference,1
model,interface_use,1
model,procedure,1
model,rule,1
model,schema,21
model,type,5
model,unique_rule,1
model,where_rule,2
