fixture,symbol_id,schema_name,name,kind,source_line
local_attribute_type,schema::demo,demo,demo,schema,1
local_attribute_type,demo::label,demo,label,type,1
local_attribute_type,demo::item,demo,item,entity,1
alias_chain,schema::demo,demo,demo,schema,1
alias_chain,demo::base,demo,base,type,1
alias_chain,demo::middle,demo,middle,type,1
alias_chain,demo::top,demo,top,type,1
case_insensitive_resolution,schema::demo,Demo,Demo,schema,1
case_insensitive_resolution,demo::label,Demo,Label,type,1
case_insensitive_resolution,demo::item,Demo,Item,entity,1
forward_type_reference,schema::demo,demo,demo,schema,1
forward_type_reference,demo::label,demo,label,type,1
forward_type_reference,demo::item,demo,item,entity,1
aggregate_entity_element,schema::demo,demo,demo,schema,1
aggregate_entity_element,demo::items,demo,items,type,1
aggregate_entity_element,demo::item,demo,item,entity,1
select_members,schema::demo,demo,demo,schema,1
select_members,demo::label,demo,label,type,1
select_members,demo::choice,demo,choice,type,1
select_members,demo::item,demo,item,entity,1
literal_bounds,schema::demo,demo,demo,schema,1
literal_bounds,demo::labels,demo,labels,type,1
constant_bounds,schema::demo,demo,demo,schema,1
constant_bounds,demo::labels,demo,labels,type,1
constant_bounds,demo::upper_limit,demo,upper_limit,constant,1
single_inheritance,schema::demo,demo,demo,schema,1
single_inheritance,demo::base,demo,base,entity,1
single_inheritance,demo::child,demo,child,entity,1
transitive_inheritance,schema::demo,demo,demo,schema,1
transitive_inheritance,demo::root,demo,root,entity,1
transitive_inheritance,demo::middle,demo,middle,entity,1
transitive_inheritance,demo::leaf,demo,leaf,entity,1
multiple_inheritance_distinct,schema::demo,demo,demo,schema,1
multiple_inheritance_distinct,demo::left,demo,left,entity,1
multiple_inheritance_distinct,demo::right,demo,right,entity,1
multiple_inheritance_distinct,demo::child,demo,child,entity,1
diamond_inheritance,schema::demo,demo,demo,schema,1
diamond_inheritance,demo::root,demo,root,entity,1
diamond_inheritance,demo::left,demo,left,entity,1
diamond_inheritance,demo::right,demo,right,entity,1
diamond_inheritance,demo::leaf,demo,leaf,entity,1
qualified_redeclaration,schema::demo,demo,demo,schema,1
qualified_redeclaration,demo::base,demo,base,entity,1
qualified_redeclaration,demo::child,demo,child,entity,1
use_explicit,schema::base,base,base,schema,1
