fixture,symbol_id,schema_name,type_name,status,terminal_domain,alias_chain
local_attribute_type,demo::label,demo,label,resolved,simple:STRING,demo::label
alias_chain,demo::base,demo,base,resolved,simple:INTEGER,demo::base
alias_chain,demo::middle,demo,middle,resolved,simple:INTEGER,demo::middle|demo::base
alias_chain,demo::top,demo,top,resolved,simple:INTEGER,demo::top|demo::middle|demo::base
case_insensitive_resolution,demo::label,Demo,Label,resolved,simple:STRING,demo::label
forward_type_reference,demo::label,demo,label,resolved,simple:STRING,demo::label
aggregate_entity_element,demo::items,demo,items,resolved,aggregate:LIST,demo::items
select_members,demo::label,demo,label,resolved,simple:STRING,demo::label
select_members,demo::choice,demo,choice,resolved,select,demo::choice
literal_bounds,demo::labels,demo,labels,resolved,aggregate:LIST,demo::labels
constant_bounds,demo::labels,demo,labels,resolved,aggregate:LIST,demo::labels
use_alias,base::identifier,base,identifier,resolved,simple:STRING,base::identifier
use_all,base::label,base,label,resolved,simple:STRING,base::label
reference_constant,app::labels,app,labels,resolved,aggregate:LIST,app::labels
wrong_kind_type_alias,demo::item_alias,demo,item_alias,invalid_kind,,demo::item_alias
missing_select_member,demo::choice,demo,choice,unresolved,select,demo::choice
import_collision,left_schema::code,left_schema,code,resolved,simple:STRING,left_schema::code
import_collision,right_schema::code,right_schema,code,resolved,simple:INTEGER,right_schema::code
alias_cycle,demo::first,demo,first,cyclic,,demo::first|demo::second|demo::first
alias_cycle,demo::second,demo,second,cyclic,,demo::second|demo::first|demo::second
wrong_supertype_kind,demo::base,demo,base,resolved,simple:STRING,demo::base
invalid_bound_order,demo::labels,demo,labels,unresolved,aggregate:LIST,demo::labels
missing_bound_constant,demo::labels,demo,labels,unresolved,aggregate:LIST,demo::labels
