contract_version,stage,control_id,source_file,source_sha256,analysis_face_index,parent_solid_indices,parent_shell_indices,surface_type,kernel_surface_type,orientation,area,centroid_x,centroid_y,centroid_z,u_min,u_max,v_min,v_max,representative_u,representative_v,representative_normal_x,representative_normal_y,representative_normal_z,surface_origin_x,surface_origin_y,surface_origin_z,surface_axis_x,surface_axis_y,surface_axis_z,surface_x_direction_x,surface_x_direction_y,surface_x_direction_z,plane_normal_x,plane_normal_y,plane_normal_z,radius,secondary_radius,semi_angle_degrees,u_degree,v_degree,u_pole_count,v_pole_count,u_knot_count,v_knot_count,u_periodic,v_periodic,u_rational,v_rational,outer_wire_count,inner_wire_count,boundary_edge_count,face_tolerance,adjacent_face_indices,name,name_source,color_red,color_green,color_blue,color_source
1.0.0,constructed,through_hole_solid,,,1,1,1,plane,GeomAbs_Plane,reversed,48,0,4,3,0,6,-8,0,3,-4,-1,-0,0,0,0,0,,,,0,0,1,1,0,-0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,2|3|4|5,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,2,1,1,plane,GeomAbs_Plane,reversed,72,6,0,3,0,6,0,12,3,6,0,-1,-0,0,0,0,,,,0,0,1,-0,1,0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,1|3|5|6,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,3,1,1,plane,GeomAbs_Plane,forward,91.091261478765944,6.107776277143298,4,6,0,12,0,8,6,4,0,0,1,0,0,6,,,,1,0,-0,0,0,1,,,,,,,,,,,,,,1,1,5,9.9999999999999995e-08,1|2|4|6|7,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,4,1,1,plane,GeomAbs_Plane,forward,72,6,8,3,0,6,0,12,3,6,-0,1,0,0,8,0,,,,0,0,1,-0,1,0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,1|3|5|6,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,5,1,1,plane,GeomAbs_Plane,reversed,91.091261478765944,6.107776277143298,4,0,0,12,0,8,6,4,-0,-0,-1,0,0,0,,,,1,0,-0,0,0,1,,,,,,,,,,,,,,1,1,5,9.9999999999999995e-08,1|2|4|6|7,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,6,1,1,plane,GeomAbs_Plane,forward,48,12,4,3,0,6,-8,0,3,-4,1,0,-0,12,0,0,,,,0,0,1,1,0,-0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,2|3|4|5,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,constructed,through_hole_solid,,,7,1,1,cylinder,GeomAbs_Cylinder,reversed,47.1238898038469,4,4,3,0,6.2831853071795862,1,7,3.1415926535897931,4,1,-1.2246467991473532e-16,-0,4,4,-1,0,0,1,1,0,-0,,,,1.25,,,,,,,,,,,,,1,0,3,9.9999999999999995e-08,3|5,Synthetic Through-Hole Solid,synthetic_control_manifest:shape,0.20000000000000001,0.45000000000000001,0.80000000000000004,synthetic_control_manifest:shape
1.0.0,step_imported,through_hole_solid,through_hole_solid.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,1,1,1,plane,GeomAbs_Plane,reversed,48,0,4,3,0,6,-8,0,3,-4,-1,-0,0,0,0,0,,,,0,0,1,1,0,-0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,2|3|4|5,,not_present:stepcontrol_topods_shape,,,,not_present:stepcontrol_topods_shape
1.0.0,step_imported,through_hole_solid,through_hole_solid.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,2,1,1,plane,GeomAbs_Plane,reversed,72,6,0,3,0,6,0,12,3,6,0,-1,-0,0,0,0,,,,0,0,1,-0,1,0,,,,,,,,,,,,,,1,0,4,9.9999999999999995e-08,1|3|5|6,,not_present:stepcontrol_topods_shape,,,,not_present:stepcontrol_topods_shape
1.0.0,step_imported,through_hole_solid,through_hole_solid.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,3,1,1,plane,GeomAbs_Plane,forward,91.091261478765944,6.107776277143298,4,6,0,12,0,8,6,4,0,0,1,0,0,6,,,,1,0,-0,0,0,1,,,,,,,,,,,,,,1,1,5,9.9999999999999995e-08,1|2|4|6|7,,not_present:stepcontrol_topods_shape,,,,not_present:stepcontrol_topods_shape
