scope,metric,value
corpus,control_count,5
corpus,fixture_count,5
all,face_row_count,26
constructed,face_row_count,13
step_imported,face_row_count,13
all,round_trip_match_count,13
round_trip,topology_attribute_match_count,13
round_trip,maximum_area_absolute_difference,1.0317080523236655e-11
round_trip,maximum_centroid_distance,2.9535772102134982e-13
round_trip,cone_signed_semi_angle_flip_count,1
constructed,maximum_face_tolerance,0.00020000000000000001
step_imported,maximum_face_tolerance,9.9999999999999995e-08
constructed,named_face_count,13
step_imported,named_face_count,0
constructed,colored_face_count,13
step_imported,colored_face_count,0
all,faces_with_inner_wires,4
all,faces_without_parent_solid,2
constructed,plane_face_count,8
constructed,cylinder_face_count,1
constructed,cone_face_count,1
constructed,sphere_face_count,1
constructed,torus_face_count,1
constructed,bspline_face_count,1
step_imported,plane_face_count,8
step_imported,cylinder_face_count,1
step_imported,cone_face_count,1
step_imported,sphere_face_count,1
step_imported,torus_face_count,1
step_imported,bspline_face_count,1
