contract_version,control_id,stage,source_file,source_sha256,node_id,analysis_face_index,surface_type,orientation,area,centroid,representative_normal,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,boundary_edge_count,face_tolerance,maximum_edge_length,adjacent_node_ids,degree,topology_provenance,geometry_provenance,exchange_provenance
1.0.0,plain_block,constructed,,,f1,1,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,f2,2,plane,forward,48,12|4|3,1|0|-0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,f3,3,plane,reversed,72,6|0|3,0|-1|-0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,f4,4,plane,forward,72,6|8|3,-0|1|0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,f5,5,plane,reversed,96,6|4|0,-0|-0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f3|f4,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,constructed,,,f6,6,plane,forward,96,6|4|6,0|0|1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f3|f4,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f1,1,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f2,2,plane,forward,48,12|4|3,1|0|-0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f3|f4|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f3,3,plane,reversed,72,6|0|3,0|-1|-0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f4,4,plane,forward,72,6|8|3,-0|1|0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f5,5,plane,reversed,96,6|4|0,-0|-0|-1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f3|f4,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,plain_block,step_imported,graph_plain_block.step,1e7a3ecda9402ee740bf40fbae47a384f4c8bbf6dd5a131bc8f2b06b1bcea0e3,f6,6,plane,forward,96,6|4|6,0|0|1,12,8,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f2|f3|f4,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,constructed,,,f1,1,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f2,2,plane,reversed,72,6|0|3,0|-1|-0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f3|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f3,3,plane,forward,91.091261478765944,6.107776277143298|4|6,0|0|1,12,8,,,,,0,2,1,5,9.9999999999999995e-08,12,f1|f2|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f4,4,plane,forward,72,6|8|3,-0|1|0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f3|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f5,5,plane,reversed,91.091261478765944,6.107776277143298|4|0,-0|-0|-1,12,8,,,,,0,2,1,5,9.9999999999999995e-08,12,f1|f2|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f6,6,plane,forward,48,12|4|3,1|0|-0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,constructed,,,f7,7,cylinder,reversed,47.1238898038469,4|4|3,1|-1.2246467991473532e-16|-0,6.2831853071795862,6,4|4|-1,0|0|1,1.25,-1,0.80000000000000004,1,0,3,9.9999999999999995e-08,7.8539816339744828,f3|f5,2,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,synthetic construction in repository code
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f1,1,plane,reversed,48,0|4|3,-1|-0|0,6,8,,,,,0,1,0,4,9.9999999999999995e-08,8,f2|f3|f4|f5,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f2,2,plane,reversed,72,6|0|3,0|-1|-0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f3|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f3,3,plane,forward,91.091261478765944,6.107776277143298|4|6,0|0|1,12,8,,,,,0,2,1,5,9.9999999999999995e-08,12,f1|f2|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f4,4,plane,forward,72,6|8|3,-0|1|0,6,12,,,,,0,1,0,4,9.9999999999999995e-08,12,f1|f3|f5|f6,4,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
1.0.0,through_hole,step_imported,graph_through_hole.step,c968f97ab06be32a631aedb3fd526d43e3de49f40154b3c7508b4e118bb54543,f5,5,plane,reversed,91.091261478765944,6.107776277143298|4|0,-0|-0|-1,12,8,,,,,0,2,1,5,9.9999999999999995e-08,12,f1|f2|f4|f6|f7,5,OCCT unique-subshape maps and face-edge ownership,OCCT B-Rep adaptors and geometric properties,committed normalized STEP fixture SHA-256
