stage,control_id,edge_index,first_face_index,second_face_index,curve_type,length,normal_dot,representative_normals_parallel
constructed,plain_block,1,1,3,line,6,0,0
constructed,plain_block,2,1,6,line,8,0,0
constructed,plain_block,3,1,4,line,6,0,0
constructed,plain_block,4,1,5,line,8,0,0
constructed,plain_block,5,2,3,line,6,0,0
constructed,plain_block,6,2,6,line,8,0,0
constructed,plain_block,7,2,4,line,6,0,0
constructed,plain_block,8,2,5,line,8,0,0
constructed,plain_block,9,3,5,line,12,0,0
constructed,plain_block,10,3,6,line,12,0,0
constructed,plain_block,11,4,5,line,12,0,0
constructed,plain_block,12,4,6,line,12,0,0
step_imported,plain_block,1,1,3,line,6,0,0
step_imported,plain_block,2,1,5,line,8,0,0
step_imported,plain_block,3,1,4,line,6,0,0
step_imported,plain_block,4,1,6,line,8,0,0
step_imported,plain_block,5,2,3,line,6,0,0
step_imported,plain_block,6,2,5,line,8,0,0
step_imported,plain_block,7,2,4,line,6,0,0
step_imported,plain_block,8,2,6,line,8,0,0
step_imported,plain_block,9,3,5,line,12,0,0
step_imported,plain_block,10,3,6,line,12,0,0
step_imported,plain_block,11,4,5,line,12,0,0
step_imported,plain_block,12,4,6,line,12,0,0
constructed,through_hole,1,1,2,line,6,0,0
constructed,through_hole,2,1,3,line,8,0,0
constructed,through_hole,3,1,4,line,6,0,0
constructed,through_hole,4,1,5,line,8,0,0
constructed,through_hole,5,2,5,line,12,0,0
constructed,through_hole,6,2,6,line,6,0,0
constructed,through_hole,7,2,3,line,12,0,0
constructed,through_hole,8,3,4,line,12,0,0
constructed,through_hole,9,3,6,line,8,0,0
constructed,through_hole,10,3,7,circle,7.8539816339744828,0,0
constructed,through_hole,11,4,5,line,12,0,0
constructed,through_hole,12,4,6,line,6,0,0
constructed,through_hole,13,5,6,line,8,0,0
constructed,through_hole,14,5,7,circle,7.8539816339744828,0,0
step_imported,through_hole,1,1,2,line,6,0,0
step_imported,through_hole,2,1,5,line,8,0,0
step_imported,through_hole,3,1,4,line,6,0,0
step_imported,through_hole,4,1,3,line,8,0,0
step_imported,through_hole,5,2,5,line,12,0,0
step_imported,through_hole,6,2,3,line,12,0,0
step_imported,through_hole,7,2,6,line,6,0,0
step_imported,through_hole,8,3,6,line,8,0,0
step_imported,through_hole,9,3,4,line,12,0,0
step_imported,through_hole,10,3,7,circle,7.8539816339744828,0,0
step_imported,through_hole,11,4,5,line,12,0,0
step_imported,through_hole,12,4,6,line,6,0,0
step_imported,through_hole,13,5,6,line,8,0,0
step_imported,through_hole,14,5,7,circle,7.8539816339744828,0,0
constructed,blind_hole,1,1,2,line,6,0,0
constructed,blind_hole,2,1,3,line,8,0,0
constructed,blind_hole,3,1,4,line,6,0,0
constructed,blind_hole,4,1,5,line,8,0,0
constructed,blind_hole,5,2,5,line,12,0,0
constructed,blind_hole,6,2,6,line,6,0,0
constructed,blind_hole,7,2,3,line,12,0,0
constructed,blind_hole,8,3,4,line,12,0,0
constructed,blind_hole,9,3,6,line,8,0,0
constructed,blind_hole,10,3,7,circle,6.2831853071795862,0,0
constructed,blind_hole,11,4,5,line,12,0,0
constructed,blind_hole,12,4,6,line,6,0,0
constructed,blind_hole,13,5,6,line,8,0,0
constructed,blind_hole,15,7,8,circle,6.2831853071795862,0,0
step_imported,blind_hole,1,1,2,line,6,0,0
step_imported,blind_hole,2,1,5,line,8,0,0
step_imported,blind_hole,3,1,4,line,6,0,0
step_imported,blind_hole,4,1,3,line,8,0,0
step_imported,blind_hole,5,2,5,line,12,0,0
step_imported,blind_hole,6,2,3,line,12,0,0
step_imported,blind_hole,7,2,6,line,6,0,0
step_imported,blind_hole,8,3,6,line,8,0,0
step_imported,blind_hole,9,3,4,line,12,0,0
step_imported,blind_hole,10,3,7,circle,6.2831853071795862,0,0
step_imported,blind_hole,11,4,5,line,12,0,0
step_imported,blind_hole,12,4,6,line,6,0,0
step_imported,blind_hole,13,5,6,line,8,0,0
step_imported,blind_hole,15,7,8,circle,6.2831853071795862,0,0
constructed,stepped_block,1,1,6,line,8,0,0
constructed,stepped_block,2,1,2,line,8,0,0
constructed,stepped_block,3,1,7,line,12,0,0
constructed,stepped_block,4,1,8,line,12,0,0
constructed,stepped_block,5,2,3,line,8,0,0
constructed,stepped_block,6,2,7,line,3,0,0
constructed,stepped_block,7,2,8,line,3,0,0
constructed,stepped_block,8,3,4,line,8,0,0
constructed,stepped_block,9,3,7,line,7,0,0
constructed,stepped_block,10,3,8,line,7,0,0
constructed,stepped_block,11,4,5,line,8,0,0
constructed,stepped_block,12,4,7,line,2,0,0
constructed,stepped_block,13,4,8,line,2,0,0
constructed,stepped_block,14,5,6,line,8,0,0
constructed,stepped_block,15,5,7,line,5,0,0
constructed,stepped_block,16,5,8,line,5,0,0
constructed,stepped_block,17,6,7,line,5,0,0
constructed,stepped_block,18,6,8,line,5,0,0
step_imported,stepped_block,1,1,6,line,8,0,0
step_imported,stepped_block,2,1,8,line,12,0,0
step_imported,stepped_block,3,1,2,line,8,0,0
step_imported,stepped_block,4,1,7,line,12,0,0
step_imported,stepped_block,5,2,8,line,3,0,0
step_imported,stepped_block,6,2,3,line,8,0,0
step_imported,stepped_block,7,2,7,line,3,0,0
step_imported,stepped_block,8,3,8,line,7,0,0
step_imported,stepped_block,9,3,4,line,8,0,0
step_imported,stepped_block,10,3,7,line,7,0,0
step_imported,stepped_block,11,4,8,line,2,0,0
step_imported,stepped_block,12,4,5,line,8,0,0
step_imported,stepped_block,13,4,7,line,2,0,0
step_imported,stepped_block,14,5,8,line,5,0,0
step_imported,stepped_block,15,5,6,line,8,0,0
step_imported,stepped_block,16,5,7,line,5,0,0
step_imported,stepped_block,17,6,8,line,5,0,0
step_imported,stepped_block,18,6,7,line,5,0,0
constructed,through_slot,1,1,2,line,4,0,0
constructed,through_slot,2,1,3,line,10,0,0
constructed,through_slot,3,1,4,line,4,0,0
constructed,through_slot,4,1,5,line,10,0,0
