stage,control_id,face_index,surface_type,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,edge_count,maximum_edge_length,adjacent_face_indices
constructed,plain_block,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,3|4|5|6
constructed,plain_block,2,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,3|4|5|6
constructed,plain_block,3,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|2|5|6
constructed,plain_block,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|2|5|6
constructed,plain_block,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|3|4
constructed,plain_block,6,plane,96,6,4,6,0,0,1,12,8,,,,,0,1,0,4,12,1|2|3|4
step_imported,plain_block,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,3|4|5|6
step_imported,plain_block,2,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,3|4|5|6
step_imported,plain_block,3,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|2|5|6
step_imported,plain_block,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|2|5|6
step_imported,plain_block,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|3|4
step_imported,plain_block,6,plane,96,6,4,6,0,0,1,12,8,,,,,0,1,0,4,12,1|2|3|4
constructed,through_hole,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,through_hole,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,through_hole,3,plane,91.091261478765944,6.107776277143298,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
constructed,through_hole,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,through_hole,5,plane,91.091261478765944,6.107776277143298,4,0,-0,-0,-1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
constructed,through_hole,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,through_hole,7,cylinder,47.1238898038469,4,4,3,1,-1.2246467991473532e-16,-0,6.2831853071795862,6,4.0|4.0|-1.0,0.0|0.0|1.0,1.25,-1,0.80000000000000004,1,0,3,7.8539816339744828,3|5
step_imported,through_hole,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,through_hole,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,through_hole,3,plane,91.091261478765944,6.107776277143298,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
step_imported,through_hole,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,through_hole,5,plane,91.091261478765944,6.107776277143298,4,0,-0,-0,-1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
step_imported,through_hole,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,through_hole,7,cylinder,47.123889803850005,4.0000000000000826,4,3,1,2.0682310711021447e-13,-0,6.2831853071800001,6,4.0|4.0|-1.0,0.0|0.0|1.0,1.25,-1,0.80000000000000004,1,0,3,7.8539816339744828,3|5
constructed,blind_hole,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,blind_hole,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,blind_hole,3,plane,92.858407346410203,6.0676641511170875,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
constructed,blind_hole,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
constructed,blind_hole,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|4|6
constructed,blind_hole,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
constructed,blind_hole,7,cylinder,21.991148575128552,4,4,4.25,1,-1.2246467991473532e-16,-0,6.2831853071795862,3.5,4.0|4.0|2.5,0.0|0.0|1.0,1,-1,1,1,0,3,6.2831853071795862,3|8
constructed,blind_hole,8,plane,3.1415926535897918,4,4,2.5,0,0,1,2,2,,,,,0,1,0,1,6.2831853071795862,7
step_imported,blind_hole,1,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,blind_hole,2,plane,72,6,0,3,0,-1,-0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,blind_hole,3,plane,92.858407346410203,6.0676641511170875,4,6,0,0,1,12,8,,,,,0,2,1,5,12,1|2|4|6|7
step_imported,blind_hole,4,plane,72,6,8,3,-0,1,0,6,12,,,,,0,1,0,4,12,1|3|5|6
step_imported,blind_hole,5,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|4|6
step_imported,blind_hole,6,plane,48,12,4,3,1,0,-0,6,8,,,,,0,1,0,4,8,2|3|4|5
step_imported,blind_hole,7,cylinder,21.991148575130001,4.0000000000000657,4,4.25,1,2.0682310711021444e-13,-0,6.2831853071800001,3.5,4.0|4.0|2.5,0.0|0.0|1.0,1,-1,1,1,0,3,6.2831853071795862,3|8
step_imported,blind_hole,8,plane,3.1415926535897918,4,4,2.5,0,0,1,2,2,,,,,0,1,0,1,6.2831853071795862,7
constructed,stepped_block,1,plane,96,6,4,0,0,0,-1,12,8,,,,,0,1,0,4,12,2|6|7|8
constructed,stepped_block,2,plane,24,12,4,1.5,1,0,-0,3,8,,,,,0,1,0,4,8,1|3|7|8
