scope,metric,value
corpus,control_count,9
corpus,fixture_count,9
constructed,candidate_count,7
step_imported,candidate_count,7
all,classification_matches_truth_candidate_count,14
all,dimension_matches_truth_candidate_count,14
all,truth_correct_candidate_count,14
all,candidate_count,14
all,design_intent_proven_count,0
round_trip,maximum_length_absolute_difference,3.9523939676655573e-13
round_trip,maximum_angle_absolute_difference_degrees,5.8832938520936295e-12
controlled_truth,maximum_length_absolute_error,3.9612757518625585e-13
controlled_truth,maximum_angle_absolute_error_degrees,5.8832938520936295e-12
negative_controls,false_positive_count,0
intent_boundary,equivalent_bevel_candidate_count,2
intent_boundary,equivalent_boundary_stage_count,2
intent_boundary,equivalent_boundary_match_count,2
intent_boundary,maximum_bidirectional_difference_volume,0
