pattern,blur_sigma,noise_std,trials,laplacian_variance_mean,laplacian_variance_sample_std,laplacian_variance_p10,laplacian_variance_median,laplacian_variance_p90,tenengrad_energy_mean,tenengrad_energy_sample_std,tenengrad_energy_p10,tenengrad_energy_median,tenengrad_energy_p90
checkerboard,0,0,20,17026.199341,0.000000,17026.199341,17026.199341,17026.199341,222412.170410,0.000000,222412.170410,222412.170410,222412.170410
checkerboard,0,5,20,16666.374615,10.593488,16652.204001,16666.400466,16678.370191,215686.755321,70.287483,215604.607696,215700.940613,215756.822577
checkerboard,0,15,20,16998.917687,33.452703,16955.212011,17001.808442,17036.086213,203814.763831,156.974476,203608.069071,203834.359741,203981.165717
checkerboard,1,0,20,962.091064,0.000000,962.091064,962.091064,962.091064,102917.592773,0.000000,102917.592773,102917.592773,102917.592773
checkerboard,1,5,20,1300.048514,2.435265,1297.285192,1300.378785,1302.544348,102501.711774,50.412318,102446.464411,102502.014542,102548.064948
checkerboard,1,15,20,3611.642939,18.820165,3591.079874,3614.806027,3635.479661,102219.657724,186.684056,102010.824859,102186.160507,102458.330835
checkerboard,2,0,20,135.580444,0.000000,135.580444,135.580444,135.580444,48387.044678,0.000000,48387.044678,48387.044678,48387.044678
checkerboard,2,5,20,564.234562,3.742020,559.927046,563.954614,568.518141,48784.806853,28.291957,48745.552380,48788.096436,48815.906271
checkerboard,2,15,20,3624.005572,30.092766,3584.037042,3622.340020,3666.601198,51605.216542,75.211225,51488.495239,51621.970108,51684.111151
checkerboard,3,0,20,42.553467,0.000000,42.553467,42.553467,42.553467,27008.485596,0.000000,27008.485596,27008.485596,27008.485596
checkerboard,3,5,20,529.290060,3.042042,525.794942,529.744590,532.822198,27560.479176,14.166819,27541.609634,27561.286285,27575.641028
checkerboard,3,15,20,4121.832536,28.099765,4091.114095,4114.032374,4162.223212,31526.074809,58.279781,31450.887173,31537.785980,31581.239603
vertical_bars,0,0,20,15748.242188,0.000000,15748.242188,15748.242188,15748.242188,251971.875000,0.000000,251971.875000,251971.875000,251971.875000
vertical_bars,0,5,20,15431.565156,8.652270,15422.494892,15432.257107,15440.379690,244306.773836,60.413464,244248.196454,244294.834000,244387.347952
vertical_bars,0,15,20,15853.196992,29.558949,15819.070294,15853.681759,15881.263715,230706.304239,174.271638,230511.819375,230713.202469,230940.031488
vertical_bars,1,0,20,967.539062,0.000000,967.539062,967.539062,967.539062,126212.625000,0.000000,126212.625000,126212.625000,126212.625000
vertical_bars,1,5,20,1338.510715,3.425282,1334.651875,1338.092444,1342.664904,125507.564156,54.721759,125454.225439,125500.521545,125567.185852
vertical_bars,1,15,20,3772.162886,20.216021,3750.789949,3770.349401,3800.682802,124302.787514,172.935805,124119.571491,124304.236145,124461.968677
vertical_bars,2,0,20,171.523438,0.000000,171.523438,171.523438,171.523438,65876.375000,0.000000,65876.375000,65876.375000,65876.375000
vertical_bars,2,5,20,664.986293,2.311543,662.183473,664.911444,667.665849,66455.317656,40.353087,66409.401185,66451.575898,66497.374740
vertical_bars,2,15,20,4195.801548,21.474786,4177.031575,4194.512380,4222.618737,69840.977751,92.068205,69727.853961,69853.667175,69937.926465
vertical_bars,3,0,20,76.257812,0.000000,76.257812,76.257812,76.257812,30582.625000,0.000000,30582.625000,30582.625000,30582.625000
vertical_bars,3,5,20,573.825919,3.734235,569.544495,573.559107,577.333928,31167.136694,21.471173,31138.591324,31169.969909,31193.375082
vertical_bars,3,15,20,4520.608731,24.074307,4493.320851,4519.082075,4548.507898,35875.204926,56.346012,35810.413544,35879.485215,35946.444663
geometric_shapes,0,0,20,2590.331787,0.000000,2590.331787,2590.331787,2590.331787,22197.911621,0.000000,22197.911621,22197.911621,22197.911621
geometric_shapes,0,5,20,3086.675886,10.138270,3077.154204,3086.566152,3097.451391,22790.016434,27.404881,22752.159085,22786.688553,22824.717698
geometric_shapes,0,15,20,6859.239868,45.044983,6814.445234,6851.759020,6922.581853,27161.911542,115.548819,26987.949149,27175.552215,27279.636746
geometric_shapes,1,0,20,92.356384,0.000000,92.356384,92.356384,92.356384,11385.908997,0.000000,11385.908997,11385.908997,11385.908997
geometric_shapes,1,5,20,595.639014,4.411820,589.810923,595.402290,600.881874,11983.640891,21.441209,11957.834942,11984.425415,12012.920114
geometric_shapes,1,15,20,4399.324927,35.789587,4364.283559,4394.183697,4430.426011,16463.512157,59.036909,16399.902069,16467.158951,16523.250201
geometric_shapes,2,0,20,14.484467,0.000000,14.484467,14.484467,14.484467,6050.526184,0.000000,6050.526184,6050.526184,6050.526184
geometric_shapes,2,5,20,517.331941,3.647854,512.361549,517.975650,521.353828,6644.579996,10.394991,6632.393515,6643.513641,6657.632382
geometric_shapes,2,15,20,4352.490289,22.116272,4330.148602,4356.146387,4378.027215,11188.448233,39.714642,11138.928091,11196.070176,11233.939245
geometric_shapes,3,0,20,4.860962,0.000000,4.860962,4.860962,4.860962,3746.884033,0.000000,3746.884033,3746.884033,3746.884033
geometric_shapes,3,5,20,507.217323,3.666504,503.115274,506.471094,512.319400,4344.723408,5.244588,4337.617407,4345.010879,4352.079324
geometric_shapes,3,15,20,4366.603067,27.829931,4340.051072,4364.342686,4393.460389,8912.512370,42.845810,8846.879971,8923.090729,8972.305253
