pattern,blur_sigma,noise_std,trial,seed,laplacian_variance,tenengrad_energy
checkerboard,0,0,0,20260820,17026.199341,222412.170410
checkerboard,0,0,1,20260821,17026.199341,222412.170410
checkerboard,0,0,2,20260822,17026.199341,222412.170410
checkerboard,0,0,3,20260823,17026.199341,222412.170410
checkerboard,0,0,4,20260824,17026.199341,222412.170410
checkerboard,0,0,5,20260825,17026.199341,222412.170410
checkerboard,0,0,6,20260826,17026.199341,222412.170410
checkerboard,0,0,7,20260827,17026.199341,222412.170410
checkerboard,0,0,8,20260828,17026.199341,222412.170410
checkerboard,0,0,9,20260829,17026.199341,222412.170410
checkerboard,0,0,10,20260830,17026.199341,222412.170410
checkerboard,0,0,11,20260831,17026.199341,222412.170410
checkerboard,0,0,12,20260832,17026.199341,222412.170410
checkerboard,0,0,13,20260833,17026.199341,222412.170410
checkerboard,0,0,14,20260834,17026.199341,222412.170410
checkerboard,0,0,15,20260835,17026.199341,222412.170410
checkerboard,0,0,16,20260836,17026.199341,222412.170410
checkerboard,0,0,17,20260837,17026.199341,222412.170410
checkerboard,0,0,18,20260838,17026.199341,222412.170410
checkerboard,0,0,19,20260839,17026.199341,222412.170410
checkerboard,0,5,0,20261820,16678.266647,215700.608124
checkerboard,0,5,1,20261821,16678.318630,215756.134949
checkerboard,0,5,2,20261822,16661.151566,215739.110748
checkerboard,0,5,3,20261823,16645.118881,215674.377472
checkerboard,0,5,4,20261824,16677.224439,215705.164062
checkerboard,0,5,5,20261825,16668.686554,215605.091644
checkerboard,0,5,6,20261826,16671.569382,215672.812622
checkerboard,0,5,7,20261827,16663.539734,215724.919617
checkerboard,0,5,8,20261828,16678.834242,215763.011230
checkerboard,0,5,9,20261829,16669.254317,215600.252167
checkerboard,0,5,10,20261830,16672.732603,215678.027191
checkerboard,0,5,11,20261831,16658.829864,215704.638336
checkerboard,0,5,12,20261832,16663.406844,215734.373718
checkerboard,0,5,13,20261833,16657.485420,215701.273102
checkerboard,0,5,14,20261834,16650.598541,215672.396942
checkerboard,0,5,15,20261835,16652.382385,215504.294708
checkerboard,0,5,16,20261836,16657.979948,215659.935272
checkerboard,0,5,17,20261837,16675.588437,215829.668701
checkerboard,0,5,18,20261838,16664.114379,215607.527100
checkerboard,0,5,19,20261839,16682.409484,215701.488708
checkerboard,0,15,0,20262820,17003.979822,203851.281494
checkerboard,0,15,1,20262821,17034.594238,203641.176025
checkerboard,0,15,2,20262822,17026.919404,203977.102173
checkerboard,0,15,3,20262823,16990.499679,203935.794159
checkerboard,0,15,4,20262824,16987.881443,203609.213654
checkerboard,0,15,5,20262825,16970.527810,203853.451965
checkerboard,0,15,6,20262826,16980.700797,203817.437988
checkerboard,0,15,7,20262827,17004.146563,203894.616425
checkerboard,0,15,8,20262828,16938.475676,203597.767822
checkerboard,0,15,9,20262829,17007.572880,203672.321716
checkerboard,0,15,10,20262830,16933.705069,203963.440643
checkerboard,0,15,11,20262831,17032.383117,204017.737610
checkerboard,0,15,12,20262832,17001.393325,203937.934906
checkerboard,0,15,13,20262833,17029.857177,203664.055817
checkerboard,0,15,14,20262834,17049.513985,203812.811798
checkerboard,0,15,15,20262835,17054.608504,203732.353119
checkerboard,0,15,16,20262836,16988.214260,203555.492493
checkerboard,0,15,17,20262837,16957.071604,203733.367554
checkerboard,0,15,18,20262838,16984.084834,204106.194977
checkerboard,0,15,19,20262839,17002.223558,203921.724274
checkerboard,1,0,0,20270820,962.091064,102917.592773
checkerboard,1,0,1,20270821,962.091064,102917.592773
checkerboard,1,0,2,20270822,962.091064,102917.592773
checkerboard,1,0,3,20270823,962.091064,102917.592773
checkerboard,1,0,4,20270824,962.091064,102917.592773
checkerboard,1,0,5,20270825,962.091064,102917.592773
checkerboard,1,0,6,20270826,962.091064,102917.592773
checkerboard,1,0,7,20270827,962.091064,102917.592773
checkerboard,1,0,8,20270828,962.091064,102917.592773
checkerboard,1,0,9,20270829,962.091064,102917.592773
checkerboard,1,0,10,20270830,962.091064,102917.592773
checkerboard,1,0,11,20270831,962.091064,102917.592773
checkerboard,1,0,12,20270832,962.091064,102917.592773
checkerboard,1,0,13,20270833,962.091064,102917.592773
checkerboard,1,0,14,20270834,962.091064,102917.592773
checkerboard,1,0,15,20270835,962.091064,102917.592773
checkerboard,1,0,16,20270836,962.091064,102917.592773
checkerboard,1,0,17,20270837,962.091064,102917.592773
checkerboard,1,0,18,20270838,962.091064,102917.592773
checkerboard,1,0,19,20270839,962.091064,102917.592773
checkerboard,1,5,0,20271820,1302.420166,102446.539551
checkerboard,1,5,1,20271821,1302.424235,102477.043213
checkerboard,1,5,2,20271822,1300.369629,102502.692780
checkerboard,1,5,3,20271823,1297.682189,102459.861053
checkerboard,1,5,4,20271824,1297.400160,102527.391479
checkerboard,1,5,5,20271825,1300.813855,102496.055176
checkerboard,1,5,6,20271826,1295.398483,102401.678162
checkerboard,1,5,7,20271827,1300.390365,102501.655151
checkerboard,1,5,8,20271828,1300.452105,102502.373932
checkerboard,1,5,9,20271829,1296.250483,102545.753174
checkerboard,1,5,10,20271830,1298.358506,102475.299927
checkerboard,1,5,11,20271831,1300.387941,102473.868347
