platform_label,fixture_id,syntax_class,source_mode,frame_process,scan_count,restart_interval,restart_marker_count,component_count,adobe_transform,decoder,jpeg_sha256,structure_contract,shape_contract,dtype_contract,exact_reference_pixels,within_one_code_value,contract_level,reference_bgr_sha256,decoded_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction,laplacian_to_reference_ratio,tenengrad_to_reference_ratio
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,ffmpeg,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,opencv,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,cmyk_baseline,baseline_cmyk,CMYK,baseline_sequential,1,0,0,4,0,pillow,bb9c66007679d9ab57212220966b56071bf05ecff590860f389f1850ed0d1aa8,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,ffmpeg,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,fee485627d08f071d6c1ab4d17125e2df03cc2b59e6803d90539fc4bcaf1b4ab,1.326090495,2,1.000000000,1.000000000,1.007575403,1.007188530
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,opencv,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,1,1,exact,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,cmyk_progressive,progressive_cmyk,CMYK,progressive_dct,18,0,0,4,0,pillow,5905784f370d1c40cabb7cfc7f2320c4b3eb416aa83a13674a415b63e3960345,1,1,1,0,0,outside_contract,b5e9780b32b647bce4e64e12e3e9f4bfebc620d56686467aedfa966ba95ce140,8a2dbe94d1614e17357beeaea149addfffd62511388dbadda8178ccd90a4d16c,0.829223633,2,0.802978516,0.993469238,1.006091468,1.007237394
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,ffmpeg,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,opencv,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,grayscale_baseline,baseline_grayscale,L,baseline_sequential,1,0,0,1,none,pillow,6d44d1c82a6e4f3b6ae4ee8d62623e5bdad559797d5781ce44eef461c4b4e744,1,1,1,1,1,exact,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,0.000000000,0,0.000000000,0.000000000,1.000000000,1.000000000
macos-arm64-default,grayscale_progressive,progressive_grayscale,L,progressive_dct,6,0,0,1,none,ffmpeg,2a704094f3e9806b9dfe1dedebbf06d9118828511e6326e12a64e21c81d919bf,1,1,1,0,1,within_one,b8e06ecf07cdd71b9cd49c22d9e4746072965af4c47f938fbdf5a558f7dca63e,978bf212e1748339f0c46a316c4a41fcfb1db8c0850503408280e0805d99d9c7,0.005432129,1,0.005432129,0.005432129,1.011518119,1.004292732
