fixture_id,syntax_class,reference_decoder,candidate_decoder,platform_profiles,exact_pixel_rate,within_one_code_value_rate,mean_absolute_error_max,maximum_absolute_error_max,changed_sample_fraction_max
cmyk_baseline,baseline_cmyk,opencv,ffmpeg,5,0.000000,0.000000,1.326090495,2,1.000000000
cmyk_baseline,baseline_cmyk,opencv,pillow,5,0.000000,0.000000,0.829223633,2,0.802978516
cmyk_baseline,baseline_cmyk,pillow,ffmpeg,5,0.000000,0.000000,0.496866862,2,0.495544434
cmyk_progressive,progressive_cmyk,opencv,ffmpeg,5,0.000000,0.000000,1.326090495,2,1.000000000
cmyk_progressive,progressive_cmyk,opencv,pillow,5,0.000000,0.000000,0.829223633,2,0.802978516
cmyk_progressive,progressive_cmyk,pillow,ffmpeg,5,0.000000,0.000000,0.496866862,2,0.495544434
grayscale_baseline,baseline_grayscale,opencv,ffmpeg,5,0.000000,1.000000,0.005432129,1,0.005432129
grayscale_baseline,baseline_grayscale,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
grayscale_baseline,baseline_grayscale,pillow,ffmpeg,5,0.000000,1.000000,0.005432129,1,0.005432129
grayscale_progressive,progressive_grayscale,opencv,ffmpeg,5,0.000000,1.000000,0.005432129,1,0.005432129
grayscale_progressive,progressive_grayscale,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
grayscale_progressive,progressive_grayscale,pillow,ffmpeg,5,0.000000,1.000000,0.005432129,1,0.005432129
rgb_baseline_420,baseline_rgb_420,opencv,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_baseline_420,baseline_rgb_420,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_baseline_420,baseline_rgb_420,pillow,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_baseline_444,baseline_rgb,opencv,ffmpeg,5,0.000000,0.000000,0.021708171,3,0.017171224
rgb_baseline_444,baseline_rgb,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_baseline_444,baseline_rgb,pillow,ffmpeg,5,0.000000,0.000000,0.021708171,3,0.017171224
rgb_progressive_420,progressive_rgb_420,opencv,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_progressive_420,progressive_rgb_420,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_progressive_420,progressive_rgb_420,pillow,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_progressive_444,progressive_rgb,opencv,ffmpeg,5,0.000000,0.000000,0.021708171,3,0.017171224
rgb_progressive_444,progressive_rgb,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_progressive_444,progressive_rgb,pillow,ffmpeg,5,0.000000,0.000000,0.021708171,3,0.017171224
rgb_progressive_restart_420,progressive_restart_rgb,opencv,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_progressive_restart_420,progressive_restart_rgb,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_progressive_restart_420,progressive_restart_rgb,pillow,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_restart_420,restart_rgb,opencv,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
rgb_restart_420,restart_rgb,opencv,pillow,5,1.000000,1.000000,0.000000000,0,0.000000000
rgb_restart_420,restart_rgb,pillow,ffmpeg,5,0.000000,0.000000,3.897745768,79,0.867370605
