fixture_id,syntax_class,source_mode,decoder,platform_profiles,observations,unique_decoded_sha256_count,cross_platform_exact_hash_agreement,exact_reference_rate,within_one_code_value_rate,mean_absolute_error_max,maximum_absolute_error_max,changed_sample_fraction_max,laplacian_ratio_min,laplacian_ratio_max,tenengrad_ratio_min,tenengrad_ratio_max
cmyk_baseline,baseline_cmyk,CMYK,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
cmyk_baseline,baseline_cmyk,CMYK,pillow,5,5,1,1,0.000000,0.000000,0.829223633,2,0.802978516,1.006091468,1.006091468,1.007237394,1.007237394
cmyk_baseline,baseline_cmyk,CMYK,ffmpeg,5,5,1,1,0.000000,0.000000,1.326090495,2,1.000000000,1.007575403,1.007575403,1.007188530,1.007188530
cmyk_progressive,progressive_cmyk,CMYK,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
cmyk_progressive,progressive_cmyk,CMYK,pillow,5,5,1,1,0.000000,0.000000,0.829223633,2,0.802978516,1.006091468,1.006091468,1.007237394,1.007237394
cmyk_progressive,progressive_cmyk,CMYK,ffmpeg,5,5,1,1,0.000000,0.000000,1.326090495,2,1.000000000,1.007575403,1.007575403,1.007188530,1.007188530
grayscale_baseline,baseline_grayscale,L,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
grayscale_baseline,baseline_grayscale,L,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
grayscale_baseline,baseline_grayscale,L,ffmpeg,5,5,1,1,0.000000,1.000000,0.005432129,1,0.005432129,1.011518119,1.011518119,1.004292732,1.004292732
grayscale_progressive,progressive_grayscale,L,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
grayscale_progressive,progressive_grayscale,L,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
grayscale_progressive,progressive_grayscale,L,ffmpeg,5,5,1,1,0.000000,1.000000,0.005432129,1,0.005432129,1.011518119,1.011518119,1.004292732,1.004292732
rgb_baseline_420,baseline_rgb_420,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_baseline_420,baseline_rgb_420,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_baseline_420,baseline_rgb_420,BGR,ffmpeg,5,5,2,0,0.000000,0.000000,3.897745768,79,0.867370605,1.026871162,1.042134334,1.012695576,1.020215125
rgb_baseline_444,baseline_rgb,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_baseline_444,baseline_rgb,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_baseline_444,baseline_rgb,BGR,ffmpeg,5,5,1,1,0.000000,0.000000,0.021708171,3,0.017171224,1.011742870,1.011742870,1.004345483,1.004345483
rgb_progressive_420,progressive_rgb_420,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_420,progressive_rgb_420,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_420,progressive_rgb_420,BGR,ffmpeg,5,5,2,0,0.000000,0.000000,3.897745768,79,0.867370605,1.026871162,1.042134334,1.012695576,1.020215125
rgb_progressive_444,progressive_rgb,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_444,progressive_rgb,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_444,progressive_rgb,BGR,ffmpeg,5,5,1,1,0.000000,0.000000,0.021708171,3,0.017171224,1.011742870,1.011742870,1.004345483,1.004345483
rgb_progressive_restart_420,progressive_restart_rgb,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_restart_420,progressive_restart_rgb,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_progressive_restart_420,progressive_restart_rgb,BGR,ffmpeg,5,5,2,0,0.000000,0.000000,3.897745768,79,0.867370605,1.026871162,1.042134334,1.012695576,1.020215125
rgb_restart_420,restart_rgb,BGR,opencv,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_restart_420,restart_rgb,BGR,pillow,5,5,1,1,1.000000,1.000000,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
rgb_restart_420,restart_rgb,BGR,ffmpeg,5,5,2,0,0.000000,0.000000,3.897745768,79,0.867370605,1.026871162,1.042134334,1.012695576,1.020215125
