platform_label,fixture_id,syntax_class,decoder,exact_reference_pixels,within_one_code_value,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,laplacian_to_reference_ratio,tenengrad_to_reference_ratio
linux-x64-reference,cmyk_baseline,baseline_cmyk,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,cmyk_baseline,baseline_cmyk,pillow,0,0,0.829223633,2,0.802978516,1.006091468,1.007237394
linux-x64-reference,cmyk_baseline,baseline_cmyk,ffmpeg,0,0,1.326090495,2,1.000000000,1.007575403,1.007188530
linux-x64-reference,cmyk_progressive,progressive_cmyk,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,cmyk_progressive,progressive_cmyk,pillow,0,0,0.829223633,2,0.802978516,1.006091468,1.007237394
linux-x64-reference,cmyk_progressive,progressive_cmyk,ffmpeg,0,0,1.326090495,2,1.000000000,1.007575403,1.007188530
linux-x64-reference,grayscale_baseline,baseline_grayscale,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,grayscale_baseline,baseline_grayscale,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,grayscale_baseline,baseline_grayscale,ffmpeg,0,1,0.005432129,1,0.005432129,1.011518119,1.004292732
linux-x64-reference,grayscale_progressive,progressive_grayscale,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,grayscale_progressive,progressive_grayscale,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,grayscale_progressive,progressive_grayscale,ffmpeg,0,1,0.005432129,1,0.005432129,1.011518119,1.004292732
linux-x64-reference,rgb_baseline_420,baseline_rgb_420,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_baseline_420,baseline_rgb_420,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_baseline_420,baseline_rgb_420,ffmpeg,0,0,3.897745768,79,0.867370605,1.026871162,1.012695576
linux-x64-reference,rgb_baseline_444,baseline_rgb,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_baseline_444,baseline_rgb,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_baseline_444,baseline_rgb,ffmpeg,0,0,0.021708171,3,0.017171224,1.011742870,1.004345483
linux-x64-reference,rgb_progressive_420,progressive_rgb_420,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_420,progressive_rgb_420,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_420,progressive_rgb_420,ffmpeg,0,0,3.897745768,79,0.867370605,1.026871162,1.012695576
linux-x64-reference,rgb_progressive_444,progressive_rgb,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_444,progressive_rgb,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_444,progressive_rgb,ffmpeg,0,0,0.021708171,3,0.017171224,1.011742870,1.004345483
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_progressive_restart_420,progressive_restart_rgb,ffmpeg,0,0,3.897745768,79,0.867370605,1.026871162,1.012695576
linux-x64-reference,rgb_restart_420,restart_rgb,opencv,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_restart_420,restart_rgb,pillow,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000
linux-x64-reference,rgb_restart_420,restart_rgb,ffmpeg,0,0,3.897745768,79,0.867370605,1.026871162,1.012695576
