candidate_path,candidate_path_description,quality,chroma_sampling,blur_sigma,observations,encoded_byte_equality_rate,quantization_table_equality_rate,component_signature_equality_rate,decoded_pixel_equality_rate,candidate_to_baseline_size_ratio_mean,laplacian_candidate_to_baseline_ratio_mean,tenengrad_candidate_to_baseline_ratio_mean
pillow_quality,"Pillow numeric quality, default Huffman coding",50,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",50,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",75,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,420,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_quality,"Pillow numeric quality, default Huffman coding",95,420,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,444,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,444,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,444,2,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,444,3,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,420,0,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,50,420,1,3,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
