pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoder_path_description,decoder,metric,score,uncompressed_score,ratio_to_uncompressed,encoded_size_bytes,encoded_sha256,decoded_sha256,quantization_fingerprint,component_signature
achromatic_checkerboard,0,50,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,opencv_quality,"OpenCV numeric quality, default Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_quality,"Pillow numeric quality, default Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_quality,"Pillow numeric quality, default Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,50,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3658,61d48781cc996629cb0d744b590cd84650bb67a6d95629cb57be8b0d27b74d39,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,5d89a7270efa05888a15955b9188302ee764df560ffb9068ffda621838ed760f,1:1x1:q0;2:1x1:q1;3:1x1:q1
