fixture_id,pattern,quality_control,chroma_sampling,decoder,platform_profiles,observations,unique_decoded_sha256_count,cross_platform_exact_hash_agreement,all_profiles_exact_reference,all_profiles_within_one_code_value,mean_absolute_error_max,maximum_absolute_error_max,changed_sample_fraction_max,laplacian_ratio_min,laplacian_ratio_max,tenengrad_ratio_min,tenengrad_ratio_max
chroma_edges_q50_420,chroma_edges,50,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q50_420,chroma_edges,50,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q50_444,chroma_edges,50,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q50_444,chroma_edges,50,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q95_420,chroma_edges,95,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q95_420,chroma_edges,95,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q95_444,chroma_edges,95,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
chroma_edges_q95_444,chroma_edges,95,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q50_420,gradient_shapes,50,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q50_420,gradient_shapes,50,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q50_444,gradient_shapes,50,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q50_444,gradient_shapes,50,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q95_420,gradient_shapes,95,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q95_420,gradient_shapes,95,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q95_444,gradient_shapes,95,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
gradient_shapes_q95_444,gradient_shapes,95,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q50_420,high_frequency_tiles,50,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q50_420,high_frequency_tiles,50,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q50_444,high_frequency_tiles,50,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q50_444,high_frequency_tiles,50,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q95_420,high_frequency_tiles,95,420,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q95_420,high_frequency_tiles,95,420,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q95_444,high_frequency_tiles,95,444,opencv,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
high_frequency_tiles_q95_444,high_frequency_tiles,95,444,pillow,5,5,1,1,1,1,0.000000000,0,0.000000000,1.000000000,1.000000000,1.000000000,1.000000000
