platform_label,operating_system,architecture,python_version,runner_image_os,runner_image_version,libjpeg_simd_policy,component,component_role,adapter,adapter_version,implementation_family,reported_backend,build_fingerprint
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,controlled_field_parser,metadata_parser,research-notes,0.16.0,bounded_python_parser,"EXIF, XMP, ICC, COM, and controlled APP13",a082972f5fd915fa7ff83da9d99aacfa2ea4acdbbe5a1fd9578cb8d3eff40d61
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,field_policy_engine,policy,research-notes,0.16.0,bounded_python_policy,explicit field allowlists and category denylist,990db4d22b14d51454ab7389cfb29fd3a244f088e8612217dba8544f0de8b2d7
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,controlled_field_parser,metadata_parser,research-notes,0.16.0,bounded_python_parser,"EXIF, XMP, ICC, COM, and controlled APP13",a082972f5fd915fa7ff83da9d99aacfa2ea4acdbbe5a1fd9578cb8d3eff40d61
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,field_policy_engine,policy,research-notes,0.16.0,bounded_python_policy,explicit field allowlists and category denylist,990db4d22b14d51454ab7389cfb29fd3a244f088e8612217dba8544f0de8b2d7
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,opencv,encoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),8ecd0b582b3149702fc784b50697a4bb99c20152085c729ff1439aad506a4c45
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,pillow,encoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,pillow_raw,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,4bac062292d8403bd2351616a58937be7f2f8bad4c97df641a10b751d8fc64a6
