history,history_description,alignment,crop_offset,noise_std,metric,calibration_source,anchor_observations,balanced_accuracy,sharp_false_blur_count,sharp_false_blur_rate,blurred_miss_count,blurred_miss_rate,adjacent_pair_count,adjacent_order_violation_count,adjacent_order_violation_rate,sequence_count,fully_ordered_sequence_rate
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.666667,0,0.000000,10,0.666667,45,6,0.133333,15,0.600000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.833333,0,0.000000,5,0.333333,45,0,0.000000,15,1.000000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.666667,0,0.000000,10,0.666667,45,5,0.111111,15,0.733333
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.833333,0,0.000000,5,0.333333,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.666667,0,0.000000,10,0.666667,45,6,0.133333,15,0.600000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.833333,0,0.000000,5,0.333333,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,15,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.666667,0,0.000000,10,0.666667,45,5,0.111111,15,0.666667
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,15,tenengrad_energy,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,0.833333,0,0.000000,5,0.333333,45,0,0.000000,15,1.000000
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,0,laplacian_variance,per-pattern uncompressed same-crop noise-0 sigma-0/sigma-3 midpoint,30,1.000000,0,0.000000,0,0.000000,45,0,0.000000,15,1.000000
