history,history_description,alignment,crop_offset,noise_std,blur_sigma,metric,observations,score_mean,score_sample_std,primary_ratio_mean,primary_ratio_sample_std,primary_ratio_p10,primary_ratio_median,primary_ratio_p90,uncompressed_ratio_mean,uncompressed_ratio_sample_std
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,0,laplacian_variance,15,8048.742355,10364.931862,1.000000,0.000000,1.000000,1.000000,1.000000,0.935020,0.095120
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,0,tenengrad_energy,15,87815.889872,107420.593238,1.000000,0.000000,1.000000,1.000000,1.000000,1.005520,0.008080
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,1,laplacian_variance,15,497.162122,609.426734,1.000000,0.000000,1.000000,1.000000,1.000000,1.240785,0.115348
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,1,tenengrad_energy,15,36616.234589,43134.131607,1.000000,0.000000,1.000000,1.000000,1.000000,0.996701,0.009654
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,2,laplacian_variance,15,98.686623,116.270776,1.000000,0.000000,1.000000,1.000000,1.000000,1.429434,0.070133
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,2,tenengrad_energy,15,13173.625590,13791.783732,1.000000,0.000000,1.000000,1.000000,1.000000,1.007915,0.011290
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,3,laplacian_variance,15,33.227253,35.691201,1.000000,0.000000,1.000000,1.000000,1.000000,1.576197,0.308742
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,0,3,tenengrad_energy,15,3698.180359,2865.620973,1.000000,0.000000,1.000000,1.000000,1.000000,1.022049,0.001873
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,0,laplacian_variance,15,9370.650437,10308.766679,1.000000,0.000000,1.000000,1.000000,1.000000,0.837865,0.106145
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,0,tenengrad_energy,15,90317.258447,107180.551378,1.000000,0.000000,1.000000,1.000000,1.000000,1.021952,0.026871
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,1,laplacian_variance,15,1824.288446,637.056433,1.000000,0.000000,1.000000,1.000000,1.000000,0.728174,0.077863
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,1,tenengrad_energy,15,39724.316199,43866.930437,1.000000,0.000000,1.000000,1.000000,1.000000,1.025543,0.026469
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,2,laplacian_variance,15,1422.796796,119.342311,1.000000,0.000000,1.000000,1.000000,1.000000,0.683393,0.023050
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,2,tenengrad_energy,15,15800.112079,13919.778734,1.000000,0.000000,1.000000,1.000000,1.000000,1.032956,0.027905
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,3,laplacian_variance,15,1348.418652,43.592153,1.000000,0.000000,1.000000,1.000000,1.000000,0.665120,0.015138
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,aligned,0,15,3,tenengrad_energy,15,6240.176235,2836.928761,1.000000,0.000000,1.000000,1.000000,1.000000,1.043714,0.022238
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,0,laplacian_variance,15,9704.559739,12695.120260,1.027572,0.132156,0.861993,1.048000,1.172723,0.971596,0.209859
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,0,tenengrad_energy,15,90097.417887,109790.114968,1.006841,0.006682,0.998498,1.007801,1.014223,1.012386,0.011043
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,1,laplacian_variance,15,456.016918,551.789999,0.958632,0.036016,0.910330,0.974647,0.990919,1.207981,0.156735
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,1,tenengrad_energy,15,37528.880106,44119.573788,1.005598,0.001210,1.004661,1.004886,1.007246,1.002000,0.010905
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,2,laplacian_variance,15,78.407487,94.930458,0.852474,0.163267,0.677944,0.819435,1.060042,1.259181,0.204687
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,2,tenengrad_energy,15,13454.725922,14049.063546,1.012506,0.006022,1.004436,1.015155,1.017927,1.020721,0.011328
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,3,laplacian_variance,15,18.771605,16.275963,0.805242,0.257475,0.484752,0.839886,1.091088,1.216987,0.195447
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,0,3,tenengrad_energy,15,3601.013997,2697.959094,0.999302,0.019989,0.973896,1.003329,1.020681,1.021119,0.021932
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,0,laplacian_variance,15,10403.418609,12197.750645,0.946248,0.127713,0.825879,0.901814,1.112934,0.807024,0.212122
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,0,tenengrad_energy,15,92859.764809,109981.274842,1.015847,0.017929,1.002083,1.005287,1.040855,1.038516,0.045874
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,1,laplacian_variance,15,1493.129512,639.287158,0.800599,0.062365,0.745991,0.771816,0.885483,0.588179,0.109374
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,1,tenengrad_energy,15,40662.361418,44732.166695,1.016213,0.015999,1.002301,1.009049,1.041071,1.042550,0.043895
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,2,laplacian_variance,15,1089.143457,121.118201,0.764170,0.024882,0.734932,0.759890,0.795074,0.522795,0.032493
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,2,tenengrad_energy,15,16020.264994,13939.965696,1.019334,0.014858,1.004929,1.013468,1.040013,1.053003,0.043789
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,3,laplacian_variance,15,1018.405343,45.168115,0.754187,0.013478,0.742602,0.751964,0.766620,0.502533,0.016306
gray_q75_to_q75,grayscale JPEG quality 75 to quality 75,shifted_4x4,4,15,3,tenengrad_energy,15,6334.928455,2757.934076,1.027359,0.013764,1.015438,1.021035,1.046471,1.072443,0.037070
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,0,laplacian_variance,15,8049.483256,10364.330216,0.920521,0.116345,0.761563,1.000000,1.000000,0.938118,0.090585
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,0,tenengrad_energy,15,87816.191182,107420.334584,1.003660,0.005358,1.000000,1.000000,1.010980,1.005695,0.008337
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,1,laplacian_variance,15,499.151695,612.064431,1.204535,0.097375,1.071691,1.264707,1.277208,1.251245,0.119542
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,1,tenengrad_energy,15,36694.404124,43171.439929,1.000684,0.011292,0.985646,1.005221,1.011186,1.002053,0.012471
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,2,laplacian_variance,15,98.912297,116.034232,1.392790,0.137973,1.217830,1.419501,1.541039,1.448730,0.084742
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,2,tenengrad_energy,15,13178.892029,13789.832317,1.007626,0.008303,0.998064,1.007121,1.017692,1.008628,0.011414
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,3,laplacian_variance,15,28.398911,28.820952,1.375957,0.156202,1.170454,1.428861,1.528557,1.457976,0.141929
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,0,3,tenengrad_energy,15,3705.013326,2875.410141,1.013969,0.008155,1.004599,1.013435,1.023874,1.024151,0.004198
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,0,laplacian_variance,15,9392.350465,10316.037205,0.815374,0.119817,0.684860,0.791733,0.967561,0.842485,0.103125
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,0,tenengrad_energy,15,90354.597620,107236.005957,1.014694,0.017630,1.000686,1.004574,1.038862,1.021347,0.025365
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,1,laplacian_variance,15,1848.114571,645.523239,0.695373,0.083848,0.616664,0.657198,0.810006,0.737689,0.078982
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,1,tenengrad_energy,15,39750.377671,43898.728955,1.016573,0.016001,1.001443,1.010336,1.037794,1.025636,0.025514
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,2,laplacian_variance,15,1440.891008,123.055324,0.646555,0.025386,0.625080,0.638594,0.681541,0.692040,0.024661
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,2,tenengrad_energy,15,15805.636959,13936.711144,1.020813,0.016322,1.005773,1.014039,1.045076,1.031922,0.025666
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,3,laplacian_variance,15,1364.553186,44.857801,0.628518,0.015594,0.606415,0.633197,0.645319,0.673075,0.015742
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,aligned,0,15,3,tenengrad_energy,15,6234.366412,2843.696128,1.027018,0.012653,1.015527,1.022449,1.045750,1.041830,0.020241
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,0,laplacian_variance,15,9713.810614,12687.678115,0.992766,0.180029,0.757576,1.048000,1.172723,1.010276,0.155702
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,0,tenengrad_energy,15,90093.029846,109793.897756,1.007804,0.006973,0.998498,1.010691,1.014223,1.009837,0.008370
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,1,laplacian_variance,15,445.584457,556.753320,1.061272,0.074600,0.980849,1.047258,1.155709,1.102737,0.096120
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,1,tenengrad_energy,15,37628.157684,44091.347942,1.005812,0.013371,0.988998,1.008033,1.020404,1.007131,0.014349
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,2,laplacian_variance,15,69.137868,82.684147,1.094625,0.242326,0.887703,0.974260,1.421913,1.131671,0.170257
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,2,tenengrad_energy,15,13319.183319,13878.829112,1.009003,0.005203,1.004529,1.006456,1.016024,1.009970,0.007874
gray_q95_to_q75,grayscale JPEG quality 95 to quality 75,shifted_4x4,4,0,3,laplacian_variance,15,17.974500,16.509365,1.079684,0.318778,0.839204,0.885449,1.514398,1.111628,0.139404
