platform_label,fixture,family,condition,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,resource_decision,resource_reason_code,families,relationship_completion_rate,fixture_bytes,fixture_sha256,recognized_components,opaque_components,relationships_declared,relationships_resolved,exif_thumbnails,exif_thumbnail_bytes,maker_notes,maker_note_bytes,standard_xmp_packets,extended_xmp_chunks,extended_xmp_bytes,iptc_iim_blocks,iptc_iim_datasets
linux-x64-reference,baseline_no_metadata,baseline,no_metadata,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,,1.000000,2319,5ca8e2bab66742bb5c4b28b542dd0867179a6fb4a5207dc939d405f7d38fa641,0,0,0,0,0,0,0,0,0,0,0,0,0
linux-x64-reference,exif_thumbnail_complete,exif_thumbnail,complete,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,exif_thumbnail,1.000000,2389,262301e7c2e8644ebe3ea3a342e457221eb54f7f90a39466716853260797eb3d,1,0,1,1,1,4,0,0,0,0,0,0,0
linux-x64-reference,exif_thumbnail_out_of_bounds,exif_thumbnail,out_of_bounds,quarantine,quarantine,1,exif_thumbnail_out_of_bounds,exif_thumbnail_out_of_bounds,accept,within_resource_budget,,0.000000,2389,5fe38d99a06c07aebfe6239233a1a58a9b961414d0f2d99a15ec932ad7a4cc1e,0,0,1,0,0,0,0,0,0,0,0,0,0
linux-x64-reference,maker_note_opaque,maker_note,opaque_complete,accept,accept,1,coverage_complete_with_opaque,coverage_complete_with_opaque,accept,within_resource_budget,maker_note,1.000000,2393,fb5486ddc4fa34ee75dab2b03c110ee8d4e5c0724b2ca4fd98bfb9e4fc2b60f0,1,1,1,1,0,0,1,20,0,0,0,0,0
linux-x64-reference,maker_note_out_of_bounds,maker_note,out_of_bounds,quarantine,quarantine,1,maker_note_out_of_bounds,maker_note_out_of_bounds,accept,within_resource_budget,,0.000000,2393,fb784f1a274328a880ae06b0d59b8cd26c1c4af16ebb8ad2d8b3abf8404f5451,0,0,1,0,0,0,0,0,0,0,0,0,0
linux-x64-reference,standard_xmp_only,standard_xmp,complete,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,standard_xmp,1.000000,2539,ba88778653067351ae8aa48bd58ab4ef429582beadee49d2e7292a09875e099f,1,0,0,0,0,0,0,0,1,0,0,0,0
linux-x64-reference,extended_xmp_in_order,extended_xmp,complete_in_order,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,extended_xmp|standard_xmp,1.000000,3025,ae5747a02ac50f5f3ebc652d25391f5c77a237e7b607852c704f3ec6cf4d056d,2,0,1,1,0,0,0,0,1,2,270,0,0
linux-x64-reference,extended_xmp_out_of_order,extended_xmp,complete_out_of_order,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,extended_xmp|standard_xmp,1.000000,3025,2df7a1fdd5ed4ea8b71ed277712a3725e22b220ba0198ea8287ec85b6dc45fd3,2,0,1,1,0,0,0,0,1,2,270,0,0
linux-x64-reference,extended_xmp_missing_chunk,extended_xmp,missing_chunk,quarantine,quarantine,1,extended_xmp_incomplete,extended_xmp_incomplete,accept,within_resource_budget,standard_xmp,0.000000,2811,fa858d8492a2dcd158db6131bd323196ec5cf2707c5da6320d55e6b3bd4604e7,1,0,1,0,0,0,0,0,1,1,0,0,0
linux-x64-reference,extended_xmp_duplicate_chunk,extended_xmp,duplicate_chunk,quarantine,quarantine,1,extended_xmp_duplicate_offset,extended_xmp_duplicate_offset,accept,within_resource_budget,standard_xmp,0.000000,3239,94f29f1a53947a06df1c685fbb25173b8e127a46421982da387ed226d22176dc,1,0,1,0,0,0,0,0,1,3,0,0,0
linux-x64-reference,extended_xmp_orphan,extended_xmp,orphan,quarantine,quarantine,1,extended_xmp_orphan,extended_xmp_orphan,accept,within_resource_budget,,1.000000,2668,a384f979ca709381f74f5061150300a8746f3f36aedc3305ba0584bedfe5df5d,0,0,0,0,0,0,0,0,0,1,0,0,0
linux-x64-reference,extended_xmp_guid_mismatch,extended_xmp,guid_mismatch,quarantine,quarantine,1,extended_xmp_missing,extended_xmp_missing,accept,within_resource_budget,standard_xmp,0.000000,2946,b0e1907f2faa726cc8339960346088f02682ab01b41d579a0ff1bed392e9d801,1,0,1,0,0,0,0,0,1,1,0,0,0
linux-x64-reference,iptc_iim_complete,iptc_iim,complete,accept,accept,1,coverage_complete,coverage_complete,accept,within_resource_budget,iptc_iim,1.000000,2415,b3ac1704c8fa88179c331202c70ad777ceaa8dacf2f15550dd2e7d82b6678a71,1,0,1,1,0,0,0,0,0,0,0,1,3
linux-x64-reference,iptc_iim_truncated_dataset,iptc_iim,truncated_dataset,quarantine,quarantine,1,iptc_iim_dataset_overrun,iptc_iim_dataset_overrun,accept,within_resource_budget,,0.000000,2413,d9e8fb511c114e7ad6c5042fc33737d306ca1c7759ea1165f54678fda55354ed,0,0,1,0,0,0,0,0,0,0,0,0,0
linux-x64-reference,mixed_nested_complete,mixed,complete,accept,accept,1,coverage_complete_with_opaque,coverage_complete_with_opaque,accept,within_resource_budget,exif_thumbnail|extended_xmp|iptc_iim|maker_note|standard_xmp,1.000000,3241,3c45502a8ca7adeb6d64ee7ae97622de935c725db9e2600b44ad05a6d5f9bfcf,5,1,4,4,1,4,1,20,1,2,270,1,3
