report_family,group_id,fixture_family,fixture_id,adapter_or_policy,platform_profiles,observations,shape_contract_rate,dtype_contract_rate,exact_pixel_rate,unique_candidate_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
raw_decoder,rgb_orientation_1:ffmpeg,exif_orientation,rgb_orientation_1,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_1:opencv,exif_orientation,rgb_orientation_1,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_1:pillow,exif_orientation,rgb_orientation_1,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_2:ffmpeg,exif_orientation,rgb_orientation_2,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_2:opencv,exif_orientation,rgb_orientation_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_2:pillow,exif_orientation,rgb_orientation_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_3:ffmpeg,exif_orientation,rgb_orientation_3,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_3:opencv,exif_orientation,rgb_orientation_3,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_3:pillow,exif_orientation,rgb_orientation_3,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_4:ffmpeg,exif_orientation,rgb_orientation_4,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_4:opencv,exif_orientation,rgb_orientation_4,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_4:pillow,exif_orientation,rgb_orientation_4,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_5:ffmpeg,exif_orientation,rgb_orientation_5,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_5:opencv,exif_orientation,rgb_orientation_5,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_5:pillow,exif_orientation,rgb_orientation_5,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_6:ffmpeg,exif_orientation,rgb_orientation_6,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_6:opencv,exif_orientation,rgb_orientation_6,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_6:pillow,exif_orientation,rgb_orientation_6,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_7:ffmpeg,exif_orientation,rgb_orientation_7,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_7:opencv,exif_orientation,rgb_orientation_7,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_7:pillow,exif_orientation,rgb_orientation_7,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_8:ffmpeg,exif_orientation,rgb_orientation_8,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_orientation_8:opencv,exif_orientation,rgb_orientation_8,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_orientation_8:pillow,exif_orientation,rgb_orientation_8,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,cmyk_adobe0:ffmpeg,four_component_color,cmyk_adobe0,ffmpeg,5,5,1.000000,1.000000,0.000000,2,1.343126781,1.346376425,3
raw_decoder,cmyk_adobe0:opencv,four_component_color,cmyk_adobe0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,cmyk_adobe0:pillow,four_component_color,cmyk_adobe0,pillow,5,5,1.000000,1.000000,0.000000,1,0.817352208,0.817352208,2
raw_decoder,ycck_adobe2:ffmpeg,four_component_color,ycck_adobe2,ffmpeg,5,5,1.000000,1.000000,0.000000,1,52.663817664,52.663817664,238
raw_decoder,ycck_adobe2:opencv,four_component_color,ycck_adobe2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,ycck_adobe2:pillow,four_component_color,ycck_adobe2,pillow,5,5,1.000000,1.000000,0.000000,1,0.806490385,0.806490385,2
raw_decoder,rgb_icc_gamma_1_0:ffmpeg,icc_profile,rgb_icc_gamma_1_0,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
raw_decoder,rgb_icc_gamma_1_0:opencv,icc_profile,rgb_icc_gamma_1_0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_icc_gamma_1_0:pillow,icc_profile,rgb_icc_gamma_1_0,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
raw_decoder,rgb_icc_gamma_2_2:ffmpeg,icc_profile,rgb_icc_gamma_2_2,ffmpeg,5,5,1.000000,1.000000,0.000000,2,0.029959046,0.031205484,2
