fixture_id,encoder,sequence_id,last_policy_transition_generation,strict_accept_all_generations,metadata_hash_count_after_transition,metadata_stable_after_transition,jpeg_hash_count_after_transition,pixel_hash_count_after_transition,original_envelope_contract_applicable,original_envelope_byte_exact_at_generation_10,semantic_contract_applicable,supported_semantics_retained_at_generation_10,generation_10_mean_absolute_error,generation_10_maximum_absolute_error
app15_large_valid,opencv,normalize_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app15_large_valid,opencv,normalize_then_strip,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app15_large_valid,opencv,preserve_repeat,1,1,1,1,3,3,1,1,0,n/a,0.053329772,18
app15_large_valid,opencv,preserve_then_normalize,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app15_large_valid,opencv,strip_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app15_large_valid,opencv,strip_then_preserve,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app15_large_valid,pillow,normalize_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app15_large_valid,pillow,normalize_then_strip,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app15_large_valid,pillow,preserve_repeat,1,1,1,1,3,3,1,1,0,n/a,0.053329772,18
app15_large_valid,pillow,preserve_then_normalize,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app15_large_valid,pillow,strip_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app15_large_valid,pillow,strip_then_preserve,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,opencv,normalize_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app1_unknown_valid,opencv,normalize_then_strip,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,opencv,preserve_repeat,1,1,1,1,3,3,1,1,0,n/a,0.053329772,18
app1_unknown_valid,opencv,preserve_then_normalize,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,opencv,strip_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app1_unknown_valid,opencv,strip_then_preserve,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,pillow,normalize_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app1_unknown_valid,pillow,normalize_then_strip,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,pillow,preserve_repeat,1,1,1,1,3,3,1,1,0,n/a,0.053329772,18
app1_unknown_valid,pillow,preserve_then_normalize,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
app1_unknown_valid,pillow,strip_repeat,1,1,1,1,3,3,1,0,0,n/a,0.053329772,18
app1_unknown_valid,pillow,strip_then_preserve,2,1,1,1,2,2,1,0,0,n/a,0.053329772,18
exif_orientation_6_valid,opencv,normalize_repeat,1,1,1,1,3,3,1,1,1,1,0.053329772,18
exif_orientation_6_valid,opencv,normalize_then_strip,2,1,1,1,2,2,1,0,1,0,0.053329772,18
exif_orientation_6_valid,opencv,preserve_repeat,1,1,1,1,3,3,1,1,1,1,0.053329772,18
exif_orientation_6_valid,opencv,preserve_then_normalize,2,1,1,1,2,2,1,1,1,1,0.053329772,18
exif_orientation_6_valid,opencv,strip_repeat,1,1,1,1,3,3,1,0,1,0,0.053329772,18
exif_orientation_6_valid,opencv,strip_then_preserve,2,1,1,1,2,2,1,0,1,0,0.053329772,18
