quality,libjpeg_scale_percent,opencv_quantization_fingerprint,pillow_quantization_fingerprint,quantization_tables_equal,encoded_bytes_equal,luma_min,luma_max,luma_mean,chroma_min,chroma_max,chroma_mean,adjacent_table_l1_from_previous_quality
1,5000,f31a3384d5cbaca261efd334cdc9661e49b3bf1bd9f6af60ea3366bfca6ed19e,f31a3384d5cbaca261efd334cdc9661e49b3bf1bd9f6af60ea3366bfca6ed19e,1,1,255,255,255.000000,255,255,255.000000,0
2,2500,0ccee794c12efa1dbab4e99f8f60cbb890673b0d26a754200ad564e8473e942f,0ccee794c12efa1dbab4e99f8f60cbb890673b0d26a754200ad564e8473e942f,1,1,250,255,254.921875,255,255,255.000000,5
3,1666,4031b01db52a2617f6fda07d08894aab0cfde4d2b68204ce221e4befd928c4a1,4031b01db52a2617f6fda07d08894aab0cfde4d2b68204ce221e4befd928c4a1,1,1,167,255,249.156250,255,255,255.000000,369
4,1250,0ce2d36eb83d9001d3d58bc49f9e79ea044c237cc492c559113376f722e61c07,0ce2d36eb83d9001d3d58bc49f9e79ea044c237cc492c559113376f722e61c07,1,1,125,255,238.703125,213,255,253.406250,771
5,1000,efa2657c0a1efe2328f2a97d86ac2e80a595c5ac83e93dbebfe64259d695dac8,efa2657c0a1efe2328f2a97d86ac2e80a595c5ac83e93dbebfe64259d695dac8,1,1,100,255,228.984375,170,255,250.156250,830
6,833,307d8682dcee38061accc992f57c31212d68744ae59dd0f2cc50b4e70ea4b48c,307d8682dcee38061accc992f57c31212d68744ae59dd0f2cc50b4e70ea4b48c,1,1,83,255,219.890625,142,255,245.796875,861
7,714,a4f83511decc881d0c35229fd327ef36d83d99f48c15f74d61fd9463a9b99837,a4f83511decc881d0c35229fd327ef36d83d99f48c15f74d61fd9463a9b99837,1,1,71,255,212.859375,121,255,242.546875,658
8,625,a7ea74ee763c28e2ba1362344f9ac0be44bd2688b8297e830ddc4eadd8b9af9d,a7ea74ee763c28e2ba1362344f9ac0be44bd2688b8297e830ddc4eadd8b9af9d,1,1,63,255,206.718750,106,255,240.140625,547
9,555,80f7c113d9298a8c38d6dd6d125357caa037f13f91ac005efcf8201338acdc0b,80f7c113d9298a8c38d6dd6d125357caa037f13f91ac005efcf8201338acdc0b,1,1,56,255,200.921875,94,255,238.203125,495
10,500,b676cd1adf1e44d7e8fe0f2cdf1295f9996d29dee1b804423873a6ee527a50b6,b676cd1adf1e44d7e8fe0f2cdf1295f9996d29dee1b804423873a6ee527a50b6,1,1,50,255,196.250000,85,255,236.093750,434
11,454,5b2321db5e8394cb56bd62b3387d595c424cb72b1cd0e51dd9cee4731a489027,5b2321db5e8394cb56bd62b3387d595c424cb72b1cd0e51dd9cee4731a489027,1,1,45,255,191.250000,77,255,234.140625,445
12,416,7db0e9402424a0d401bec9fcc33b58ed96ecd196c4361fe201cd84052c41dc99,7db0e9402424a0d401bec9fcc33b58ed96ecd196c4361fe201cd84052c41dc99,1,1,42,255,185.328125,71,255,232.250000,500
13,384,de665ba109e0f0a361af7bb243491868e14a97f984ad8a98b2594267aedd1671,de665ba109e0f0a361af7bb243491868e14a97f984ad8a98b2594267aedd1671,1,1,38,255,179.000000,65,255,230.531250,515
14,357,c7c3cbaaa059afa51a31d954c66ebcd62f350daaf1c11e56fd97afa192f6ede4,c7c3cbaaa059afa51a31d954c66ebcd62f350daaf1c11e56fd97afa192f6ede4,1,1,36,255,173.140625,61,255,228.671875,494
15,333,364981c91bb8e9650215444c6a354226561b35dad8b29531e6af155126d47706,364981c91bb8e9650215444c6a354226561b35dad8b29531e6af155126d47706,1,1,33,255,167.406250,57,255,226.968750,476
16,312,78d93c9491c17787b031e3f7bea466f7c423dc19d09c2ffc5c2e50a77ee18087,78d93c9491c17787b031e3f7bea466f7c423dc19d09c2ffc5c2e50a77ee18087,1,1,31,255,161.875000,53,255,225.453125,451
17,294,2ec9c2a67850bd50dadaa8e30faf10711bb418adb7d540b75622c2f5d72f6217,2ec9c2a67850bd50dadaa8e30faf10711bb418adb7d540b75622c2f5d72f6217,1,1,29,255,156.671875,50,255,224.156250,416
18,277,c75e17c08975d20cbd20c7109d1e73fe7b24505fc28fb0b83faa644caa68cd0a,c75e17c08975d20cbd20c7109d1e73fe7b24505fc28fb0b83faa644caa68cd0a,1,1,28,255,151.234375,47,255,222.921875,427
19,263,89431382ef89d29844d1673ac5a07e5ff44e837bf2f04dab93b95a0e38905f20,89431382ef89d29844d1673ac5a07e5ff44e837bf2f04dab93b95a0e38905f20,1,1,26,255,146.375000,45,255,221.937500,374
20,250,935e7b5c096cd2db3d4286a80b5977b46e2a3e9af740922abae7536660407f16,935e7b5c096cd2db3d4286a80b5977b46e2a3e9af740922abae7536660407f16,1,1,25,255,141.500000,43,248,215.468750,726
21,238,9ce70327c520bcf497f43bfa14904ac10f72af5976d143262db05a8124bdb9a3,9ce70327c520bcf497f43bfa14904ac10f72af5976d143262db05a8124bdb9a3,1,1,24,255,135.625000,40,236,205.015625,1045
22,227,694ac5dfd5a6c0f4ea40e1f0c0ae04812d51aa25d658003f2ddde8fd7dfe7b65,694ac5dfd5a6c0f4ea40e1f0c0ae04812d51aa25d658003f2ddde8fd7dfe7b65,1,1,23,255,130.171875,39,225,195.484375,959
23,217,38644d386fbd443452719db3ceecc95649c729438f662d6cb44c4223a64749a8,38644d386fbd443452719db3ceecc95649c729438f662d6cb44c4223a64749a8,1,1,22,255,124.921875,37,215,186.781250,893
24,208,f539a0ee0c9fb614be3c095c4a57cb27af2254b03cbd97519c527fb72704515e,f539a0ee0c9fb614be3c095c4a57cb27af2254b03cbd97519c527fb72704515e,1,1,21,252,119.812500,35,206,178.953125,828
25,200,e0143847a5929ae44c9e2b974fdc7e1026102ae1c699d1762e3d6ffbcdc2cf40,e0143847a5929ae44c9e2b974fdc7e1026102ae1c699d1762e3d6ffbcdc2cf40,1,1,20,242,115.250000,34,198,172.031250,735
26,192,6efe51183c7d86c72a7b8ad24a4b31c982b9f1aa3e2e689316e78de7044f9e75,6efe51183c7d86c72a7b8ad24a4b31c982b9f1aa3e2e689316e78de7044f9e75,1,1,19,232,110.687500,33,190,165.109375,735
27,185,e7adb847b0a5408a38f3c9d2ed0717a65cbdeda9b6cb96ec9a280d890d14d5ca,e7adb847b0a5408a38f3c9d2ed0717a65cbdeda9b6cb96ec9a280d890d14d5ca,1,1,19,224,106.609375,31,183,158.984375,653
28,178,27b83b2718b13484053c0c8a2108c131870f8b380175d7f5649d4a02943bbea6,27b83b2718b13484053c0c8a2108c131870f8b380175d7f5649d4a02943bbea6,1,1,18,215,102.531250,30,176,152.921875,649
29,172,bad06d052f8d310714a841659c4342ef877ee195bd369d3a2f15266a84518282,bad06d052f8d310714a841659c4342ef877ee195bd369d3a2f15266a84518282,1,1,17,208,99.140625,29,170,147.734375,549
30,166,0a5f028724cd5626ebc1dfb155ac9ad093adddcaed07d94cd8b614e7dae8668c,0a5f028724cd5626ebc1dfb155ac9ad093adddcaed07d94cd8b614e7dae8668c,1,1,17,201,95.703125,28,164,142.531250,553
31,161,fe0dde3375f6e30f0f3cd9d406bc69a1f0a24667499cbbbb8a369189229ceb3e,fe0dde3375f6e30f0f3cd9d406bc69a1f0a24667499cbbbb8a369189229ceb3e,1,1,16,195,92.796875,27,159,138.187500,464
32,156,0812945657c6eae4b1d8001184d088466ac68a0c85f97c78ea9a8123cec1b592,0812945657c6eae4b1d8001184d088466ac68a0c85f97c78ea9a8123cec1b592,1,1,16,189,89.937500,27,154,133.828125,462
33,151,61c55e03f42b79421db71f18b7f4bbdba628ada4af276b1434bc2c480eae43fa,61c55e03f42b79421db71f18b7f4bbdba628ada4af276b1434bc2c480eae43fa,1,1,15,183,87.046875,26,149,129.500000,462
