platform_label,fixture_id,fixture_family,mutation,expected_strict_accept,strict_accept,expected_contract_met,container_valid,metadata_valid,image_data_present,issue_codes,issue_count,app_segment_count,metadata_payload_bytes,exif_orientations,icc_declared_chunks,icc_observed_chunks,icc_profile_length,adobe_transforms,trailing_bytes
linux-x64-reference,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,0,1,1,0,1,adobe_conflicting_transform,1,3,38,none,0,0,0,0|1,0
linux-x64-reference,app15_large_valid,resource_boundary,single_60000_byte_app15,1,1,1,1,1,1,none,0,2,60014,none,0,0,0,none,0
linux-x64-reference,app15_segment_limit,resource_boundary,forty_small_app15_segments,0,0,1,1,0,1,app_segment_limit_exceeded,1,41,54,none,0,0,0,none,0
linux-x64-reference,app1_length_one,malformed_framing,illegal_segment_length_one,0,0,1,0,1,0,invalid_segment_length|missing_sos,2,0,0,none,0,0,0,none,0
linux-x64-reference,app1_length_overrun,malformed_framing,declared_segment_exceeds_file,0,0,1,0,1,0,segment_overrun|missing_sos,2,0,0,none,0,0,0,none,0
linux-x64-reference,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,1,1,1,1,1,1,none,0,2,59,none,0,0,0,none,0
linux-x64-reference,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,0,0,1,1,0,1,exif_conflicting_orientation,1,3,78,3|6,0,0,0,none,0
linux-x64-reference,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,0,0,1,1,0,1,exif_ifd_offset_out_of_bounds,1,2,28,none,0,0,0,none,0
linux-x64-reference,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,0,0,1,1,0,1,exif_invalid_byte_order,1,2,28,none,0,0,0,none,0
linux-x64-reference,exif_orientation_6_valid,valid_exif,orientation_6,1,1,1,1,1,1,none,0,2,46,6,0,0,0,none,0
linux-x64-reference,exif_orientation_9,malformed_exif,orientation_out_of_range,0,0,1,1,0,1,exif_orientation_out_of_range,1,2,46,9,0,0,0,none,0
linux-x64-reference,exif_truncated_header,malformed_exif,truncated_tiff_header,0,0,1,1,0,1,exif_truncated_tiff_header,1,2,23,none,0,0,0,none,0
linux-x64-reference,icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,0,0,1,1,0,1,icc_duplicate_sequence,1,3,1218,none,1,1,588,none,0
linux-x64-reference,icc_gamma_2_2_valid,valid_icc,single_complete_chunk,1,1,1,1,1,1,none,0,2,616,none,1,1,588,none,0
linux-x64-reference,icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,0,0,1,1,0,1,icc_inconsistent_chunk_count,1,3,630,none,2,2,588,none,0
linux-x64-reference,icc_missing_second_chunk,malformed_icc,declared_two_observed_one,0,0,1,1,0,1,icc_missing_sequence,1,2,616,none,2,1,0,none,0
linux-x64-reference,icc_truncated_chunk_header,malformed_icc,missing_chunk_count,0,0,1,1,0,1,icc_truncated_chunk_header,1,2,27,none,0,0,0,none,0
linux-x64-reference,icc_truncated_profile,malformed_icc,profile_size_mismatch,0,0,1,1,0,1,icc_profile_size_mismatch,1,2,584,none,1,1,556,none,0
linux-x64-reference,icc_zero_sequence,malformed_icc,zero_sequence_number,0,0,1,1,0,1,icc_zero_sequence_number|icc_missing_sequence,2,2,616,none,1,1,0,none,0
linux-x64-reference,rgb_control,control,none,1,1,1,1,1,1,none,0,1,14,none,0,0,0,none,0
linux-x64-reference,trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,0,0,1,0,1,1,trailing_data,1,1,14,none,0,0,0,none,8
