platform_label,operating_system,architecture,python_version,runner_image_os,runner_image_version,libjpeg_simd_policy,component,component_role,adapter,adapter_version,implementation_family,reported_backend,build_fingerprint
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,ffmpeg,decoder,imageio-ffmpeg,0.6.0,ffmpeg-native-mjpeg,FFmpeg 7.1 native mjpeg,29eb1488398ba2dfcb81643fa976cfc444c0de075a3545d599a2fd838a9ee03a
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,opencv,decoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),5556c02119e97dfd5f49286d0dfea56be6ef28732a30cf6a8de040072f9e2eba
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,pillow,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,209e8867df4f3a8b4342345933d0989393e62565ec9687d55d3fcd7b353bbb23
macos-arm64-default,Darwin,arm64,3.12,macos15,20260715.0234.1,runtime_default,strict_metadata_auditor,audit,research-notes,0.13.0,bounded_python_marker_parser,"JPEG APP, EXIF, ICC, and Adobe structural policy",f3b751df60e5451bbf50e036e4c14f21ec72e316e2b9cc71820524b5687213b7
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,ffmpeg,decoder,imageio-ffmpeg,0.6.0,ffmpeg-native-mjpeg,FFmpeg 7.1 native mjpeg,b4c7a3ee640ff7d058d501a49094bd4ceacfb0edbdd75e7064f7c625f31b3229
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,opencv,decoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),5556c02119e97dfd5f49286d0dfea56be6ef28732a30cf6a8de040072f9e2eba
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,pillow,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,209e8867df4f3a8b4342345933d0989393e62565ec9687d55d3fcd7b353bbb23
macos-x64-default,Darwin,x86_64,3.12,macos15,20260720.0353.1,runtime_default,strict_metadata_auditor,audit,research-notes,0.13.0,bounded_python_marker_parser,"JPEG APP, EXIF, ICC, and Adobe structural policy",f3b751df60e5451bbf50e036e4c14f21ec72e316e2b9cc71820524b5687213b7
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,ffmpeg,decoder,imageio-ffmpeg,0.6.0,ffmpeg-native-mjpeg,FFmpeg 7.0.2-static native mjpeg,2063b5668ac9376f9adecc952bf9ba38ec0090ec7a4b517af98732b634ea526f
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,opencv,decoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),5556c02119e97dfd5f49286d0dfea56be6ef28732a30cf6a8de040072f9e2eba
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,pillow,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,209e8867df4f3a8b4342345933d0989393e62565ec9687d55d3fcd7b353bbb23
ubuntu-x64-default,Linux,x86_64,3.12,ubuntu24,20260720.247.2,runtime_default,strict_metadata_auditor,audit,research-notes,0.13.0,bounded_python_marker_parser,"JPEG APP, EXIF, ICC, and Adobe structural policy",f3b751df60e5451bbf50e036e4c14f21ec72e316e2b9cc71820524b5687213b7
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,ffmpeg,decoder,imageio-ffmpeg,0.6.0,ffmpeg-native-mjpeg,FFmpeg 7.0.2-static native mjpeg,2063b5668ac9376f9adecc952bf9ba38ec0090ec7a4b517af98732b634ea526f
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,opencv,decoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),5556c02119e97dfd5f49286d0dfea56be6ef28732a30cf6a8de040072f9e2eba
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,pillow,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,209e8867df4f3a8b4342345933d0989393e62565ec9687d55d3fcd7b353bbb23
ubuntu-x64-scalar,Linux,x86_64,3.12,ubuntu24,20260720.247.2,forced_scalar,strict_metadata_auditor,audit,research-notes,0.13.0,bounded_python_marker_parser,"JPEG APP, EXIF, ICC, and Adobe structural policy",f3b751df60e5451bbf50e036e4c14f21ec72e316e2b9cc71820524b5687213b7
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,ffmpeg,decoder,imageio-ffmpeg,0.6.0,ffmpeg-native-mjpeg,FFmpeg 7.1-essentials_build-www.gyan.dev native mjpeg,df7f1233a38e9bb70a77ab7d4b38e27c4eaea073ac04147471810442a99ff44c
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,opencv,decoder,OpenCV,4.13.0,libjpeg-turbo,build-libjpeg-turbo (ver 3.1.2-70),5556c02119e97dfd5f49286d0dfea56be6ef28732a30cf6a8de040072f9e2eba
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,pillow,decoder,Pillow,12.3.0,libjpeg-turbo,libjpeg-turbo 3.1.4.1,209e8867df4f3a8b4342345933d0989393e62565ec9687d55d3fcd7b353bbb23
windows-x64-default,Windows,amd64,3.12,win25-vs2026,20260714.173.1,runtime_default,strict_metadata_auditor,audit,research-notes,0.13.0,bounded_python_marker_parser,"JPEG APP, EXIF, ICC, and Adobe structural policy",f3b751df60e5451bbf50e036e4c14f21ec72e316e2b9cc71820524b5687213b7
