report_family,fixture_id,fixture_family,mutation,adapter,platform_profiles,observations,strict_accept_rate,decode_success_rate,shape_contract_rate,dtype_contract_rate,exact_success_rate,exact_rate_among_successes,unique_output_hashes,error_categories,unique_diagnostic_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
fixture_overall,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,app15_large_valid,resource_boundary,single_60000_byte_app15,all_decoders,5,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_large_valid,resource_boundary,single_60000_byte_app15,opencv,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_large_valid,resource_boundary,single_60000_byte_app15,pillow,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_large_valid,resource_boundary,single_60000_byte_app15,ffmpeg,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,app15_segment_limit,resource_boundary,forty_small_app15_segments,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_segment_limit,resource_boundary,forty_small_app15_segments,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_segment_limit,resource_boundary,forty_small_app15_segments,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app15_segment_limit,resource_boundary,forty_small_app15_segments,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,app1_length_one,malformed_framing,illegal_segment_length_one,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_length_one,malformed_framing,illegal_segment_length_one,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_length_one,malformed_framing,illegal_segment_length_one,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_length_one,malformed_framing,illegal_segment_length_one,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,app1_length_overrun,malformed_framing,declared_segment_exceeds_file,all_decoders,5,15,0.000000,0.333333,0.333333,0.333333,0.333333,1.000000,2,decoder_rejected,2,0.000000000,0.000000000,0
fixture_decoder,app1_length_overrun,malformed_framing,declared_segment_exceeds_file,opencv,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0,decoder_rejected,1,nan,nan,nan
fixture_decoder,app1_length_overrun,malformed_framing,declared_segment_exceeds_file,pillow,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0,decoder_rejected,1,nan,nan,nan
fixture_decoder,app1_length_overrun,malformed_framing,declared_segment_exceeds_file,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,all_decoders,5,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,opencv,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,pillow,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,app1_unknown_valid,unknown_app,well_framed_non_exif_app1,ffmpeg,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
