fixture_id,fixture_family,mutation,strict_audit_accept,issue_codes,decoder_attempts,decoder_successes,exact_successes,strict_reject_but_decode_successes,rejected_decoders,nonexact_successful_decoders
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,0,adobe_conflicting_transform,3,3,3,3,none,none
app15_large_valid,resource_boundary,single_60000_byte_app15,1,none,3,3,3,0,none,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,0,app_segment_limit_exceeded,3,3,3,3,none,none
app1_length_one,malformed_framing,illegal_segment_length_one,0,invalid_segment_length|missing_sos,3,3,3,3,none,none
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,0,segment_overrun|missing_sos,3,1,1,1,opencv|pillow,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,1,none,3,3,3,0,none,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,0,exif_conflicting_orientation,3,3,3,3,none,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,0,exif_ifd_offset_out_of_bounds,3,3,3,3,none,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,0,exif_invalid_byte_order,3,3,3,3,none,none
exif_orientation_6_valid,valid_exif,orientation_6,1,none,3,3,3,0,none,none
exif_orientation_9,malformed_exif,orientation_out_of_range,0,exif_orientation_out_of_range,3,3,3,3,none,none
exif_truncated_header,malformed_exif,truncated_tiff_header,0,exif_truncated_tiff_header,3,3,3,3,none,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,0,icc_duplicate_sequence,3,3,3,3,none,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,1,none,3,3,3,0,none,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,0,icc_inconsistent_chunk_count,3,3,3,3,none,none
icc_missing_second_chunk,malformed_icc,declared_two_observed_one,0,icc_missing_sequence,3,3,3,3,none,none
icc_truncated_chunk_header,malformed_icc,missing_chunk_count,0,icc_truncated_chunk_header,3,2,2,2,pillow,none
icc_truncated_profile,malformed_icc,profile_size_mismatch,0,icc_profile_size_mismatch,3,3,3,3,none,none
icc_zero_sequence,malformed_icc,zero_sequence_number,0,icc_zero_sequence_number|icc_missing_sequence,3,3,3,3,none,none
rgb_control,control,none,1,none,3,3,3,0,none,none
trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,0,trailing_data,3,3,3,3,none,none
