fixture,resource_family,boundary_relation,expected_decision,expected_reason_code,platform_count,observed_decision_count,reason_code_count,issue_signature_count,counter_signature_count,fixture_sha256_count,expectation_met_count,stable_contract
baseline_mixed_metadata,baseline,control,accept,within_resource_budget,5,1,1,1,1,1,5,1
exif_entries_at_limit,exif_entries,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
exif_entries_over_limit,exif_entries,over_limit,quarantine,exif_entry_limit_exceeded,5,1,1,1,1,1,5,1
exif_invalid_magic,invalid_metadata_syntax,invalid_syntax,quarantine,exif_invalid_magic,5,1,1,1,1,1,5,1
header_segments_at_limit,header_segments,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
header_segments_over_limit,header_segments,over_limit,quarantine,header_segment_limit_exceeded,5,1,1,1,1,1,5,1
icc_chunks_at_limit,icc_chunks,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
icc_chunks_over_limit,icc_chunks,over_limit,quarantine,icc_chunk_limit_exceeded,5,1,1,1,1,1,5,1
metadata_bytes_at_limit,metadata_bytes,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
metadata_bytes_over_limit,metadata_bytes,over_limit,quarantine,metadata_byte_limit_exceeded,5,1,1,1,1,1,5,1
metadata_segments_at_limit,metadata_segments,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
metadata_segments_over_limit,metadata_segments,over_limit,quarantine,metadata_segment_limit_exceeded,5,1,1,1,1,1,5,1
segment_length_overrun,container_framing,malformed,reject,segment_overrun,5,1,1,1,1,1,5,1
single_segment_at_limit,single_segment_bytes,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
single_segment_over_limit,single_segment_bytes,over_limit,quarantine,metadata_single_segment_limit_exceeded,5,1,1,1,1,1,5,1
xmp_depth_at_limit,xmp_depth,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
xmp_depth_over_limit,xmp_depth,over_limit,quarantine,xmp_depth_limit_exceeded,5,1,1,1,1,1,5,1
xmp_nodes_at_limit,xmp_nodes,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
xmp_nodes_over_limit,xmp_nodes,over_limit,quarantine,xmp_node_limit_exceeded,5,1,1,1,1,1,5,1
xmp_packet_at_limit,xmp_packet_bytes,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
xmp_packet_over_limit,xmp_packet_bytes,over_limit,quarantine,xmp_packet_byte_limit_exceeded,5,1,1,1,1,1,5,1
xmp_prohibited_doctype,unsafe_xmp_syntax,unsafe_syntax,quarantine,xmp_prohibited_declaration,5,1,1,1,1,1,5,1
xmp_text_at_limit,xmp_text_bytes,at_limit,accept,within_resource_budget,5,1,1,1,1,1,5,1
xmp_text_over_limit,xmp_text_bytes,over_limit,quarantine,xmp_text_byte_limit_exceeded,5,1,1,1,1,1,5,1
