platform_label,fixture,resource_family,boundary_relation,expected_decision,observed_decision,expectation_met,expected_reason_code,reason_code,issue_codes,header_scan_complete,image_data_reached,fixture_bytes,fixture_sha256,limit_value,observed_value,admitted_value,observed_to_limit,admitted_to_limit,header_segments_seen,header_segments_admitted,metadata_segments_seen,metadata_segments_admitted,metadata_bytes_seen,metadata_bytes_admitted,largest_metadata_segment_seen,largest_metadata_segment_admitted,exif_entries_seen,exif_entries_admitted,xmp_packet_bytes_seen,xmp_packet_bytes_admitted,xmp_nodes_seen,xmp_nodes_admitted,xmp_depth_seen,xmp_depth_admitted,xmp_text_bytes_seen,xmp_text_bytes_admitted,icc_chunks_seen,icc_chunks_admitted
local-reference,baseline_mixed_metadata,baseline,control,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2465,4b862580570affabe7763fe2d2dbe3585a5d53b674f313d40af561b74c40245a,,,,,,14,14,5,5,126,126,44,44,1,1,15,15,3,3,2,2,0,0,1,1
local-reference,header_segments_at_limit,header_segments,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2429,b3972fb363a69d980d00cc646733b0d06c36203752c1f58f143b565d8870e2df,64,64,64,1.000000,1.000000,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,header_segments_over_limit,header_segments,over_limit,quarantine,quarantine,1,header_segment_limit_exceeded,header_segment_limit_exceeded,header_segment_limit_exceeded,0,0,2431,7c7771afdd78393afb624eba77659fab257ba479958f1cb8f065582a80cc93ee,64,65,64,1.015625,1.000000,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,metadata_segments_at_limit,metadata_segments,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2359,94ee8c88120864465764c1bc76dd30b681ba959fa6240234659d181b2ab7b0eb,8,8,8,1.000000,1.000000,17,17,8,8,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,metadata_segments_over_limit,metadata_segments,over_limit,quarantine,quarantine,1,metadata_segment_limit_exceeded,metadata_segment_limit_exceeded,metadata_segment_limit_exceeded,0,0,2364,a5b7e6109143737bdd9d84e4969e133c81feafc5a38a351392fb8115613fd3af,8,9,8,1.125000,1.000000,9,9,9,8,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,metadata_bytes_at_limit,metadata_bytes,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,18719,2bcd0fb9263309690e2efbb1e4ecfc5a3bef8855fb52fc081594c814638ce6bc,16384,16384,16384,1.000000,1.000000,13,13,4,4,16384,16384,4096,4096,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,metadata_bytes_over_limit,metadata_bytes,over_limit,quarantine,quarantine,1,metadata_byte_limit_exceeded,metadata_byte_limit_exceeded,metadata_byte_limit_exceeded,0,0,18724,6ab2eca2c0dcaa3a77a3a4cb480e39f349e938eec61621767309dfae130e2f74,16384,16385,16384,1.000061,1.000000,5,5,5,5,16385,16384,4096,4096,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,single_segment_at_limit,single_segment_bytes,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,6419,cb87a7206590cc242e5b534942e81e0185da5c33d03a863709fae31882b44576,4096,4096,4096,1.000000,1.000000,10,10,1,1,4096,4096,4096,4096,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,single_segment_over_limit,single_segment_bytes,over_limit,quarantine,quarantine,1,metadata_single_segment_limit_exceeded,metadata_single_segment_limit_exceeded,metadata_single_segment_limit_exceeded,0,0,6420,34c942f009885aeef74b71a55cb2586c5b0b40406081ba93642ec93ae2a3568b,4096,4097,0,1.000244,0.000000,1,1,1,1,4097,0,4097,0,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,exif_entries_at_limit,exif_entries,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2535,cc1a9e66dda9f9bc4c46d4449bf8f88ccd389276efe21f8a6ed969c0046db3fe,16,16,16,1.000000,1.000000,10,10,1,1,212,212,212,212,16,16,0,0,0,0,0,0,0,0,0,0
local-reference,exif_entries_over_limit,exif_entries,over_limit,quarantine,quarantine,1,exif_entry_limit_exceeded,exif_entry_limit_exceeded,exif_entry_limit_exceeded,0,0,2547,4e28be3b09721308766862a4cece6a08e63b486015b79509a047fe8596696283,16,17,0,1.062500,0.000000,1,1,1,1,224,224,224,224,17,0,0,0,0,0,0,0,0,0,0,0
local-reference,xmp_packet_at_limit,xmp_packet_bytes,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,4400,d3c5b05799afb6115417c89d00a56fb963a0777dd2fe76438695b8382dade743,2048,2048,2048,1.000000,1.000000,10,10,1,1,2077,2077,2077,2077,0,0,2048,2048,1,1,1,1,0,0,0,0
local-reference,xmp_packet_over_limit,xmp_packet_bytes,over_limit,quarantine,quarantine,1,xmp_packet_byte_limit_exceeded,xmp_packet_byte_limit_exceeded,xmp_packet_byte_limit_exceeded,0,0,4401,3f50f366f976deecb55b8e64bf4f66fe430d2bb65759bbe55e84e5309b2d7891,2048,2049,0,1.000488,0.000000,1,1,1,1,2078,2078,2078,2078,0,0,2049,0,0,0,0,0,0,0,0,0
local-reference,xmp_nodes_at_limit,xmp_nodes,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2483,4d47eb4202c25702b853b002104fbcb723e299e325a457d56ba69cce9e2f2dfb,32,32,32,1.000000,1.000000,10,10,1,1,160,160,160,160,0,0,131,131,32,32,2,2,0,0,0,0
local-reference,xmp_nodes_over_limit,xmp_nodes,over_limit,quarantine,quarantine,1,xmp_node_limit_exceeded,xmp_node_limit_exceeded,xmp_node_limit_exceeded,0,0,2487,4631f5c318b4791384a07b0f9dbcc1acf23082d1f6622407516ff9d08fd58e4e,32,33,32,1.031250,1.000000,1,1,1,1,164,164,164,164,0,0,135,135,33,32,2,2,0,0,0,0
local-reference,xmp_depth_at_limit,xmp_depth,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2408,fceca064545d219ca66a07653b930bc2abe1e4d524226ab934982cb3556d7f27,8,8,8,1.000000,1.000000,10,10,1,1,85,85,85,85,0,0,56,56,8,8,8,8,0,0,0,0
local-reference,xmp_depth_over_limit,xmp_depth,over_limit,quarantine,quarantine,1,xmp_depth_limit_exceeded,xmp_depth_limit_exceeded,xmp_depth_limit_exceeded,0,0,2415,81643e9c9dbb6fa6d2a8ed282c6113716266ae7958e8eeb3bfcfd8eb71d114ce,8,9,8,1.125000,1.000000,1,1,1,1,92,92,92,92,0,0,63,63,9,8,9,8,0,0,0,0
local-reference,xmp_text_at_limit,xmp_text_bytes,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2871,41d97a4d90dbf2b5b0af7ffb064e2f96cfd00de776405e80512d14a9dc2fce84,512,512,512,1.000000,1.000000,10,10,1,1,548,548,548,548,0,0,519,519,1,1,1,1,512,512,0,0
local-reference,xmp_text_over_limit,xmp_text_bytes,over_limit,quarantine,quarantine,1,xmp_text_byte_limit_exceeded,xmp_text_byte_limit_exceeded,xmp_text_byte_limit_exceeded,0,0,2872,732e7cac6adb05b853b71f78791f9f33f77ec5b3c1a15f6a25a61a3d0fc94e58,512,513,0,1.001953,0.000000,1,1,1,1,549,549,549,549,0,0,520,520,1,1,1,1,513,0,0,0
local-reference,icc_chunks_at_limit,icc_chunks,at_limit,accept,accept,1,within_resource_budget,within_resource_budget,,1,1,2395,bd4e55d8123cb960ba75b70c258a9b06d7ebb76e4cf3fa903f08762015dbeecb,4,4,4,1.000000,1.000000,13,13,4,4,60,60,15,15,0,0,0,0,0,0,0,0,0,0,4,4
local-reference,icc_chunks_over_limit,icc_chunks,over_limit,quarantine,quarantine,1,icc_chunk_limit_exceeded,icc_chunk_limit_exceeded,icc_chunk_limit_exceeded,0,0,2414,f647138d1864e30d50f71dc4ac2933a45775cb3e584c1c40937777abc199d6e0,4,5,0,1.250000,0.000000,1,1,1,1,15,15,15,15,0,0,0,0,0,0,0,0,0,0,5,0
local-reference,xmp_prohibited_doctype,unsafe_xmp_syntax,unsafe_syntax,quarantine,quarantine,1,xmp_prohibited_declaration,xmp_prohibited_declaration,xmp_prohibited_declaration,0,0,2392,dd6a1bfc107666b320cdf70a403fbccbef028c1335f7e3354dd67425f9eceb9e,,,,,,1,1,1,1,69,69,69,69,0,0,40,40,0,0,0,0,0,0,0,0
local-reference,exif_invalid_magic,invalid_metadata_syntax,invalid_syntax,quarantine,quarantine,1,exif_invalid_magic,exif_invalid_magic,exif_invalid_magic,0,0,2343,3342b522a848e4a56dad7c703506b354c628cd6af357c0df901fdcc76281f0f2,,,,,,1,1,1,1,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0
local-reference,segment_length_overrun,container_framing,malformed,reject,reject,1,segment_overrun,segment_overrun,segment_overrun,0,0,7,9bc6fe936c26e59627bf061909cbf2105b2462c071fd041261c892b1ba5e3c33,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
