resource_family,fixtures,accept_count,quarantine_count,reject_count,expectation_rate,at_limit_decision,over_limit_decision,maximum_observed_to_limit,maximum_admitted_to_limit
baseline,1,1,0,0,1.000000,,,,
container_framing,1,0,0,1,1.000000,,,,
exif_entries,2,1,1,0,1.000000,accept,quarantine,1.062500,1.000000
header_segments,2,1,1,0,1.000000,accept,quarantine,1.015625,1.000000
icc_chunks,2,1,1,0,1.000000,accept,quarantine,1.250000,1.000000
invalid_metadata_syntax,1,0,1,0,1.000000,,,,
metadata_bytes,2,1,1,0,1.000000,accept,quarantine,1.000061,1.000000
metadata_segments,2,1,1,0,1.000000,accept,quarantine,1.125000,1.000000
single_segment_bytes,2,1,1,0,1.000000,accept,quarantine,1.000244,1.000000
unsafe_xmp_syntax,1,0,1,0,1.000000,,,,
xmp_depth,2,1,1,0,1.000000,accept,quarantine,1.125000,1.000000
xmp_nodes,2,1,1,0,1.000000,accept,quarantine,1.031250,1.000000
xmp_packet_bytes,2,1,1,0,1.000000,accept,quarantine,1.000488,1.000000
xmp_text_bytes,2,1,1,0,1.000000,accept,quarantine,1.001953,1.000000
