fixture_id,fixture_family,mutation,encoder,policy,platform_profiles,source_decode_rate,output_rate,strict_accept_rate_among_outputs,output_decode_rate_among_outputs,byte_exact_envelope_rate_among_applicable,semantic_retention_rate_among_applicable,compressed_core_exact_rate,pixel_exact_rate_among_decoded_outputs,unique_output_jpeg_hashes,unique_output_pixel_hashes,behavior_signature_count,error_categories
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
adobe_conflicting_transform,malformed_adobe,duplicate_transform_zero_and_one,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
app15_large_valid,resource_boundary,single_60000_byte_app15,pillow,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,pillow,reject,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,opencv,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_large_valid,resource_boundary,single_60000_byte_app15,opencv,reject,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
app15_segment_limit,resource_boundary,forty_small_app15_segments,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app15_segment_limit,resource_boundary,forty_small_app15_segments,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
app1_length_one,malformed_framing,illegal_segment_length_one,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
app1_length_one,malformed_framing,illegal_segment_length_one,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_length_one,malformed_framing,illegal_segment_length_one,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,pillow,preserve,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,pillow,strip,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,pillow,normalize,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,pillow,reject,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,opencv,preserve,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,opencv,strip,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,opencv,normalize,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_length_overrun,malformed_framing,declared_segment_exceeds_file,opencv,reject,5,0.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,source_decoder_rejected
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,pillow,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,pillow,reject,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,opencv,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
app1_unknown_valid,unknown_app,well_framed_non_exif_app1,opencv,reject,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_conflicting_orientation,malformed_exif,duplicate_orientation_3_and_6,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_ifd_offset_oob,malformed_exif,ifd_offset_out_of_bounds,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_invalid_byte_order,malformed_exif,invalid_tiff_byte_order,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_orientation_6_valid,valid_exif,orientation_6,pillow,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,pillow,reject,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,opencv,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_6_valid,valid_exif,orientation_6,opencv,reject,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
