encoder,policy,observations,source_fields,retained_fields,removed_fields,retained_fraction,retained_location_fields,retained_unclassified_fields,strict_accept_rate,metadata_core_exact_rate,pixel_exact_rate,layout_output_hash_count,metadata_state_hash_count
pillow,retain_all,2,24,24,0,1.000000000,4,4,1.000000000,1.000000000,1.000000000,1,1
pillow,drop_location_denylist,2,24,20,4,0.833333333,0,4,1.000000000,1.000000000,1.000000000,1,1
pillow,allow_visual_context,2,24,4,20,0.166666667,0,0,1.000000000,1.000000000,1.000000000,1,1
pillow,allow_catalog,2,24,12,12,0.500000000,0,0,1.000000000,1.000000000,1.000000000,1,1
pillow,allow_attribution,2,24,8,16,0.333333333,0,0,1.000000000,1.000000000,1.000000000,1,1
pillow,strip_all,2,24,0,24,0.000000000,0,0,1.000000000,1.000000000,1.000000000,1,1
opencv,retain_all,2,24,24,0,1.000000000,4,4,1.000000000,1.000000000,1.000000000,1,1
opencv,drop_location_denylist,2,24,20,4,0.833333333,0,4,1.000000000,1.000000000,1.000000000,1,1
opencv,allow_visual_context,2,24,4,20,0.166666667,0,0,1.000000000,1.000000000,1.000000000,1,1
opencv,allow_catalog,2,24,12,12,0.500000000,0,0,1.000000000,1.000000000,1.000000000,1,1
opencv,allow_attribution,2,24,8,16,0.333333333,0,0,1.000000000,1.000000000,1.000000000,1,1
opencv,strip_all,2,24,0,24,0.000000000,0,0,1.000000000,1.000000000,1.000000000,1,1
