platform_label,fixture,transform,assertion_mode,expected_status,observed_status,expectation_met,expected_reason_code,reason_code,action,parent_declared,assertion_sha256,binding_names,matching_bindings,mismatching_bindings,matching_binding_count,mismatching_binding_count,fixture_bytes,fixture_sha256
linux-x64-reference,source_valid_binding,created,new,valid_binding,valid_binding,1,bindings_match,bindings_match,created,0,e1257b8b6752edf6940924ce828e5a278b2c9e19ff91fbeae0531e8857cf51b9,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,,3,0,4226,34dec4d0bbf8412b59b0eb98eb1a324b2b0d5f82e99297c268ed214a11ec8f78
linux-x64-reference,metadata_reordered_inherited,metadata_reordered,inherited,valid_binding,valid_binding,1,bindings_match,bindings_match,created,0,e1257b8b6752edf6940924ce828e5a278b2c9e19ff91fbeae0531e8857cf51b9,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,,3,0,4226,c3c066d4f38019ecb338ed1ca9b0cc5f103bcccc046ccfc844a90b08c6698a93
linux-x64-reference,metadata_sanitized_inherited,metadata_sanitized,inherited,stale_binding,stale_binding,1,binding_mismatch,binding_mismatch,created,0,e1257b8b6752edf6940924ce828e5a278b2c9e19ff91fbeae0531e8857cf51b9,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|decoded_pixels_sha256,metadata_state_sha256,2,1,3357,ffbd0c651c04dcdcc6ffeeb0f160844103c3e6d5bc6db42acf38d7cedd435316
linux-x64-reference,metadata_sanitized_renewed,metadata_sanitized,renewed,valid_derived_binding,valid_derived_binding,1,bindings_match,bindings_match,metadata_sanitized,1,b10f73e567c00ace2f0aec34596068283fa5d316ef5ba95c6a9c955114c723e8,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,,3,0,3432,6cd02cd137f950555ffc9cd2d49e3a2631a05ac96aea8ece33eabc8be4e1f37a
linux-x64-reference,reencoded_inherited,reencoded,inherited,stale_binding,stale_binding,1,binding_mismatch,binding_mismatch,created,0,e1257b8b6752edf6940924ce828e5a278b2c9e19ff91fbeae0531e8857cf51b9,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,metadata_state_sha256,image_core_sha256|decoded_pixels_sha256,1,2,4037,89e3e4dfc2567b2ade94074c9024b0a400c8d959aefa9898fd0e31aa5976608a
linux-x64-reference,reencoded_renewed,reencoded,renewed,valid_derived_binding,valid_derived_binding,1,bindings_match,bindings_match,reencoded,1,1af1c1c814f02aadffc3f62901163618263e33278aaaf0bf8372b2d2e5000eb0,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,,3,0,4103,b74caf79e26940407f45deaa7e2fb234f4e59b9eee207ef6ea9eafa3eb20f010
linux-x64-reference,pixel_modified_inherited,pixel_modified,inherited,stale_binding,stale_binding,1,binding_mismatch,binding_mismatch,created,0,e1257b8b6752edf6940924ce828e5a278b2c9e19ff91fbeae0531e8857cf51b9,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,metadata_state_sha256,image_core_sha256|decoded_pixels_sha256,1,2,4277,55eaaed517830cd29a6e67296ea83db45113852c9eb230550be97f3cd529485e
linux-x64-reference,manifest_digest_tampered,manifest_tampered,tampered,stale_binding,stale_binding,1,binding_mismatch,binding_mismatch,created,0,902955ba22526f04dde423d14d74d51446a25e1e2e4161b1e161c16690331193,image_core_sha256|metadata_state_sha256|decoded_pixels_sha256,image_core_sha256|decoded_pixels_sha256,metadata_state_sha256,2,1,4226,cdb5bebc618f812e6df87d3e21b8f5afc36b357888cf3c89cabf8ca27b4983a5
linux-x64-reference,manifest_json_malformed,manifest_malformed,malformed,malformed_assertion,malformed_assertion,1,assertion_json_invalid,assertion_json_invalid,,0,f1dec6e9ee608550bd1c39ff2b90134059bac5d02e4e78f6410aed2fbd870bd0,,,,0,0,3866,990dc5e77baff7b11d6d5ec89929774162d9a968a6117c36fe2a17c731438e0b
linux-x64-reference,manifest_missing,manifest_removed,missing,missing_assertion,missing_assertion,1,assertion_missing,assertion_missing,,0,,,,,0,0,3830,12632549d58141b4d68cb557c1a4022f97f3d5bd0d0d1eafd392473295154619
linux-x64-reference,manifest_duplicate,manifest_duplicated,duplicate,multiple_assertions,multiple_assertions,1,assertion_multiple,assertion_multiple,,0,,,,,0,0,4622,0fcffa740e10490d18d68de2ec316a821ed15853974b3e55fe8c1d9487613af1
