model_id,split,sample_count,decided_count,coverage,raw_accuracy,selective_accuracy,brier_score,temperature,abstention_threshold
bounded_rule,train,16,16,1,1,1,0.0099999999999999967,1,0.69999999999999996
bounded_rule,validation,12,12,1,0.66666666666666663,0.66666666666666663,0.27666666666666667,1,0.69999999999999996
bounded_rule,test,8,8,1,1,1,0.0062499999999999977,1,0.69999999999999996
geometry_centroid,train,16,0,0,0.75,,0.20914703476895968,8,0.69999999999999996
geometry_centroid,validation,12,0,0,0.33333333333333331,,0.25739724901327127,8,0.69999999999999996
geometry_centroid,test,8,4,0.5,0.125,0,0.62183268087350541,8,0.69999999999999996
graph_centroid,train,16,12,0.75,1,1,0.067595451608521012,8,0.69999999999999996
graph_centroid,validation,12,8,0.66666666666666663,0.66666666666666663,0.5,0.274557530209742,8,0.69999999999999996
graph_centroid,test,8,4,0.5,1,1,0.06297822679369168,8,0.69999999999999996
tabular_centroid,train,16,16,1,1,1,0.015772163167098979,8,0.69999999999999996
tabular_centroid,validation,12,8,0.66666666666666663,0.66666666666666663,0.5,0.29658305109344324,8,0.69999999999999996
tabular_centroid,test,8,8,1,1,1,0.033160629319826225,8,0.69999999999999996
