blur_sigma,blurred_tiles,area_fraction,metric,observations,global_ratio_mean,tile_mean_ratio_mean,lowest_quartile_mean_ratio_mean,minimum_tile_ratio_mean,top_k_recall_mean
0,0,0.0000,laplacian_variance,3,1.000000,1.000000,1.000000,1.000000,
0,0,0.0000,tenengrad_energy,3,1.000000,1.000000,1.000000,1.000000,
1,1,0.0625,laplacian_variance,6,0.939561,0.941589,0.766358,0.065434,1.000000
1,1,0.0625,tenengrad_energy,6,0.966871,0.967322,0.869287,0.477148,1.000000
1,4,0.2500,laplacian_variance,6,0.757746,0.767031,0.068124,0.065434,1.000000
1,4,0.2500,tenengrad_energy,6,0.866319,0.869385,0.477541,0.476392,1.000000
1,8,0.5000,laplacian_variance,6,0.523226,0.532988,0.061669,0.061138,1.000000
1,8,0.5000,tenengrad_energy,6,0.735135,0.738539,0.475379,0.475076,1.000000
1,16,1.0000,laplacian_variance,3,0.048873,0.065456,0.060076,0.060076,1.000000
1,16,1.0000,tenengrad_energy,3,0.472182,0.477158,0.474859,0.474859,1.000000
2,1,0.0625,laplacian_variance,6,0.936959,0.938466,0.753864,0.015457,1.000000
2,1,0.0625,tenengrad_energy,6,0.948542,0.949465,0.797860,0.191441,1.000000
2,4,0.2500,laplacian_variance,6,0.747403,0.754148,0.016590,0.015457,1.000000
2,4,0.2500,tenengrad_energy,6,0.793089,0.797906,0.191623,0.190170,1.000000
2,8,0.5000,laplacian_variance,6,0.503906,0.507816,0.013703,0.013540,1.000000
2,8,0.5000,tenengrad_energy,6,0.591202,0.595618,0.189151,0.188734,1.000000
2,16,1.0000,laplacian_variance,3,0.008616,0.015481,0.013215,0.013215,1.000000
2,16,1.0000,tenengrad_energy,3,0.185510,0.191468,0.188562,0.188562,1.000000
3,1,0.0625,laplacian_variance,6,0.936866,0.937814,0.751257,0.005025,1.000000
3,1,0.0625,tenengrad_energy,6,0.940676,0.941434,0.765737,0.062950,1.000000
3,4,0.2500,laplacian_variance,6,0.746448,0.751356,0.005423,0.005025,1.000000
3,4,0.2500,tenengrad_energy,6,0.761332,0.765597,0.062388,0.061723,1.000000
3,8,0.5000,laplacian_variance,6,0.501940,0.502530,0.004324,0.004297,1.000000
3,8,0.5000,tenengrad_energy,6,0.529013,0.531337,0.062002,0.061673,1.000000
3,16,1.0000,laplacian_variance,3,0.002566,0.005038,0.004242,0.004242,1.000000
3,16,1.0000,tenengrad_energy,3,0.060143,0.062951,0.061621,0.061621,1.000000
