pattern,blur_sigma,blurred_tiles,area_fraction,placement,metric,global_score,global_ratio,tile_mean_ratio,lowest_quartile_mean_ratio,minimum_tile_ratio,blurred_tile_mean_ratio,sharp_tile_mean_ratio,top_k_recall
checkerboard,0,0,0.0000,none,laplacian_variance,39124.539185,1.000000,1.000000,1.000000,1.000000,,1.000000,
checkerboard,0,0,0.0000,none,tenengrad_energy,412407.092285,1.000000,1.000000,1.000000,1.000000,,1.000000,
checkerboard,1,1,0.0625,edge,laplacian_variance,36829.866028,0.941350,0.941520,0.766080,0.064321,0.064321,1.000000,1.000000
checkerboard,1,1,0.0625,edge,tenengrad_energy,397720.274719,0.964388,0.963680,0.854722,0.418886,0.418886,1.000000,1.000000
checkerboard,1,1,0.0625,center,laplacian_variance,36580.745361,0.934982,0.942193,0.768774,0.075094,0.075094,1.000000,1.000000
checkerboard,1,1,0.0625,center,tenengrad_energy,396757.138916,0.962052,0.963397,0.853587,0.414349,0.414349,1.000000,1.000000
checkerboard,1,4,0.2500,edge,laplacian_variance,29719.386536,0.759610,0.767444,0.069776,0.064321,0.069776,1.000000,1.000000
checkerboard,1,4,0.2500,edge,tenengrad_energy,351839.102844,0.853135,0.854162,0.416650,0.414349,0.416650,1.000000,1.000000
checkerboard,1,4,0.2500,center,laplacian_variance,29219.819580,0.746841,0.768774,0.075094,0.075094,0.075094,1.000000,1.000000
checkerboard,1,4,0.2500,center,tenengrad_energy,349920.334229,0.848483,0.853587,0.414349,0.414349,0.414349,1.000000,1.000000
checkerboard,1,8,0.5000,edge,laplacian_variance,20449.180969,0.522669,0.534888,0.067083,0.064321,0.069776,1.000000,1.000000
checkerboard,1,8,0.5000,edge,tenengrad_energy,291319.819824,0.706389,0.708325,0.415516,0.414349,0.416650,1.000000,1.000000
checkerboard,1,8,0.5000,center,laplacian_variance,19953.878296,0.510009,0.536235,0.069845,0.069845,0.072470,1.000000,1.000000
checkerboard,1,8,0.5000,center,tenengrad_energy,289400.382812,0.701735,0.707758,0.414349,0.414349,0.415516,1.000000,1.000000
checkerboard,1,16,1.0000,full,laplacian_variance,2045.114502,0.052272,0.069776,0.064321,0.064321,0.069776,,1.000000
checkerboard,1,16,1.0000,full,tenengrad_energy,170318.874023,0.412987,0.416650,0.414349,0.414349,0.416650,,1.000000
checkerboard,2,1,0.0625,edge,laplacian_variance,36704.329346,0.938141,0.938228,0.752910,0.011642,0.011642,1.000000,1.000000
checkerboard,2,1,0.0625,edge,tenengrad_energy,390576.645752,0.947066,0.946613,0.786452,0.145807,0.145807,1.000000,1.000000
checkerboard,2,1,0.0625,center,laplacian_variance,36426.895142,0.931050,0.938422,0.753686,0.014745,0.014745,1.000000,1.000000
checkerboard,2,1,0.0625,center,tenengrad_energy,388904.062744,0.943010,0.946136,0.784544,0.138178,0.138178,1.000000,1.000000
checkerboard,2,4,0.2500,edge,laplacian_variance,29242.802979,0.747429,0.753317,0.013266,0.011642,0.013266,1.000000,1.000000
checkerboard,2,4,0.2500,edge,tenengrad_energy,322917.657471,0.783007,0.785518,0.142072,0.138178,0.142072,1.000000,1.000000
checkerboard,2,4,0.2500,center,laplacian_variance,28686.481079,0.733209,0.753686,0.014745,0.014745,0.014745,1.000000,1.000000
checkerboard,2,4,0.2500,center,tenengrad_energy,319587.390869,0.774932,0.784544,0.138178,0.138178,0.138178,1.000000,1.000000
checkerboard,2,8,0.5000,edge,laplacian_variance,19537.223328,0.499360,0.506633,0.012490,0.011642,0.013266,1.000000,1.000000
checkerboard,2,8,0.5000,edge,tenengrad_energy,234009.984253,0.567425,0.571036,0.140165,0.138178,0.142072,1.000000,1.000000
checkerboard,2,8,0.5000,center,laplacian_variance,18985.387695,0.485255,0.507021,0.013339,0.013339,0.014042,1.000000,1.000000
checkerboard,2,8,0.5000,center,tenengrad_energy,230679.356445,0.559349,0.570083,0.138178,0.138178,0.140165,1.000000,1.000000
