pattern,blur_sigma,blurred_tiles,area_fraction,placement,tile_row,tile_column,is_blurred,metric,reference_score,observed_score,score_ratio
checkerboard,0,0,0.0000,none,0,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,0,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,0,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,0,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,1,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,1,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,1,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,1,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,2,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,2,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,2,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,2,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,3,0,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,3,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,3,2,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,3,3,0,laplacian_variance,34671.533203,34671.533203,1.000000
checkerboard,0,0,0.0000,none,0,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,0,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,0,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,0,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,1,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,1,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,1,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,1,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,2,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,2,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,2,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,2,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,3,0,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,3,1,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,3,2,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,0,0,0.0000,none,3,3,0,tenengrad_energy,380497.851562,380497.851562,1.000000
checkerboard,1,1,0.0625,edge,0,0,1,laplacian_variance,34671.533203,2230.124007,0.064321
checkerboard,1,1,0.0625,edge,0,1,0,laplacian_variance,34671.533203,34671.533203,1.000000
