platform_label,stage,control_id,condition,observed_shape_type,vertex_count,edge_count,face_count,shell_count,solid_count,boundary_edge_count,nonmanifold_edge_count,nonmanifold_vertex_count,topology_matches_control,relationship_matches_control,self_intersection_matches_control
linux-x64-reference,constructed,valid_tetrahedron,closed tetrahedron shell,shell,4,6,4,1,0,0,0,0,1,,
linux-x64-reference,step_imported,valid_tetrahedron,closed tetrahedron shell,shell,4,6,4,1,0,0,0,0,1,,
linux-x64-reference,constructed,pinched_tetrahedra,two tetrahedra sharing one topological vertex,shell,7,12,8,1,0,0,0,1,1,,
linux-x64-reference,step_imported,pinched_tetrahedra,two tetrahedra sharing one topological vertex,compound,7,12,8,2,0,0,0,1,1,,
linux-x64-reference,constructed,nonmanifold_fan,three triangles sharing one edge,shell,5,7,3,1,0,6,1,2,1,,
linux-x64-reference,step_imported,nonmanifold_fan,three triangles sharing one edge,compound,5,7,3,3,0,6,1,2,1,,
linux-x64-reference,constructed,separated_edges,two independent edges with positive separation in one aggregate B-Rep,compound,4,2,0,0,0,0,0,0,1,,1
linux-x64-reference,step_imported,separated_edges,two independent edges with positive separation in one aggregate B-Rep,compound,4,2,0,0,0,0,0,0,1,,1
linux-x64-reference,constructed,crossing_edges,two independent edges crossing at one interior point in one aggregate B-Rep,compound,4,2,0,0,0,0,0,0,1,,1
linux-x64-reference,step_imported,crossing_edges,two independent edges crossing at one interior point in one aggregate B-Rep,compound,4,2,0,0,0,0,0,0,1,,1
linux-x64-reference,constructed,disjoint_boxes,two boxes separated by one unit,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,step_imported,disjoint_boxes,two boxes separated by one unit,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,constructed,vertex_touching_boxes,two boxes touching at one vertex,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,step_imported,vertex_touching_boxes,two boxes touching at one vertex,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,constructed,edge_touching_boxes,two boxes touching along one geometric edge,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,step_imported,edge_touching_boxes,two boxes touching along one geometric edge,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,constructed,face_touching_boxes,two boxes touching on one geometric face,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,step_imported,face_touching_boxes,two boxes touching on one geometric face,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,constructed,overlapping_boxes,two boxes with a nine-unit volumetric overlap,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,step_imported,overlapping_boxes,two boxes with a nine-unit volumetric overlap,compound,16,24,12,2,2,0,0,0,1,1,
linux-x64-reference,constructed,separated_faces,two parallel planar faces separated by one unit in one aggregate B-Rep,compound,8,8,2,0,0,8,0,0,1,1,1
linux-x64-reference,step_imported,separated_faces,two parallel planar faces separated by one unit in one aggregate B-Rep,compound,8,8,2,2,0,8,0,0,1,1,1
linux-x64-reference,constructed,crossing_faces,two independent planar faces crossing in one aggregate B-Rep,compound,8,8,2,0,0,8,0,0,1,1,1
linux-x64-reference,step_imported,crossing_faces,two independent planar faces crossing in one aggregate B-Rep,compound,8,8,2,2,0,8,0,0,1,1,1
