pattern,motion_length,angle_degrees,laplacian_variance,tenengrad_energy
checkerboard,1,0,17026.199341,222412.170410
checkerboard,5,0,6853.342896,136381.047363
checkerboard,9,0,5266.539917,101441.726074
checkerboard,15,0,3327.980347,64197.370605
vertical_bars,1,0,15748.242188,251971.875000
vertical_bars,5,0,629.929688,90709.875000
vertical_bars,9,0,203.726562,40989.625000
vertical_bars,15,0,76.765625,2095.250000
geometric_shapes,1,0,2590.331787,22197.911621
geometric_shapes,5,0,505.517029,14695.059692
geometric_shapes,9,0,364.632812,11227.714905
geometric_shapes,15,0,310.210144,8683.489014
