pattern,gradient_axis_degrees,motion_length,noise_std,metric,trials_per_angle,aligned_angle_degrees,aligned_ratio_mean,oblique_ratio_mean,perpendicular_angle_degrees,perpendicular_ratio_mean,aligned_to_perpendicular_ratio,most_attenuating_angle_degrees,least_attenuating_angle_degrees,angular_ratio_range
grating_0,0,5,0,laplacian_variance,10,0,0.758595,0.842986,90,1.000000,0.758595,0,90,0.241405
grating_0,0,5,0,tenengrad_energy,10,0,0.786389,0.873582,90,1.000000,0.786389,0,90,0.213611
grating_0,0,5,5,laplacian_variance,10,0,0.945024,0.964267,90,1.000000,0.945024,0,90,0.054976
grating_0,0,5,5,tenengrad_energy,10,0,0.788636,0.874914,90,1.000000,0.788636,0,90,0.211364
grating_0,0,5,15,laplacian_variance,10,0,1.026696,1.019774,90,1.000000,1.026696,90,0,0.026696
grating_0,0,5,15,tenengrad_energy,10,0,0.811186,0.889512,90,1.000000,0.811186,0,90,0.188814
grating_0,0,9,0,laplacian_variance,10,0,0.370741,0.601439,90,1.000000,0.370741,0,90,0.629259
grating_0,0,9,0,tenengrad_energy,10,0,0.386917,0.626617,90,1.000000,0.386917,0,90,0.613083
grating_0,0,9,5,laplacian_variance,10,0,0.856612,0.909215,90,1.000000,0.856612,0,90,0.143388
grating_0,0,9,5,tenengrad_energy,10,0,0.393360,0.630544,90,1.000000,0.393360,0,90,0.606640
grating_0,0,9,15,laplacian_variance,10,0,1.021377,1.027923,90,1.000000,1.021377,90,45,0.027923
grating_0,0,9,15,tenengrad_energy,10,0,0.444360,0.665082,90,1.000000,0.444360,0,90,0.555640
grating_0,0,15,0,laplacian_variance,10,0,0.017961,0.207474,90,1.000000,0.017961,0,90,0.982039
grating_0,0,15,0,tenengrad_energy,10,0,0.017200,0.216138,90,1.000000,0.017200,0,90,0.982800
grating_0,0,15,5,laplacian_variance,10,0,0.776193,0.819392,90,1.000000,0.776193,0,90,0.223807
grating_0,0,15,5,tenengrad_energy,10,0,0.027541,0.224378,90,1.000000,0.027541,0,90,0.972459
grating_0,0,15,15,laplacian_variance,10,0,1.009594,1.015918,90,1.000000,1.009594,90,45,0.015918
grating_0,0,15,15,tenengrad_energy,10,0,0.103517,0.286951,90,1.000000,0.103517,0,90,0.896483
grating_45,45,5,0,laplacian_variance,10,45,0.688735,0.818227,135,0.840500,0.819435,45,135,0.151765
grating_45,45,5,0,tenengrad_energy,10,45,0.786022,0.886510,135,0.973757,0.807205,45,135,0.187735
grating_45,45,5,5,laplacian_variance,10,45,0.920363,0.953492,135,0.959109,0.959602,45,135,0.038746
grating_45,45,5,5,tenengrad_energy,10,45,0.788307,0.887727,135,0.974047,0.809311,45,135,0.185740
grating_45,45,5,15,laplacian_variance,10,45,1.021942,1.015411,135,0.999153,1.022808,135,45,0.022789
grating_45,45,5,15,tenengrad_energy,10,45,0.810942,0.901013,135,0.977146,0.829909,45,135,0.166204
grating_45,45,9,0,laplacian_variance,10,45,0.367637,0.586786,135,0.820813,0.447894,45,135,0.453176
grating_45,45,9,0,tenengrad_energy,10,45,0.394329,0.637736,135,0.962108,0.409859,45,135,0.567779
grating_45,45,9,5,laplacian_variance,10,45,0.838150,0.894412,135,0.954268,0.878317,45,135,0.116118
grating_45,45,9,5,tenengrad_energy,10,45,0.400807,0.641614,135,0.962542,0.416405,45,135,0.561735
grating_45,45,9,15,laplacian_variance,10,45,1.018092,1.024751,135,1.000106,1.017984,135,90,0.024721
grating_45,45,9,15,tenengrad_energy,10,45,0.451845,0.675621,135,0.966776,0.467373,45,135,0.514931
grating_45,45,15,0,laplacian_variance,10,45,0.094660,0.217767,135,0.830611,0.113964,45,135,0.735951
grating_45,45,15,0,tenengrad_energy,10,45,0.029893,0.231110,135,0.948096,0.031530,45,135,0.918203
grating_45,45,15,5,laplacian_variance,10,45,0.768750,0.799981,135,0.956724,0.803523,45,135,0.187974
grating_45,45,15,5,tenengrad_energy,10,45,0.040298,0.239333,135,0.948683,0.042478,45,135,0.908385
grating_45,45,15,15,laplacian_variance,10,45,1.007705,1.012420,135,1.001417,1.006279,135,90,0.011035
grating_45,45,15,15,tenengrad_energy,10,45,0.116437,0.301619,135,0.954098,0.122039,45,135,0.837661
grating_90,90,5,0,laplacian_variance,10,90,0.758284,0.842989,0,1.000000,0.758284,90,0,0.241716
grating_90,90,5,0,tenengrad_energy,10,90,0.786199,0.873582,0,1.000000,0.786199,90,0,0.213801
grating_90,90,5,5,laplacian_variance,10,90,0.944763,0.964171,0,1.000000,0.944763,90,0,0.055237
grating_90,90,5,5,tenengrad_energy,10,90,0.788458,0.874920,0,1.000000,0.788458,90,0,0.211542
grating_90,90,5,15,laplacian_variance,10,90,1.026890,1.019898,0,1.000000,1.026890,0,90,0.026890
grating_90,90,5,15,tenengrad_energy,10,90,0.810910,0.889445,0,1.000000,0.810910,90,0,0.189090
grating_90,90,9,0,laplacian_variance,10,90,0.370736,0.601445,0,1.000000,0.370736,90,0,0.629264
grating_90,90,9,0,tenengrad_energy,10,90,0.386917,0.626617,0,1.000000,0.386917,90,0,0.613083
grating_90,90,9,5,laplacian_variance,10,90,0.856166,0.908914,0,1.000000,0.856166,90,0,0.143834
grating_90,90,9,5,tenengrad_energy,10,90,0.393388,0.630559,0,1.000000,0.393388,90,0,0.606612
grating_90,90,9,15,laplacian_variance,10,90,1.021584,1.028127,0,1.000000,1.021584,0,45,0.028127
grating_90,90,9,15,tenengrad_energy,10,90,0.444245,0.664981,0,1.000000,0.444245,90,0,0.555755
grating_90,90,15,0,laplacian_variance,10,90,0.017961,0.207471,0,1.000000,0.017961,90,0,0.982039
grating_90,90,15,0,tenengrad_energy,10,90,0.017200,0.216138,0,1.000000,0.017200,90,0,0.982800
grating_90,90,15,5,laplacian_variance,10,90,0.775527,0.818844,0,1.000000,0.775527,90,0,0.224473
grating_90,90,15,5,tenengrad_energy,10,90,0.027520,0.224402,0,1.000000,0.027520,90,0,0.972480
grating_90,90,15,15,laplacian_variance,10,90,1.009850,1.016200,0,1.000000,1.009850,0,45,0.016200
grating_90,90,15,15,tenengrad_energy,10,90,0.103583,0.286864,0,1.000000,0.103583,90,0,0.896417
grating_135,135,5,0,laplacian_variance,10,135,0.690414,0.818400,45,0.839708,0.822207,135,45,0.149294
grating_135,135,5,0,tenengrad_energy,10,135,0.785393,0.886420,45,0.973793,0.806530,135,45,0.188400
grating_135,135,5,5,laplacian_variance,10,135,0.920541,0.953561,45,0.958925,0.959972,135,45,0.038384
grating_135,135,5,5,tenengrad_energy,10,135,0.787683,0.887639,45,0.974085,0.808639,135,45,0.186402
grating_135,135,5,15,laplacian_variance,10,135,1.022934,1.015993,45,0.998930,1.024030,45,135,0.024004
grating_135,135,5,15,tenengrad_energy,10,135,0.810579,0.901067,45,0.977163,0.829523,135,45,0.166584
grating_135,135,9,0,laplacian_variance,10,135,0.366546,0.585318,45,0.822403,0.445701,135,45,0.455857
grating_135,135,9,0,tenengrad_energy,10,135,0.393859,0.637636,45,0.962443,0.409228,135,45,0.568584
grating_135,135,9,5,laplacian_variance,10,135,0.837831,0.894123,45,0.954717,0.877570,135,45,0.116886
grating_135,135,9,5,tenengrad_energy,10,135,0.400325,0.641508,45,0.962870,0.415762,135,45,0.562545
grating_135,135,9,15,laplacian_variance,10,135,1.018675,1.025329,45,0.999898,1.018779,45,0,0.025433
grating_135,135,9,15,tenengrad_energy,10,135,0.451729,0.675809,45,0.967145,0.467075,135,45,0.515416
grating_135,135,15,0,laplacian_variance,10,135,0.097670,0.216424,45,0.832670,0.117297,135,45,0.735000
grating_135,135,15,0,tenengrad_energy,10,135,0.030162,0.230946,45,0.948879,0.031787,135,45,0.918717
grating_135,135,15,5,laplacian_variance,10,135,0.769421,0.799464,45,0.957225,0.803804,135,45,0.187804
grating_135,135,15,5,tenengrad_energy,10,135,0.040507,0.239156,45,0.949454,0.042663,135,45,0.908947
grating_135,135,15,15,laplacian_variance,10,135,1.008476,1.012894,45,1.001360,1.007106,45,90,0.011549
grating_135,135,15,15,tenengrad_energy,10,135,0.117114,0.301859,45,0.954860,0.122650,135,45,0.837746
