condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,kernel_height,kernel_width,nonzero_support,weight_sum,centroid_offset_x,centroid_offset_y,rms_radius,centrosymmetry_max_error
identity,identity,0,,,1,1,1,1.000000000000,0.000000000000,0.000000000000,0.000000,0.000000000000
defocus_r1,disk_defocus,1,,,3,3,5,1.000000000000,0.000000000000,0.000000000000,0.894427,0.000000000000
defocus_r2,disk_defocus,2,,,5,5,13,1.000000000000,0.000000000000,0.000000000000,1.467599,0.000000000000
defocus_r3,disk_defocus,3,,,7,7,29,1.000000000000,0.000000000000,0.000000000000,2.165561,0.000000000000
defocus_r5,disk_defocus,5,,,11,11,81,1.000000000000,0.000000000000,0.000000000000,3.603839,0.000000000000
motion_l5_a0,linear_motion,,5,0,5,5,5,1.000000000000,0.000000000000,0.000000000000,1.232631,0.000000000000
motion_l5_a45,linear_motion,,5,45,5,5,13,1.000000000000,0.000000000000,0.000000000000,1.295728,0.000000000000
motion_l5_a90,linear_motion,,5,90,5,5,7,1.000000000000,0.000000000000,0.000000000000,1.232631,0.000000000000
motion_l5_a135,linear_motion,,5,135,5,5,13,1.000000000000,0.000000000000,0.000000000000,1.295728,0.000000000000
motion_l9_a0,linear_motion,,9,0,9,9,9,1.000000000000,0.000000000000,0.000000000000,2.353902,0.000000000000
motion_l9_a45,linear_motion,,9,45,9,9,19,1.000000000000,0.000000000000,0.000000000000,2.391462,0.000000000000
motion_l9_a90,linear_motion,,9,90,9,9,11,1.000000000000,0.000000000000,0.000000000000,2.353902,0.000000000000
motion_l9_a135,linear_motion,,9,135,9,9,19,1.000000000000,0.000000000000,0.000000000000,2.391462,0.000000000000
motion_l15_a0,linear_motion,,15,0,15,15,15,1.000000000000,-0.000000000000,0.000000000000,4.070919,0.000000000000
motion_l15_a45,linear_motion,,15,45,15,15,31,1.000000000000,0.000000000000,0.000000000000,4.091687,0.000000000000
motion_l15_a90,linear_motion,,15,90,15,15,15,1.000000000000,0.000000000000,0.000000000000,4.070919,0.000000000000
motion_l15_a135,linear_motion,,15,135,15,15,31,1.000000000000,-0.000000000000,0.000000000000,4.091687,0.000000000000
